GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	regulation of biological process	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Biological Process	regulation of molecular function	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Biological Process	regulation of biological quality	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Biological Process	chemical homeostasis	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Biological Process	organic substance metabolic process	2	A0A8V0Z5X2 A0A8V0ZA93
Biological Process	anatomical structure development	2	A0A8V0Z5X2 P01012
Biological Process	cellular metabolic process	2	A0A8V0Z5X2 A0A8V0ZA93
Biological Process	multicellular organism development	2	A0A8V0Z5X2 P01012
Biological Process	establishment of localization	2	A0A8V0Z5X2 P01012
Biological Process	nitrogen compound metabolic process	2	A0A8V0Z5X2 A0A8V0ZA93
Biological Process	response to chemical	2	A0A8V0Z5X2 P01012
Biological Process	cellular response to stimulus	1	A0A8V0Z5X2
Biological Process	cellular developmental process	1	A0A8V0Z5X2
Biological Process	developmental growth	1	A0A8V0Z5X2
Biological Process	leukocyte activation	1	A0A8V0Z5X2
Biological Process	small molecule metabolic process	1	A0A8V0ZA93
Biological Process	primary metabolic process	1	A0A8V0Z5X2
Biological Process	cell activation	1	A0A8V0Z5X2
Biological Process	immune effector process	1	A0A8V0Z5X2
Biological Process	macromolecule localization	1	A0A8V0Z5X2
Biological Process	cellular homeostasis	1	A0A8V0ZA93
Biological Process	vesicle-mediated transport	1	A0A8V0Z5X2
Biological Process	response to endogenous stimulus	1	P01012
Biological Process	biosynthetic process	1	A0A8V0ZA93
Biological Process	catabolic process	1	A0A8V0ZA93
Biological Process	signal transduction	1	A0A8V0Z5X2
Biological Process	cell communication	1	A0A8V0Z5X2
Biological Process	immune response	1	A0A8V0Z5X2
Biological Process	system process	1	A0A8V0ZA93
Biological Process	developmental process involved in reproduction	1	A0A8V0Z5X2
Biological Process	organ growth	1	A0A8V0Z5X2
Cellular Component	extracellular region	4	A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZTX8 P01012
Cellular Component	intracellular anatomical structure	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Cellular Component	cytoplasm	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Cellular Component	endomembrane system	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Cellular Component	organelle	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Cellular Component	extracellular space	2	A0A8V0Z5X2 P01012
Cellular Component	membrane	2	A0A8V0Z5X2 A0A8V0ZA93
Cellular Component	membrane-enclosed lumen	2	A0A8V0Z5X2 P01012
Cellular Component	cell periphery	2	A0A8V0Z5X2 A0A8V0ZA93
Cellular Component	cytosol	1	P01012
Cellular Component	fusome	1	A0A8V0Z5X2
Molecular Function	ion binding	4	A0A1D5PT25 A0A8V0Z5X2 A0A8V0ZA93 P01012
Molecular Function	protein binding	3	A0A8V0Z5X2 A0A8V0ZA93 P01012
Molecular Function	carbohydrate derivative binding	3	A0A1D5PT25 A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	lipid binding	2	A0A1D5PT25 A0A8V0Z5X2
Molecular Function	hydrolase activity	2	A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	enzyme regulator activity	2	A0A8V0Z5X2 P01012
Molecular Function	amide binding	2	A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	small molecule binding	2	A0A8V0Z5X2 A0A8V0ZA93
