GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	regulation of biological process	13	A0A8V0X522 A0A8V0XEK3 A0A8V0Y0J2 A0A8V0Y248 A0A8V0YDD6 A0A8V0YMM6 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48 R4GFJ0
Biological Process	anatomical structure development	11	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YMM6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48 R4GFJ0
Biological Process	multicellular organism development	10	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YMM6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V1AC48 R4GFJ0
Biological Process	response to chemical	10	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YMM6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48 R4GFJ0
Biological Process	cell communication	9	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YMM6 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	signal transduction	9	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YMM6 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	organic substance metabolic process	9	A0A8V0X522 A0A8V0Y0J2 A0A8V0Y248 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 R4GFJ0
Biological Process	cellular response to stimulus	9	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YMM6 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	cellular metabolic process	9	A0A8V0X522 A0A8V0Y0J2 A0A8V0Y248 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 R4GFJ0
Biological Process	nitrogen compound metabolic process	9	A0A8V0X522 A0A8V0Y0J2 A0A8V0Y248 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 R4GFJ0
Biological Process	cellular developmental process	9	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YMM6 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48
Biological Process	primary metabolic process	8	A0A8V0X522 A0A8V0Y0J2 A0A8V0Y248 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 R4GFJ0
Biological Process	establishment of localization	8	A0A8V0Y0J2 A0A8V0Y248 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZV62 R4GFJ0
Biological Process	cellular component organization or biogenesis	8	A0A8V0X522 A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48
Biological Process	vesicle-mediated transport	7	A0A8V0Y0J2 A0A8V0Y248 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZV62
Biological Process	anatomical structure morphogenesis	7	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YMM6 A0A8V0Z3S9 A0A8V0ZKI3 R4GFJ0
Biological Process	regulation of biological quality	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V1AC48 R4GFJ0
