KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell motility	1	A0A8V0YDD6
Cellular Processes	Cellular community - eukaryotes	2	A0A8V0ZKI3;A0A8V0YDD6
Cellular Processes	Transport and catabolism	3	A0A8V0Z5X2;A0A8V0ZV62;A0A8V0YUU0
Environmental Information Processing	Signal transduction	4	A0A8V0ZKI3;A0A8V0YMM6;A0A8V0YUU0;A0A8V0YDD6
Environmental Information Processing	Signaling molecules and interaction	3	A0A8V0ZKI3;A0A8V0Z3S9;A0A8V0YDD6
Metabolism	Global and overview maps	1	A0A8V0YUU0
Metabolism	Lipid metabolism	2	A0A8V0Z5X2;A0A8V0YUU0
Organismal Systems	Development and regeneration	1	A0A8V1AC48
Organismal Systems	Digestive system	1	A0A8V0ZV62
Organismal Systems	Immune system	2	A0A8V0Y0J2;A0A8V1A049
Organismal Systems	Nervous system	1	A0A8V0ZV62
