GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	regulation of biological process	9	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZA93 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48 R4GFJ0
Biological Process	anatomical structure development	9	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48 R4GFJ0
Biological Process	multicellular organism development	8	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V1AC48 R4GFJ0
Biological Process	response to chemical	8	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48 R4GFJ0
Biological Process	cellular component organization or biogenesis	7	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48
Biological Process	cell communication	7	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	signal transduction	7	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	cellular response to stimulus	7	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	cellular developmental process	7	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48
Biological Process	organic substance metabolic process	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZA93 R4GFJ0
Biological Process	establishment of localization	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZV62 R4GFJ0
Biological Process	nitrogen compound metabolic process	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZA93 R4GFJ0
Biological Process	cellular metabolic process	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZA93 R4GFJ0
Biological Process	anatomical structure morphogenesis	6	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 R4GFJ0
Biological Process	vesicle-mediated transport	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZV62
Biological Process	regulation of biological quality	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZA93 A0A8V1AC48 R4GFJ0
Biological Process	primary metabolic process	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 R4GFJ0
Biological Process	macromolecule localization	4	A0A8V0Y0J2 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	cellular localization	4	A0A8V0Y0J2 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	response to external stimulus	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V1AC48
Biological Process	regulation of molecular function	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZA93 A0A8V0ZV62
Biological Process	catabolic process	4	A0A8V0Y0J2 A0A8V0Z3S9 A0A8V0ZA93 R4GFJ0
Biological Process	other	9	A0A8V0ZA93 A0A8V0YUU0 R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V1AC48 A0A8V0Z3S9 A0A8V0YDD6 A0A8V0ZKI3
Cellular Component	extracellular region	9	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZA93 A0A8V0ZKI3 A0A8V1AC48 R4GFJ0
Cellular Component	extracellular space	7	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZKI3 A0A8V1AC48 R4GFJ0
Cellular Component	intracellular anatomical structure	7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZA93 A0A8V0ZV62 R4GFJ0
Cellular Component	cytoplasm	7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZA93 A0A8V0ZV62 R4GFJ0
Cellular Component	endomembrane system	7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0ZA93 A0A8V0ZV62 R4GFJ0
