GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	regulation of biological process	3	A0A8V0Y0J2 A0A8V0Y248 A0A8V0YMM6
Biological Process	multicellular organism reproduction	3	A0A8V0Y0J2 A0A8V0Y248 A0A8V0YMM6
Biological Process	cell activation	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	cellular metabolic process	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	cellular response to stimulus	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	establishment of localization	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	cellular developmental process	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	anatomical structure development	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	multicellular organismal reproductive process	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	leukocyte activation	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	primary metabolic process	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	response to chemical	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	immune effector process	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	vesicle-mediated transport	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	anatomical structure morphogenesis	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	multicellular organism development	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	signal transduction	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	cell communication	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	immune response	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	nitrogen compound metabolic process	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	protein folding	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	organic substance metabolic process	2	A0A8V0Y0J2 A0A8V0Y248
Biological Process	other	2	A0A8V0Y0J2 A0A8V0YMM6
Cellular Component	extracellular region	3	A0A8V0Y0J2 A0A8V0Y248 A0A8V0YMM6
Cellular Component	extracellular space	3	A0A8V0Y0J2 A0A8V0Y248 A0A8V0YMM6
Cellular Component	intracellular anatomical structure	2	A0A8V0Y0J2 A0A8V0Y248
Cellular Component	cytoplasm	2	A0A8V0Y0J2 A0A8V0Y248
Cellular Component	endomembrane system	2	A0A8V0Y0J2 A0A8V0Y248
Cellular Component	membrane	2	A0A8V0Y248 A0A8V0YMM6
Cellular Component	membrane-enclosed lumen	2	A0A8V0Y0J2 A0A8V0Y248
Cellular Component	organelle	2	A0A8V0Y0J2 A0A8V0Y248
Cellular Component	cell projection	1	A0A8V0Y0J2
Cellular Component	cell periphery	1	A0A8V0YMM6
Cellular Component	perinuclear region of cytoplasm	1	A0A8V0Y0J2
Cellular Component	intercellular bridge	1	A0A8V0Y248
Cellular Component	organelle subcompartment	1	A0A8V0Y248
Cellular Component	somatodendritic compartment	1	A0A8V0Y0J2
Cellular Component	protein-lipid complex	1	A0A8V0Y0J2
Cellular Component	site of polarized growth	1	A0A8V0Y0J2
Cellular Component	cell surface	1	A0A8V0Y0J2
Cellular Component	distal axon	1	A0A8V0Y0J2
Molecular Function	protein binding	2	A0A8V0Y0J2 A0A8V0YMM6
Molecular Function	protein-containing complex binding	2	A0A8V0Y0J2 A0A8V0YMM6
Molecular Function	oxidoreductase activity	1	A0A8V0Y248
Molecular Function	isomerase activity	1	A0A8V0Y248
Molecular Function	amide binding	1	A0A8V0Y0J2
Molecular Function	ion binding	1	A0A8V0YMM6
Molecular Function	carbohydrate derivative binding	1	A0A8V0YMM6
Molecular Function	catalytic activity, acting on a protein	1	A0A8V0Y248
Molecular Function	sulfur compound binding	1	A0A8V0YMM6
