KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell motility	1	A0A8V0YDD6
Cellular Processes	Cellular community - eukaryotes	1	A0A8V0YDD6
Cellular Processes	Transport and catabolism	1	A0A8V0Z5X2
Environmental Information Processing	Signal transduction	1	A0A8V0YDD6
Environmental Information Processing	Signaling molecules and interaction	1	A0A8V0YDD6
Metabolism	Amino acid metabolism	1	A0A8V0Z1W6
Metabolism	Global and overview maps	1	A0A8V0Z1W6
Metabolism	Lipid metabolism	1	A0A8V0Z5X2
Organismal Systems	Development and regeneration	1	A0A1D5PZ68
Organismal Systems	Immune system	2	A0A8V0Y0J2;A0A8V1A049
