GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	cell activation	1	A0A8V0Z5X2
Biological Process	primary metabolic process	1	A0A8V0Z5X2
Biological Process	regulation of molecular function	1	A0A8V0Z5X2
Biological Process	regulation of biological quality	1	A0A8V0Z5X2
Biological Process	cellular response to stimulus	1	A0A8V0Z5X2
Biological Process	establishment of localization	1	A0A8V0Z5X2
Biological Process	regulation of biological process	1	A0A8V0Z5X2
Biological Process	chemical homeostasis	1	A0A8V0Z5X2
Biological Process	cellular developmental process	1	A0A8V0Z5X2
Biological Process	anatomical structure development	1	A0A8V0Z5X2
Biological Process	developmental growth	1	A0A8V0Z5X2
Biological Process	leukocyte activation	1	A0A8V0Z5X2
Biological Process	cellular metabolic process	1	A0A8V0Z5X2
Biological Process	immune effector process	1	A0A8V0Z5X2
Biological Process	response to chemical	1	A0A8V0Z5X2
Biological Process	organ growth	1	A0A8V0Z5X2
Biological Process	macromolecule localization	1	A0A8V0Z5X2
Biological Process	vesicle-mediated transport	1	A0A8V0Z5X2
Biological Process	multicellular organism development	1	A0A8V0Z5X2
Biological Process	signal transduction	1	A0A8V0Z5X2
Biological Process	cell communication	1	A0A8V0Z5X2
Biological Process	immune response	1	A0A8V0Z5X2
Biological Process	nitrogen compound metabolic process	1	A0A8V0Z5X2
Biological Process	developmental process involved in reproduction	1	A0A8V0Z5X2
Biological Process	organic substance metabolic process	1	A0A8V0Z5X2
Cellular Component	extracellular region	1	A0A8V0Z5X2
Cellular Component	extracellular space	1	A0A8V0Z5X2
Cellular Component	intracellular anatomical structure	1	A0A8V0Z5X2
Cellular Component	cytoplasm	1	A0A8V0Z5X2
Cellular Component	endomembrane system	1	A0A8V0Z5X2
Cellular Component	membrane	1	A0A8V0Z5X2
Cellular Component	membrane-enclosed lumen	1	A0A8V0Z5X2
Cellular Component	organelle	1	A0A8V0Z5X2
Cellular Component	fusome	1	A0A8V0Z5X2
Cellular Component	cell periphery	1	A0A8V0Z5X2
Molecular Function	protein binding	1	A0A8V0Z5X2
Molecular Function	lipid binding	1	A0A8V0Z5X2
Molecular Function	hydrolase activity	1	A0A8V0Z5X2
Molecular Function	enzyme regulator activity	1	A0A8V0Z5X2
Molecular Function	amide binding	1	A0A8V0Z5X2
Molecular Function	small molecule binding	1	A0A8V0Z5X2
Molecular Function	ion binding	1	A0A8V0Z5X2
Molecular Function	carbohydrate derivative binding	1	A0A8V0Z5X2
