GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	cellular metabolic process	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Biological Process	response to chemical	4	A0A1D5PZ68 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	organic substance metabolic process	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Biological Process	cellular response to stimulus	4	A0A1D5PZ68 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	regulation of biological process	4	A0A1D5PZ68 A0A8V0YDD6 A0A8V0ZA93 A0A8V0ZV19
Biological Process	cellular developmental process	4	A0A1D5PZ68 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	anatomical structure development	4	A0A1D5PZ68 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	nitrogen compound metabolic process	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Biological Process	small molecule metabolic process	3	A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Biological Process	primary metabolic process	3	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	cellular component organization or biogenesis	3	A0A1D5PZ68 A0A8V0YDD6 A0A8V0ZV19
Biological Process	signal transduction	3	A0A1D5PZ68 A0A8V0YDD6 A0A8V0ZV19
Biological Process	response to stress	3	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	anatomical structure morphogenesis	3	A0A1D5PZ68 A0A8V0YDD6 A0A8V0ZV19
Biological Process	response to external stimulus	3	A0A1D5PZ68 A0A8V0YDD6 A0A8V0ZV19
Biological Process	biosynthetic process	3	A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Biological Process	multicellular organism development	3	A0A1D5PZ68 A0A8V0YDD6 A0A8V0ZV19
Biological Process	cell communication	3	A0A1D5PZ68 A0A8V0YDD6 A0A8V0ZV19
Biological Process	cellular homeostasis	2	A0A8V0YDD6 A0A8V0ZA93
Biological Process	regulation of molecular function	2	A0A8V0YDD6 A0A8V0ZA93
Biological Process	regulation of biological quality	2	A0A8V0YDD6 A0A8V0ZA93
Biological Process	localization of cell	2	A0A1D5PZ68 A0A8V0YDD6
Biological Process	cell motility	2	A0A1D5PZ68 A0A8V0YDD6
Biological Process	chemical homeostasis	2	A0A8V0YDD6 A0A8V0ZA93
Biological Process	response to endogenous stimulus	2	A0A8V0YDD6 A0A8V0Z1W6
Biological Process	pattern specification process	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	anatomical structure formation involved in morphogenesis	2	A0A1D5PZ68 A0A8V0YDD6
Biological Process	taxis	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	system process	2	A0A8V0ZA93 A0A8V0ZV19
Biological Process	other	5	A0A8V0ZA93 A0A8V0Z1W6 A0A8V0ZV19 A0A1D5PZ68 A0A8V0YDD6
Cellular Component	extracellular region	5	A0A1D5PZ68 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	extracellular space	4	A0A1D5PZ68 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	intracellular anatomical structure	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	cytoplasm	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	endomembrane system	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	membrane	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	organelle	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	cell periphery	3	A0A8V0YDD6 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	fibrinogen complex	1	A0A8V0YDD6
Cellular Component	cell surface	1	A0A8V0ZV19
Cellular Component	membrane-enclosed lumen	1	A0A8V0YDD6
Cellular Component	organelle subcompartment	1	A0A8V0Z1W6
Cellular Component	apical part of cell	1	A0A8V0YDD6
Cellular Component	perinuclear region of cytoplasm	1	A0A8V0Z1W6
Cellular Component	catalytic complex	1	A0A8V0Z1W6
Molecular Function	protein binding	4	A0A1D5PZ68 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93
Molecular Function	ion binding	4	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZA93
Molecular Function	carbohydrate derivative binding	3	A0A1D5PT25 A0A8V0YDD6 A0A8V0ZA93
Molecular Function	transferase activity	2	A0A8V0Z1W6 A0A8V0ZV19
Molecular Function	hydrolase activity	2	A0A8V0ZA93 A0A8V0ZV19
Molecular Function	amide binding	2	A0A8V0Z1W6 A0A8V0ZA93
Molecular Function	small molecule binding	2	A0A8V0Z1W6 A0A8V0ZA93
Molecular Function	extracellular matrix structural constituent	1	A0A8V0YDD6
Molecular Function	lipid binding	1	A0A1D5PT25
Molecular Function	oxidoreductase activity	1	A0A8V0Z1W6
Molecular Function	enzyme regulator activity	1	A0A8V0YDD6
Molecular Function	carbohydrate binding	1	A0A8V0Z1W6
Molecular Function	protein-containing complex binding	1	A0A8V0YDD6
Molecular Function	catalytic activity, acting on a protein	1	A0A8V0Z1W6
Molecular Function	sulfur compound binding	1	A0A8V0YDD6
