GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	cell activation	1	A0A8V0Y0J2
Biological Process	immune effector process	1	A0A8V0Y0J2
Biological Process	ovulation cycle	1	A0A8V0Y0J2
Biological Process	cellular metabolic process	1	A0A8V0Y0J2
Biological Process	primary metabolic process	1	A0A8V0Y0J2
Biological Process	leukocyte activation	1	A0A8V0Y0J2
Biological Process	multicellular organismal reproductive process	1	A0A8V0Y0J2
Biological Process	anatomical structure development	1	A0A8V0Y0J2
Biological Process	cellular developmental process	1	A0A8V0Y0J2
Biological Process	regulation of biological process	1	A0A8V0Y0J2
Biological Process	establishment of localization	1	A0A8V0Y0J2
Biological Process	cellular localization	1	A0A8V0Y0J2
Biological Process	response to other organism	1	A0A8V0Y0J2
Biological Process	cellular response to stimulus	1	A0A8V0Y0J2
Biological Process	transmembrane transport	1	A0A8V0Y0J2
Biological Process	process utilizing autophagic mechanism	1	A0A8V0Y0J2
Biological Process	regulation of biological quality	1	A0A8V0Y0J2
Biological Process	regulation of molecular function	1	A0A8V0Y0J2
Biological Process	organic substance metabolic process	1	A0A8V0Y0J2
Biological Process	response to chemical	1	A0A8V0Y0J2
Biological Process	macromolecule localization	1	A0A8V0Y0J2
Biological Process	multicellular organism reproduction	1	A0A8V0Y0J2
Biological Process	ensheathment of neurons	1	A0A8V0Y0J2
Biological Process	activation of immune response	1	A0A8V0Y0J2
Biological Process	protein folding	1	A0A8V0Y0J2
Biological Process	nitrogen compound metabolic process	1	A0A8V0Y0J2
Biological Process	response to stress	1	A0A8V0Y0J2
Biological Process	immune response	1	A0A8V0Y0J2
Biological Process	cell communication	1	A0A8V0Y0J2
Biological Process	signal transduction	1	A0A8V0Y0J2
Biological Process	multicellular organism development	1	A0A8V0Y0J2
Biological Process	vesicle-mediated transport	1	A0A8V0Y0J2
Biological Process	cell death	1	A0A8V0Y0J2
Biological Process	cell population proliferation	1	A0A8V0Y0J2
Biological Process	catabolic process	1	A0A8V0Y0J2
Biological Process	response to external stimulus	1	A0A8V0Y0J2
Biological Process	response to biotic stimulus	1	A0A8V0Y0J2
Biological Process	response to abiotic stimulus	1	A0A8V0Y0J2
Biological Process	anatomical structure morphogenesis	1	A0A8V0Y0J2
Biological Process	cellular component organization or biogenesis	1	A0A8V0Y0J2
Cellular Component	extracellular region	1	A0A8V0Y0J2
Cellular Component	extracellular space	1	A0A8V0Y0J2
Cellular Component	intracellular anatomical structure	1	A0A8V0Y0J2
Cellular Component	cytoplasm	1	A0A8V0Y0J2
Cellular Component	cell surface	1	A0A8V0Y0J2
Cellular Component	endomembrane system	1	A0A8V0Y0J2
Cellular Component	site of polarized growth	1	A0A8V0Y0J2
Cellular Component	membrane-enclosed lumen	1	A0A8V0Y0J2
Cellular Component	protein-lipid complex	1	A0A8V0Y0J2
Cellular Component	somatodendritic compartment	1	A0A8V0Y0J2
Cellular Component	cell projection	1	A0A8V0Y0J2
Cellular Component	organelle	1	A0A8V0Y0J2
Cellular Component	perinuclear region of cytoplasm	1	A0A8V0Y0J2
Cellular Component	distal axon	1	A0A8V0Y0J2
Molecular Function	protein binding	1	A0A8V0Y0J2
Molecular Function	amide binding	1	A0A8V0Y0J2
Molecular Function	protein-containing complex binding	1	A0A8V0Y0J2
