KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00600 Sphingolipid metabolism,2,2,10,22,2.2,0.19480519480519518,0.71,A0A8V0Z5X2 A0A8V0YUU0
map01100 Metabolic pathways,1,4,10,22,0.55,0.5939849624060147,0.23,A0A8V0YUU0
map04071 Sphingolipid signaling pathway,1,1,10,22,2.2,0.454545454545455,0.34,A0A8V0YUU0
map04142 Lysosome,3,3,10,22,2.2,0.077922077922078,1.11,A0A8V0Z5X2 A0A8V0ZV62 A0A8V0YUU0
map04151 PI3K-Akt signaling pathway,2,4,10,22,1.1,1.0,-0.0,A0A8V0ZKI3 A0A8V0YDD6
map04350 TGF-beta signaling pathway,1,1,10,22,2.2,0.454545454545455,0.34,A0A8V0YMM6
map04360 Axon guidance,1,2,10,22,1.1,1.0,-0.0,A0A8V1AC48
map04510 Focal adhesion,2,4,10,22,1.1,1.0,-0.0,A0A8V0ZKI3 A0A8V0YDD6
map04512 ECM-receptor interaction,3,5,10,22,1.32,0.6240601503759402,0.2,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6
map04610 Complement and coagulation cascades,1,1,10,22,2.2,0.454545454545455,0.34,A0A8V0Y0J2
map04657 IL-17 signaling pathway,1,3,10,22,0.73,1.0,-0.0,A0A8V1A049
map04722 Neurotrophin signaling pathway,1,1,10,22,2.2,0.454545454545455,0.34,A0A8V0ZV62
map04810 Regulation of actin cytoskeleton,1,1,10,22,2.2,0.454545454545455,0.34,A0A8V0YDD6
map04979 Cholesterol metabolism,1,1,10,22,2.2,0.454545454545455,0.34,A0A8V0ZV62
