GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Molecular Function	hydrolase activity, hydrolyzing O-glycosyl compounds	4	GO:0004553	2	2	4	40	10.0	0.007692307692307681	2.11	A0A8V0Z5X2 A0A8V0ZA93	3.321928094887362
Molecular Function	phospholipid binding	3	GO:0005543	2	2	4	40	10.0	0.007692307692307681	2.11	A0A1D5PT25 A0A8V0Z5X2	3.321928094887362
Molecular Function	hydrolase activity, acting on glycosyl bonds	3	GO:0016798	2	2	4	40	10.0	0.007692307692307681	2.11	A0A8V0Z5X2 A0A8V0ZA93	3.321928094887362
Molecular Function	ion binding	2	GO:0043167	4	13	4	40	3.08	0.007823613086770953	2.11	A0A1D5PT25 A0A8V0Z5X2 A0A8V0ZA93 P01012	1.6229303509201767
Molecular Function	organic acid binding	3	GO:0043177	2	3	4	40	6.67	0.022267206477732806	1.65	A0A8V0Z5X2 A0A8V0ZA93	2.73768676140986
Molecular Function	carboxylic acid binding	4	GO:0031406	2	3	4	40	6.67	0.022267206477732806	1.65	A0A8V0Z5X2 A0A8V0ZA93	2.73768676140986
Molecular Function	anion binding	3	GO:0043168	3	9	4	40	3.33	0.029871977240398313	1.52	A0A1D5PT25 A0A8V0Z5X2 A0A8V0ZA93	1.7355221772965375
Molecular Function	carbohydrate derivative binding	2	GO:0097367	3	9	4	40	3.33	0.029871977240398313	1.52	A0A1D5PT25 A0A8V0Z5X2 A0A8V0ZA93	1.7355221772965375
Molecular Function	lipid binding	2	GO:0008289	2	4	4	40	5.0	0.04294780610570072	1.37	A0A1D5PT25 A0A8V0Z5X2	2.321928094887362
Molecular Function	amide binding	2	GO:0033218	2	4	4	40	5.0	0.04294780610570072	1.37	A0A8V0Z5X2 A0A8V0ZA93	2.321928094887362
Molecular Function	small molecule binding	2	GO:0036094	2	4	4	40	5.0	0.04294780610570072	1.37	A0A8V0Z5X2 A0A8V0ZA93	2.321928094887362
