KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00600 Sphingolipid metabolism,2,2,9,22,2.44,0.15584415584415573,0.81,A0A8V0Z5X2 A0A8V0YUU0
map01100 Metabolic pathways,1,4,9,22,0.61,0.6161312371838673,0.21,A0A8V0YUU0
map04071 Sphingolipid signaling pathway,1,1,9,22,2.44,0.4090909090909085,0.39,A0A8V0YUU0
map04142 Lysosome,3,3,9,22,2.44,0.05454545454545455,1.26,A0A8V0Z5X2 A0A8V0ZV62 A0A8V0YUU0
map04151 PI3K-Akt signaling pathway,2,4,9,22,1.22,1.0,-0.0,A0A8V0ZKI3 A0A8V0YDD6
map04360 Axon guidance,1,2,9,22,1.22,1.0,-0.0,A0A8V1AC48
map04510 Focal adhesion,2,4,9,22,1.22,1.0,-0.0,A0A8V0ZKI3 A0A8V0YDD6
map04512 ECM-receptor interaction,3,5,9,22,1.47,0.6090225563909769,0.22,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6
map04610 Complement and coagulation cascades,1,1,9,22,2.44,0.4090909090909085,0.39,A0A8V0Y0J2
map04657 IL-17 signaling pathway,1,3,9,22,0.81,1.0,-0.0,A0A8V1A049
map04722 Neurotrophin signaling pathway,1,1,9,22,2.44,0.4090909090909085,0.39,A0A8V0ZV62
map04810 Regulation of actin cytoskeleton,1,1,9,22,2.44,0.4090909090909085,0.39,A0A8V0YDD6
map04979 Cholesterol metabolism,1,1,9,22,2.44,0.4090909090909085,0.39,A0A8V0ZV62
