GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,dendrite,5,GO:0030425,3,4,10,43,3.22,0.033789806336601565,1.47,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,dendritic tree,5,GO:0097447,3,4,10,43,3.22,0.033789806336601565,1.47,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,Golgi apparatus,5,GO:0005794,4,7,10,43,2.46,0.03990384343848842,1.4,R4GFJ0 A0A8V0Z3S9 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,plasma membrane,3,GO:0005886,6,15,10,43,1.72,0.07263056991127452,1.14,A0A8V0XEK3 A0A8V0ZA93 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,vesicle,4,GO:0031982,6,15,10,43,1.72,0.07263056991127452,1.14,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0YDD6 R4GFJ0
Cellular Component,intracellular vesicle,5,GO:0097708,6,15,10,43,1.72,0.07263056991127452,1.14,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0YDD6 R4GFJ0
Cellular Component,cell periphery,2,GO:0071944,6,15,10,43,1.72,0.07263056991127452,1.14,A0A8V0XEK3 A0A8V0ZA93 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,cytoplasmic vesicle,6,GO:0031410,6,15,10,43,1.72,0.07263056991127452,1.14,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0YDD6 R4GFJ0
Cellular Component,somatodendritic compartment,2,GO:0036477,3,5,10,43,2.58,0.07328292807589475,1.13,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,cell projection,2,GO:0042995,3,5,10,43,2.58,0.07328292807589475,1.13,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,neuron projection,4,GO:0043005,3,5,10,43,2.58,0.07328292807589475,1.13,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,plasma membrane bounded cell projection,3,GO:0120025,3,5,10,43,2.58,0.07328292807589475,1.13,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,collagen-containing extracellular matrix,4,GO:0062023,3,6,10,43,2.15,0.12697971640563552,0.9,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6
Cellular Component,vesicle membrane,4,GO:0012506,3,6,10,43,2.15,0.12697971640563552,0.9,A0A8V0ZA93 A0A8V0ZV62 R4GFJ0
Cellular Component,basement membrane,5,GO:0005604,3,6,10,43,2.15,0.12697971640563552,0.9,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6
Cellular Component,cytoplasmic vesicle membrane,5,GO:0030659,3,6,10,43,2.15,0.12697971640563552,0.9,A0A8V0ZA93 A0A8V0ZV62 R4GFJ0
Cellular Component,lysosomal lumen,6,GO:0043202,2,3,10,43,2.87,0.13005429057612838,0.89,A0A8V0Z3S9 A0A8V0YUU0
Cellular Component,cell body,2,GO:0044297,2,3,10,43,2.87,0.13005429057612838,0.89,R4GFJ0 A0A8V0ZV62
Cellular Component,clathrin-coated pit,4,GO:0005905,2,3,10,43,2.87,0.13005429057612838,0.89,A0A8V0ZA93 A0A8V0ZV62
Cellular Component,coated vesicle,7,GO:0030135,2,3,10,43,2.87,0.13005429057612838,0.89,A0A8V0ZA93 A0A8V0ZV62
Cellular Component,clathrin-coated vesicle,8,GO:0030136,2,3,10,43,2.87,0.13005429057612838,0.89,A0A8V0ZA93 A0A8V0ZV62
Cellular Component,neuronal cell body,3,GO:0043025,2,3,10,43,2.87,0.13005429057612838,0.89,R4GFJ0 A0A8V0ZV62
Cellular Component,protein-containing complex,1,GO:0032991,4,9,10,43,1.91,0.17720556368793566,0.75,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,secretory granule,8,GO:0030141,4,10,10,43,1.72,0.20561406724346737,0.69,R4GFJ0 A0A8V0Y0J2 A0A8V0YUU0 A0A8V0YDD6
Cellular Component,synapse,3,GO:0045202,2,4,10,43,2.15,0.226318774815655,0.65,A0A8V0ZKI3 R4GFJ0
Cellular Component,plasma membrane region,3,GO:0098590,2,4,10,43,2.15,0.226318774815655,0.65,R4GFJ0 A0A8V0YDD6
Cellular Component,platelet alpha granule,9,GO:0031091,2,4,10,43,2.15,0.226318774815655,0.65,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,platelet alpha granule lumen,7,GO:0031093,2,4,10,43,2.15,0.226318774815655,0.65,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,axon,5,GO:0030424,2,4,10,43,2.15,0.226318774815655,0.65,R4GFJ0 A0A8V0Y0J2
Cellular Component,vacuolar lumen,5,GO:0005775,2,4,10,43,2.15,0.226318774815655,0.65,A0A8V0Z3S9 A0A8V0YUU0
Cellular Component,secretory vesicle,7,GO:0099503,4,11,10,43,1.56,0.24770073917758753,0.61,R4GFJ0 A0A8V0Y0J2 A0A8V0YUU0 A0A8V0YDD6
Cellular Component,extracellular matrix,3,GO:0031012,3,9,10,43,1.43,0.41289092651901393,0.38,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6
Cellular Component,organelle membrane,3,GO:0031090,3,9,10,43,1.43,0.41289092651901393,0.38,A0A8V0ZA93 A0A8V0ZV62 R4GFJ0
Cellular Component,extracellular space,2,GO:0005615,7,25,10,43,1.2,0.47993232645589634,0.32,A0A8V0XEK3 A0A8V0YUU0 R4GFJ0 A0A8V0Y0J2 A0A8V1AC48 A0A8V0YDD6 A0A8V0ZKI3
Cellular Component,membrane,2,GO:0016020,6,21,10,43,1.23,0.4876067655421039,0.31,A0A8V0XEK3 A0A8V0ZA93 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,lysosome,7,GO:0005764,2,5,10,43,1.72,0.5749004257228877,0.24,A0A8V0Z3S9 A0A8V0YUU0
Cellular Component,vacuole,5,GO:0005773,2,5,10,43,1.72,0.5749004257228877,0.24,A0A8V0Z3S9 A0A8V0YUU0
Cellular Component,lytic vacuole,6,GO:0000323,2,5,10,43,1.72,0.5749004257228877,0.24,A0A8V0Z3S9 A0A8V0YUU0
Cellular Component,cell surface,2,GO:0009986,2,5,10,43,1.72,0.5749004257228877,0.24,A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,cytoplasmic vesicle lumen,5,GO:0060205,2,6,10,43,1.43,0.6106982846093824,0.21,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,vesicle lumen,4,GO:0031983,2,6,10,43,1.43,0.6106982846093824,0.21,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,secretory granule lumen,6,GO:0034774,2,6,10,43,1.43,0.6106982846093824,0.21,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,extracellular region,2,GO:0005576,9,35,10,43,1.11,0.6562921792046783,0.18,A0A8V0XEK3 A0A8V0ZA93 A0A8V0YUU0 R4GFJ0 A0A8V0Y0J2 A0A8V1AC48 A0A8V0Z3S9 A0A8V0YDD6 A0A8V0ZKI3
Cellular Component,perinuclear region of cytoplasm,2,GO:0048471,2,7,10,43,1.23,0.656292179204679,0.18,A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,nucleus,5,GO:0005634,2,7,10,43,1.23,0.656292179204679,0.18,A0A8V0ZA93 A0A8V0Y0J2
Cellular Component,intracellular anatomical structure,2,GO:0005622,7,32,10,43,0.94,0.6982756975311182,0.16,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,endoplasmic reticulum,5,GO:0005783,3,17,10,43,0.76,0.7142140199727447,0.15,A0A8V0ZA93 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,endomembrane system,2,GO:0012505,7,27,10,43,1.11,0.7190171456874883,0.14,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,intracellular organelle lumen,4,GO:0070013,4,20,10,43,0.86,0.7279066229718539,0.14,A0A8V0Z3S9 A0A8V0Y0J2 A0A8V0YUU0 A0A8V0YDD6
Cellular Component,membrane-enclosed lumen,2,GO:0031974,4,20,10,43,0.86,0.7279066229718539,0.14,A0A8V0Z3S9 A0A8V0Y0J2 A0A8V0YUU0 A0A8V0YDD6
Cellular Component,organelle lumen,3,GO:0043233,4,20,10,43,0.86,0.7279066229718539,0.14,A0A8V0Z3S9 A0A8V0Y0J2 A0A8V0YUU0 A0A8V0YDD6
Cellular Component,endoplasmic reticulum lumen,5,GO:0005788,2,10,10,43,0.86,1.0,-0.0,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,intracellular membrane-bounded organelle,4,GO:0043231,7,29,10,43,1.04,1.0,-0.0,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,cytoplasm,2,GO:0005737,7,29,10,43,1.04,1.0,-0.0,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,membrane-bounded organelle,3,GO:0043227,7,31,10,43,0.97,1.0,-0.0,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,bounding membrane of organelle,4,GO:0098588,2,8,10,43,1.08,1.0,-0.0,A0A8V0ZA93 R4GFJ0
Cellular Component,organelle,2,GO:0043226,7,31,10,43,0.97,1.0,-0.0,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,intracellular organelle,3,GO:0043229,7,31,10,43,0.97,1.0,-0.0,A0A8V0ZA93 A0A8V0YUU0 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
