KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00600 Sphingolipid metabolism,1,2,8,22,1.38,1.0,-0.0,A0A8V0YUU0
map01100 Metabolic pathways,1,4,8,22,0.69,1.0,-0.0,A0A8V0YUU0
map04071 Sphingolipid signaling pathway,1,1,8,22,2.75,0.36363636363636237,0.44,A0A8V0YUU0
map04142 Lysosome,2,3,8,22,1.83,0.5272727272727266,0.28,A0A8V0ZV62 A0A8V0YUU0
map04151 PI3K-Akt signaling pathway,2,4,8,22,1.38,0.6019138755980855,0.22,A0A8V0ZKI3 A0A8V0YDD6
map04360 Axon guidance,1,2,8,22,1.38,1.0,-0.0,A0A8V1AC48
map04510 Focal adhesion,2,4,8,22,1.38,0.6019138755980855,0.22,A0A8V0ZKI3 A0A8V0YDD6
map04512 ECM-receptor interaction,3,5,8,22,1.65,0.3088782562466765,0.51,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6
map04610 Complement and coagulation cascades,1,1,8,22,2.75,0.36363636363636237,0.44,A0A8V0Y0J2
map04657 IL-17 signaling pathway,1,3,8,22,0.92,1.0,-0.0,A0A8V1A049
map04722 Neurotrophin signaling pathway,1,1,8,22,2.75,0.36363636363636237,0.44,A0A8V0ZV62
map04810 Regulation of actin cytoskeleton,1,1,8,22,2.75,0.36363636363636237,0.44,A0A8V0YDD6
map04979 Cholesterol metabolism,1,1,8,22,2.75,0.36363636363636237,0.44,A0A8V0ZV62
