GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,platelet alpha granule,9,GO:0031091,2,4,3,43,7.17,0.01928530913216114,1.71,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,platelet alpha granule lumen,7,GO:0031093,2,4,3,43,7.17,0.01928530913216114,1.71,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,cytoplasmic vesicle lumen,5,GO:0060205,2,6,3,43,4.78,0.046592658617616065,1.33,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,secretory granule lumen,6,GO:0034774,2,6,3,43,4.78,0.046592658617616065,1.33,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,vesicle lumen,4,GO:0031983,2,6,3,43,4.78,0.046592658617616065,1.33,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,Golgi apparatus,5,GO:0005794,2,7,3,43,4.1,0.06409529211571181,1.19,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,endoplasmic reticulum lumen,5,GO:0005788,2,10,3,43,2.87,0.13005429057612827,0.89,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,secretory granule,8,GO:0030141,2,10,3,43,2.87,0.13005429057612827,0.89,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,secretory vesicle,7,GO:0099503,2,11,3,43,2.61,0.1559841179807148,0.81,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,extracellular space,2,GO:0005615,3,25,3,43,1.72,0.25249169435215946,0.6,A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Y248
Cellular Component,vesicle,4,GO:0031982,2,15,3,43,1.91,0.27509926262053336,0.56,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,intracellular vesicle,5,GO:0097708,2,15,3,43,1.91,0.27509926262053336,0.56,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,cytoplasmic vesicle,6,GO:0031410,2,15,3,43,1.91,0.27509926262053336,0.56,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,endoplasmic reticulum,5,GO:0005783,2,17,3,43,1.69,0.55230532371769,0.26,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,membrane-enclosed lumen,2,GO:0031974,2,20,3,43,1.43,0.5899846041649803,0.23,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,organelle lumen,3,GO:0043233,2,20,3,43,1.43,0.5899846041649803,0.23,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,intracellular organelle lumen,4,GO:0070013,2,20,3,43,1.43,0.5899846041649803,0.23,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,membrane,2,GO:0016020,2,21,3,43,1.37,0.6069200226886,0.22,A0A8V0YMM6 A0A8V0Y248
Cellular Component,endomembrane system,2,GO:0012505,2,27,3,43,1.06,1.0,-0.0,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,cytoplasm,2,GO:0005737,2,29,3,43,0.99,1.0,-0.0,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,organelle,2,GO:0043226,2,31,3,43,0.92,1.0,-0.0,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,membrane-bounded organelle,3,GO:0043227,2,31,3,43,0.92,1.0,-0.0,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,intracellular organelle,3,GO:0043229,2,31,3,43,0.92,1.0,-0.0,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,intracellular membrane-bounded organelle,4,GO:0043231,2,29,3,43,0.99,1.0,-0.0,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,intracellular anatomical structure,2,GO:0005622,2,32,3,43,0.9,1.0,-0.0,A0A8V0Y0J2 A0A8V0Y248
Cellular Component,extracellular region,2,GO:0005576,3,35,3,43,1.23,1.0,-0.0,A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Y248
Molecular Function,protein-containing complex binding,2,GO:0044877,2,7,3,40,3.81,0.07368421052631581,1.13,A0A8V0Y0J2 A0A8V0YMM6
Molecular Function,binding,1,GO:0005488,2,32,3,40,0.83,0.49797570850202555,0.3,A0A8V0Y0J2 A0A8V0YMM6
Molecular Function,protein binding,2,GO:0005515,2,26,3,40,1.03,1.0,-0.0,A0A8V0Y0J2 A0A8V0YMM6
Biological Process,endocrine system development,4,GO:0035270,2,2,3,43,14.33,0.0033222591362126255,2.48,A0A8V0Y0J2 A0A8V0YMM6
Biological Process,protein folding,2,GO:0006457,2,2,3,43,14.33,0.0033222591362126255,2.48,A0A8V0Y0J2 A0A8V0Y248
Biological Process,multicellular organism reproduction,2,GO:0032504,3,8,3,43,5.38,0.004537719795802608,2.34,A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Y248
Biological Process,reproduction,1,GO:0000003,3,9,3,43,4.78,0.006806579693703919,2.17,A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Y248
Biological Process,regulation of cellular catabolic process,5,GO:0031329,2,4,3,43,7.17,0.01928530913216114,1.71,A0A8V0Y0J2 A0A8V0Y248
Biological Process,regulation of catabolic process,4,GO:0009894,2,4,3,43,7.17,0.01928530913216114,1.71,A0A8V0Y0J2 A0A8V0Y248
