GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Biological Process	regulation of phosphate metabolic process	6	GO:0019220	4	5	5	43	6.88	0.00019842135553990335	3.7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.782408564927373
Biological Process	regulation of protein modification process	6	GO:0031399	4	5	5	43	6.88	0.00019842135553990335	3.7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.782408564927373
Biological Process	regulation of phosphorylation	7	GO:0042325	4	5	5	43	6.88	0.00019842135553990335	3.7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.782408564927373
Biological Process	positive regulation of protein metabolic process	6	GO:0051247	4	5	5	43	6.88	0.00019842135553990335	3.7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.782408564927373
Biological Process	regulation of protein phosphorylation	7	GO:0001932	4	5	5	43	6.88	0.00019842135553990335	3.7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.782408564927373
Biological Process	positive regulation of phosphorus metabolic process	6	GO:0010562	3	4	5	43	6.45	0.0031196823596142914	2.51	A0A8V0Y0J2 A0A8V0Z5X2 A0A8V0ZA93	2.689299160535892
Biological Process	positive regulation of phosphate metabolic process	7	GO:0045937	3	4	5	43	6.45	0.0031196823596142914	2.51	A0A8V0Y0J2 A0A8V0Z5X2 A0A8V0ZA93	2.689299160535892
Biological Process	positive regulation of protein modification process	7	GO:0031401	3	4	5	43	6.45	0.0031196823596142914	2.51	A0A8V0Y0J2 A0A8V0Z5X2 A0A8V0ZA93	2.689299160535892
Biological Process	mucopolysaccharide metabolic process	6	GO:1903510	2	2	5	43	8.6	0.01107419712070877	1.96	A0A8V0ZA93 A0A8V0ZV19	3.1043366598147357
Biological Process	positive regulation of proteolysis	7	GO:0045862	2	2	5	43	8.6	0.01107419712070877	1.96	A0A8V0Y0J2 A0A8V0YDD6	3.1043366598147357
Biological Process	regulation of establishment of protein localization	6	GO:0070201	2	3	5	43	5.73	0.03160197714933959	1.5	A0A8V0YDD6 A0A8V0ZA93	2.5185351389821804
Biological Process	regulation of protein kinase activity	6	GO:0045859	2	3	5	43	5.73	0.03160197714933959	1.5	A0A8V0Y0J2 A0A8V0ZA93	2.5185351389821804
Biological Process	positive regulation of protein kinase activity	7	GO:0045860	2	3	5	43	5.73	0.03160197714933959	1.5	A0A8V0Y0J2 A0A8V0ZA93	2.5185351389821804
Biological Process	regulation of MAPK cascade	6	GO:0043408	2	3	5	43	5.73	0.03160197714933959	1.5	A0A8V0YDD6 A0A8V0Z5X2	2.5185351389821804
Biological Process	positive regulation of cell migration	6	GO:0030335	2	3	5	43	5.73	0.03160197714933959	1.5	A0A8V0YDD6 A0A8V0ZA93	2.5185351389821804
Biological Process	positive regulation of kinase activity	6	GO:0033674	2	3	5	43	5.73	0.03160197714933959	1.5	A0A8V0Y0J2 A0A8V0ZA93	2.5185351389821804
Biological Process	negative regulation of apoptotic process	6	GO:0043066	2	3	5	43	5.73	0.03160197714933959	1.5	A0A8V0Y0J2 A0A8V0YDD6	2.5185351389821804
