GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,intracellular vesicle,5,GO:0097708,4,15,5,43,2.29,0.042824730572887104,1.37,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Cellular Component,cell periphery,2,GO:0071944,4,15,5,43,2.29,0.042824730572887104,1.37,A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,vesicle,4,GO:0031982,4,15,5,43,2.29,0.042824730572887104,1.37,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Cellular Component,cytoplasmic vesicle,6,GO:0031410,4,15,5,43,2.29,0.042824730572887104,1.37,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Cellular Component,plasma membrane,3,GO:0005886,4,15,5,43,2.29,0.042824730572887104,1.37,A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,platelet alpha granule lumen,7,GO:0031093,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,platelet alpha granule,9,GO:0031091,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,endoplasmic reticulum,5,GO:0005783,4,17,5,43,2.02,0.07071280015125721,1.15,A0A8V0ZA93 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,secretory granule,8,GO:0030141,3,10,5,43,2.58,0.07328292807589463,1.13,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,cell surface,2,GO:0009986,2,5,5,43,3.44,0.09513940398795757,1.02,A0A8V0Y0J2 A0A8V0ZV19
Cellular Component,secretory vesicle,7,GO:0099503,3,11,5,43,2.35,0.09647017758191892,1.02,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,secretory granule lumen,6,GO:0034774,2,6,5,43,2.87,0.13549893101793284,0.87,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,cytoplasmic vesicle membrane,5,GO:0030659,2,6,5,43,2.87,0.13549893101793284,0.87,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,cytoplasmic vesicle lumen,5,GO:0060205,2,6,5,43,2.87,0.13549893101793284,0.87,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,vesicle membrane,4,GO:0012506,2,6,5,43,2.87,0.13549893101793284,0.87,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,vesicle lumen,4,GO:0031983,2,6,5,43,2.87,0.13549893101793284,0.87,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,endomembrane system,2,GO:0012505,5,27,5,43,1.59,0.13945385301029056,0.86,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,intracellular membrane-bounded organelle,4,GO:0043231,5,29,5,43,1.48,0.15560597466439802,0.81,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,cytoplasm,2,GO:0005737,5,29,5,43,1.48,0.15560597466439802,0.81,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,nucleus,5,GO:0005634,2,7,5,43,2.46,0.1800034905536887,0.74,A0A8V0ZA93 A0A8V0Y0J2
Cellular Component,membrane,2,GO:0016020,4,21,5,43,1.64,0.18528295300842093,0.73,A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,bounding membrane of organelle,4,GO:0098588,2,8,5,43,2.15,0.2275986445016504,0.64,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,protein-containing complex,1,GO:0032991,2,9,5,43,1.91,0.2773307237289092,0.56,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,organelle membrane,3,GO:0031090,2,9,5,43,1.91,0.2773307237289092,0.56,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,organelle,2,GO:0043226,5,31,5,43,1.39,0.29955183783884803,0.52,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,membrane-bounded organelle,3,GO:0043227,5,31,5,43,1.39,0.29955183783884803,0.52,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,intracellular organelle,3,GO:0043229,5,31,5,43,1.39,0.29955183783884803,0.52,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
