GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Biological Process	regulation of phosphorylation	7	GO:0042325	4	5	7	43	4.91	0.0013307735939613403	2.88	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.2957230245399685
Biological Process	positive regulation of protein metabolic process	6	GO:0051247	4	5	7	43	4.91	0.0013307735939613403	2.88	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.2957230245399685
Biological Process	regulation of phosphate metabolic process	6	GO:0019220	4	5	7	43	4.91	0.0013307735939613403	2.88	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.2957230245399685
Biological Process	regulation of protein modification process	6	GO:0031399	4	5	7	43	4.91	0.0013307735939613403	2.88	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.2957230245399685
Biological Process	regulation of protein phosphorylation	7	GO:0001932	4	5	7	43	4.91	0.0013307735939613403	2.88	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93	2.2957230245399685
Biological Process	positive regulation of cell migration	6	GO:0030335	3	3	7	43	6.14	0.002836074872376632	2.55	A0A1D5PZ68 A0A8V0YDD6 A0A8V0ZA93	2.6182386555954547
Biological Process	positive regulation of protein modification process	7	GO:0031401	3	4	7	43	4.61	0.010493477027793536	1.98	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0Z5X2 A0A8V0ZA93	2.2047667506546134
Biological Process	positive regulation of phosphate metabolic process	7	GO:0045937	3	4	7	43	4.61	0.010493477027793536	1.98	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0Z5X2 A0A8V0ZA93	2.2047667506546134
Biological Process	positive regulation of phosphorus metabolic process	6	GO:0010562	3	4	7	43	4.61	0.010493477027793536	1.98	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0Z5X2 A0A8V0ZA93	2.2047667506546134
Biological Process	mucopolysaccharide metabolic process	6	GO:1903510	2	2	7	43	6.14	0.023255813953488413	1.63	A0A8V0ZA93 A0A8V0ZV19 A0A8V0ZV19	2.6182386555954547
Biological Process	positive regulation of proteolysis	7	GO:0045862	2	2	7	43	6.14	0.023255813953488413	1.63	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0YDD6	2.6182386555954547
