GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Molecular Function	amide binding	2	GO:0033218	4	4	8	40	5.0	0.0007659481343691873	3.12	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93	2.321928094887362
Molecular Function	peptide binding	3	GO:0042277	3	3	8	40	5.0	0.005668016194331988	2.25	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZA93	2.321928094887362
Molecular Function	carboxylic acid binding	4	GO:0031406	3	3	8	40	5.0	0.005668016194331988	2.25	A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93	2.321928094887362
Molecular Function	organic acid binding	3	GO:0043177	3	3	8	40	5.0	0.005668016194331988	2.25	A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93	2.321928094887362
Molecular Function	anion binding	3	GO:0043168	5	9	8	40	2.78	0.00788710076635774	2.1	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93	1.4750848829487826
Molecular Function	small molecule binding	2	GO:0036094	3	4	8	40	3.75	0.02037422037422041	1.69	A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93	1.9068905956085185
Molecular Function	hydrolase activity, hydrolyzing O-glycosyl compounds	4	GO:0004553	2	2	8	40	5.0	0.035897435897435936	1.44	A0A8V0Z5X2 A0A8V0ZA93	2.321928094887362
Molecular Function	protein-folding chaperone binding	3	GO:0051087	2	2	8	40	5.0	0.035897435897435936	1.44	A0A8V0Y0J2 A0A8V0Y0J2 A0A8V0YDD6	2.321928094887362
Molecular Function	phospholipid binding	3	GO:0005543	2	2	8	40	5.0	0.035897435897435936	1.44	A0A1D5PT25 A0A8V0Z5X2	2.321928094887362
Molecular Function	hydrolase activity, acting on glycosyl bonds	3	GO:0016798	2	2	8	40	5.0	0.035897435897435936	1.44	A0A8V0Z5X2 A0A8V0ZA93	2.321928094887362
