GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,endoplasmic reticulum,5,GO:0005783,5,17,7,43,1.81,0.09341215711935467,1.03,A0A8V0ZA93 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6 A0A8V0YDD6
Cellular Component,bounding membrane of organelle,4,GO:0098588,3,8,7,43,2.3,0.1062750088334471,0.97,A0A8V0Z5X2 A0A8V0Z1W6 A0A8V0ZA93
Cellular Component,platelet alpha granule lumen,7,GO:0031093,2,4,7,43,3.07,0.1176971072036301,0.93,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,platelet alpha granule,9,GO:0031091,2,4,7,43,3.07,0.1176971072036301,0.93,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,organelle membrane,3,GO:0031090,3,9,7,43,2.05,0.1465717878232435,0.83,A0A8V0Z5X2 A0A8V0Z1W6 A0A8V0ZA93
Cellular Component,protein-containing complex,1,GO:0032991,3,9,7,43,2.05,0.1465717878232435,0.83,A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0YDD6
Cellular Component,cell surface,2,GO:0009986,2,5,7,43,2.46,0.18000349055368925,0.74,A0A8V0Y0J2 A0A8V0ZV19
Cellular Component,extracellular space,2,GO:0005615,6,25,7,43,1.47,0.2089995088771101,0.68,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A1D5PZ68 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,cytoplasmic vesicle,6,GO:0031410,4,15,7,43,1.64,0.21528874308227622,0.67,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Cellular Component,vesicle,4,GO:0031982,4,15,7,43,1.64,0.21528874308227622,0.67,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Cellular Component,plasma membrane,3,GO:0005886,4,15,7,43,1.64,0.21528874308227622,0.67,A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,cell periphery,2,GO:0071944,4,15,7,43,1.64,0.21528874308227622,0.67,A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,intracellular vesicle,5,GO:0097708,4,15,7,43,1.64,0.21528874308227622,0.67,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Cellular Component,endomembrane system,2,GO:0012505,6,27,7,43,1.37,0.22917663461592824,0.64,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,membrane,2,GO:0016020,5,21,7,43,1.46,0.24044490408642422,0.62,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0ZV19 A0A8V0Z1W6 A0A8V0YDD6
Cellular Component,vesicle membrane,4,GO:0012506,2,6,7,43,2.05,0.24763870932184437,0.61,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,cytoplasmic vesicle membrane,5,GO:0030659,2,6,7,43,2.05,0.24763870932184437,0.61,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,secretory granule lumen,6,GO:0034774,2,6,7,43,2.05,0.24763870932184437,0.61,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,cytoplasmic vesicle lumen,5,GO:0060205,2,6,7,43,2.05,0.24763870932184437,0.61,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,vesicle lumen,4,GO:0031983,2,6,7,43,2.05,0.24763870932184437,0.61,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,extracellular region,2,GO:0005576,7,35,7,43,1.23,0.3149547571734644,0.5,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A1D5PZ68 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,perinuclear region of cytoplasm,2,GO:0048471,2,7,7,43,1.76,0.31783309852987834,0.5,A0A8V0Y0J2 A0A8V0Z1W6
Cellular Component,nucleus,5,GO:0005634,2,7,7,43,1.76,0.31783309852987834,0.5,A0A8V0ZA93 A0A8V0Y0J2
Cellular Component,secretory granule,8,GO:0030141,3,10,7,43,1.84,0.3248596377234765,0.49,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,secretory vesicle,7,GO:0099503,3,11,7,43,1.68,0.34695514048888987,0.46,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,intracellular membrane-bounded organelle,4,GO:0043231,6,29,7,43,1.27,0.39635054046792434,0.4,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,cytoplasm,2,GO:0005737,6,29,7,43,1.27,0.39635054046792434,0.4,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,organelle,2,GO:0043226,6,31,7,43,1.19,0.6519958314447378,0.19,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,membrane-bounded organelle,3,GO:0043227,6,31,7,43,1.19,0.6519958314447378,0.19,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,intracellular organelle,3,GO:0043229,6,31,7,43,1.19,0.6519958314447378,0.19,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,intracellular anatomical structure,2,GO:0005622,6,32,7,43,1.15,0.6562921792046784,0.18,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YDD6
Cellular Component,endoplasmic reticulum lumen,5,GO:0005788,2,10,7,43,1.23,0.6562921792046794,0.18,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,organelle lumen,3,GO:0043233,3,20,7,43,0.92,1.0,-0.0,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,intracellular organelle lumen,4,GO:0070013,3,20,7,43,0.92,1.0,-0.0,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,membrane-enclosed lumen,2,GO:0031974,3,20,7,43,0.92,1.0,-0.0,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
