KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00310 Lysine degradation,1,2,6,22,1.83,0.4805194805194808,0.32,A0A8V0Z1W6
map00600 Sphingolipid metabolism,1,2,6,22,1.83,0.4805194805194808,0.32,A0A8V0Z5X2
map01100 Metabolic pathways,1,4,6,22,0.92,1.0,-0.0,A0A8V0Z1W6
map04142 Lysosome,1,3,6,22,1.22,1.0,-0.0,A0A8V0Z5X2
map04151 PI3K-Akt signaling pathway,1,4,6,22,0.92,1.0,-0.0,A0A8V0YDD6
map04360 Axon guidance,1,2,6,22,1.83,0.4805194805194808,0.32,A0A1D5PZ68
map04510 Focal adhesion,1,4,6,22,0.92,1.0,-0.0,A0A8V0YDD6
map04512 ECM-receptor interaction,1,5,6,22,0.73,1.0,-0.0,A0A8V0YDD6
map04610 Complement and coagulation cascades,1,1,6,22,3.67,0.27272727272727204,0.56,A0A8V0Y0J2
map04657 IL-17 signaling pathway,1,3,6,22,1.22,1.0,-0.0,A0A8V1A049
map04810 Regulation of actin cytoskeleton,1,1,6,22,3.67,0.27272727272727204,0.56,A0A8V0YDD6
