GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,cell surface,2,GO:0009986,2,5,4,43,4.3,0.0600842719390648,1.22,A0A8V0Y0J2 A0A8V0ZV19
Cellular Component,perinuclear region of cytoplasm,2,GO:0048471,2,7,4,43,3.07,0.11769710720363011,0.93,A0A8V0Y0J2 A0A8V0Z1W6
Cellular Component,extracellular space,2,GO:0005615,4,25,4,43,1.72,0.1272992464143909,0.9,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Cellular Component,protein-containing complex,1,GO:0032991,2,9,4,43,2.39,0.18781298111984426,0.73,A0A8V0Y0J2 A0A8V0Z1W6
Cellular Component,endoplasmic reticulum,5,GO:0005783,3,17,4,43,1.9,0.2836885179483025,0.55,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6
Cellular Component,extracellular region,2,GO:0005576,4,35,4,43,1.23,1.0,-0.0,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Cellular Component,intracellular anatomical structure,2,GO:0005622,3,32,4,43,1.01,1.0,-0.0,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6
Cellular Component,cytoplasm,2,GO:0005737,3,29,4,43,1.11,1.0,-0.0,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6
Cellular Component,endomembrane system,2,GO:0012505,3,27,4,43,1.19,1.0,-0.0,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6
Cellular Component,membrane,2,GO:0016020,2,21,4,43,1.02,1.0,-0.0,A0A8V0ZV19 A0A8V0Z1W6
Cellular Component,organelle,2,GO:0043226,3,31,4,43,1.04,1.0,-0.0,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6
Cellular Component,membrane-bounded organelle,3,GO:0043227,3,31,4,43,1.04,1.0,-0.0,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6
Cellular Component,intracellular organelle,3,GO:0043229,3,31,4,43,1.04,1.0,-0.0,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6
