试剂名称	供应商
超纯水（H₂O）	Fisher Chemical
蛋白酶抑制剂 III (Protease Inhibitor Cocktail III)	Merck Millipore
蛋白酶抑制剂 V (Protease Inhibitor Cocktail V)	Merck Millipore
蛋白酶抑制剂 VI (Protease Inhibitor Cocktail VI)	Merck Millipore
蛋白酶抑制剂 IV (Protease Inhibitor Cocktail IV)	Merck Millipore
胰蛋白酶(trypsin)	Promega
磷酸化酶抑制剂(Phosphorylase inhibitor)	Millipore
碘乙酰胺(iodoacetamide, IAM)	Sigma-Aldrich
甲酸(formic acid)	Fluka
尿素(urea)	Sigma-Aldrich
二硫苏糖醇(DL-Dithiothreitol, DTT)	Sigma-Aldrich
乙腈(Acetonitrile)	ThermoFisher Scientific
三氟乙酸(trifluoroacetic acid, TFA)	Sigma-Aldrich
四乙基溴化铵(Tetraethylammonium bromide, TEAB)	Sigma-Aldrich
BCA试剂盒	碧云天
2-D Quant试剂盒	GE Healthcare
甲醇(Methanol)	ThermoFisher Scientific
乙醇(ethanol)	杭州高晶精细化工
二甲苯(dimethylbenzene)	Sangon Biotech
DNA提取酚试剂	Solarbio
乙酸(AceticAcid)	杭州高晶精细化工
考马斯亮蓝(coomassie brilliant blue)	碧云天
丙酮(Acetone)	杭州汉诺化工
三氯乙酸(Trichloroacetic acid,TCA)	Sigma-Aldrich
乙二胺四乙酸(Ethylene Diamine Tetraacetic Acid, EDTA)	Sigma-Aldrich
β-巯基乙醇(2-Hydroxy-1-ethanethiol)	Sigma-Aldrich
十二烷基硫酸钠(Sodium dodecyl sulfate, SDS)	Amresco
碳酸氢铵(Ammonium bicarbonate)	Sigma-Aldrich
聚乙二醇辛基苯基醚(Triton X-100)	Sigma Sangon Biotech
甘氨酸(Glycine)	Amresco
三氯甲烷(Trichloromethane)	Sigma-Aldrich
丙烯酰胺(Acrylamide)	Sigma-Aldrich
三羟甲基氨基甲烷(Tris-base)	Sigma-Aldrich
乙酸铵(ammonium acetate)	国药集团
去泛素化酶抑制剂(PR-619)	Selleck Chemicals
去乙酰化酶抑制剂(Trichostatin A ，TSA)	MedChemExpress
烟酰胺(Nicotinamide, NAM)	Sigma-Aldrich
TMT标记试剂	ThermoFisher Scientific
过硫酸铵(ammonium persulfate,  APS)	Sangon Biotech
盐酸(hydrochloric acid)	Sigma-Aldrich
四甲基乙二胺(N,N,N,N-Tetramethylethylenediamine,TEMED)	Sigma-Aldrich
氯化钠(Sodium chloride)	Sigma-Aldrich
氯化钾(Potassium chloride)	Sigma-Aldrich
磷酸二氢钾(Potassium dihydrogen phosphate)	Sigma-Aldrich
磷酸氢二钠(Dibasic Sodium Phosphate)	Aladdin
琼脂糖凝胶(agarose gel)	Sangon Biotech
Pierce Top 12 Abundant Protein Depletion Spin Columns	Thermo scientific
ProteoMiner™ Protein Enrichment Small-Capacity Kit	Bio-Rad Laboratories
Seppro ® Rat Spin Columns	Sigma-Aldrich
蔗糖(D(+)-Sucrose)	国药集团
PAGE银染试剂盒	Solarbio
丙三醇(Glycerol)	Sangon Biotech
丽春红(Ponceau S)	Amresco
蛋白标志物(Protein Marker)	Thermo scientific
奶粉(milk powder)	Amresco
小鼠二抗(Mouse IgG (H+L) Secondary Antibody)	Pierce
兔二抗(Rabbit IgG (H+L) Secondary Antibody)	Pierce
硝酸纤维过滤膜(nitrocellulose filter membrane, NC)	Bio-Rad Laboratories
聚偏氟乙烯(polyvinylidene fluoride, PVDF)	Bio-Rad Laboratories
辣根过氧化物酶(Horseradish Peroxidase, HRP)	Millipore
