Protein accession	Protein description	Gene name	Coverage [%]	Peptides	Razor + unique peptides	Unique peptides	Intensity G1	Intensity G2	Intensity G3	G1	G2	G3	G2/G1 Ratio	G3/G1 Ratio	G2/G3 Ratio
A0A1D5NW85	Extracellular fatty acid-binding protein OS=Gallus gallus OX=9031 GN=EXFABP PE=1 SV=1	EXFABP	29.78	6	6	6.0	2816390.0	798813.0	1080510.0	1.7993369696998092	0.5103461391273274	0.6903168911728634	0.28363010804611577	0.38365070178490907	0.7392925562928617
A0A1D5NYE8	Catenin beta-1 OS=Gallus gallus OX=9031 GN=CTNNB1 PE=1 SV=1	CTNNB1	10.5	8	8	5.0	12875.6	21777.8	5907.59	0.9523140337550932	1.6107447081543125	0.4369412580905939	1.6914007890894402	0.45882055981857156	3.6864101943432086
A0A1D5NYK7	Membrane-organizing extension spike protein OS=Gallus gallus OX=9031 GN=MSN PE=1 SV=1	MSN	11.72	10	2	2.0	21324.7	13880.6	18468.4	1.1919077686092072	0.7758324840657529	1.0322597473250401	0.6509165427884096	0.8660567323338664	0.7515864936865131
A0A1D5NZL7	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase OS=Gallus gallus OX=9031 GN=PLCB1 PE=1 SV=1	PLCB1	0.82	1	1	1.0	4817.21	2574.03	2085.92	1.5248903680005403	0.8148105550607989	0.660299076938661	0.534340416963346	0.43301413058596155	1.2340022627905194
A0A1D5PCX2	Charged multivesicular body protein 2a OS=Gallus gallus OX=9031 GN=CHMP2A PE=1 SV=2	CHMP2A	19.09	4	4	4.0	178590.0	132633.0	113540.0	1.2613386759204546	0.9367553200255202	0.8019060040540255	0.7426675625734923	0.6357578811803573	1.1681610005284482
A0A1D5PIQ5	mitogen-activated protein kinase OS=Gallus gallus OX=9031 GN=MAPK14 PE=1 SV=2	MAPK14	11.11	4	4	3.0	22556.4	34431.8	16177.5	0.9248760006396439	1.4118008848408474	0.6633231145195084	1.5264758560763243	0.7172022131191148	2.12837583062896
A0A1D5PM19	Myosin-9 OS=Gallus gallus OX=9031 GN=MYH9 PE=1 SV=2	MYH9	33.57	63	63	45.0	75781.2	128638.0	49261.5	0.8961801193389958	1.5212588107806388	0.5825610698803654	1.697492254015508	0.6500490886921823	2.6113293342671255
A0A1D5PPP7	Caspase-6 OS=Gallus gallus OX=9031 GN=CASP6 PE=2 SV=2	CASP6	2.63	1	1	0.0	4883.13	6453.58	4454.25	0.9277073718127334	1.2260647864347705	0.8462278417524964	1.3216072478103185	0.9121710869872397	1.4488589549306843
A0A1D5PRD7	Glucocorticoid receptor OS=Gallus gallus OX=9031 GN=NR3C1 PE=1 SV=1	NR3C1	1.3	1	1	1.0		1654.02			1.0				
A0A1D5PUP4	Reversion-inducing cysteine-rich protein with Kazal motifs OS=Gallus gallus OX=9031 GN=RECK PE=1 SV=1	RECK	3.12	3	3	0.0	19539.5	15580.0	19814.9	1.0670636249781558	0.8508329935341061	1.082103381487738	0.797359195475831	1.0140945264720183	0.7862769935755416
A0A1D5PZJ5	Ectonucleoside triphosphate diphosphohydrolase 1 OS=Gallus gallus OX=9031 GN=ENTPD1 PE=1 SV=1	ENTPD1	3.62	2	2	2.0	11359.8	22981.1	12074.4	0.7342277223243199	1.485357199027045	0.7804150786486354	2.02301977147485	1.0629060370781176	1.9032912608494004
A0A1L1RKB7	Calcium-transporting ATPase OS=Gallus gallus OX=9031 GN=ATP2A2 PE=3 SV=2	ATP2A2	13.15	13	13	0.0	34492.4	67665.2	26654.5	0.8033189428632869	1.5759047480787907	0.6207763090579224	1.9617422968537996	0.7727644350639562	2.5386032377272127
A0A3Q2TTB3	DNA-directed primase/polymerase protein OS=Gallus gallus OX=9031 GN=PRIMPOL PE=1 SV=1	PRIMPOL	1.74	1	1	1.0	81689.0	32779.4	202383.0	0.7734445863265871	0.31036062962006794	1.9161947840533446	0.4012706729180184	2.477481668278471	0.16196716127342714
A0A3Q2U7N5	Peptidase M20 domain containing 1 OS=Gallus gallus OX=9031 GN=PM20D1 PE=3 SV=1	PM20D1	10.76	6	6	0.0	66189.0	61074.6	56979.6	1.0777439818674448	0.9944670956648604	0.9277889224676948	0.9227303630512622	0.8608620767801296	1.0718678263799677
