G2vsG3	Protein accession	Gene name	G2	G3	Log2FC
1	A0A8V0Z2Y8	LOC107049545	2.4451967830149304	0.10234417782807513	4.578
2	A0A8V0Y4Q2	TG	0.10388018785609436	2.413931821302486	-4.538
3	P01875	--	0.12507735058758734	2.7203679922272728	-4.443
4	Q5ZJR3	OSTC	1.8782720497948617	0.12172795020513795	3.948
5	A0A1D5PNB8	AHCY	0.1293202267328893	1.8706797732671108	-3.855
6	A0A8V0Y218	LOC121108177	0.1170446391946961	1.5821120264102873	-3.757
7	A0A8V1A1Z6	LOC395944	0.7521079933374887	0.05602795902411117	3.747
8	A0A8V1AEU4	BLMH	2.156980788752941	0.16997557252398965	3.666
9	A0A1D5NW93	ATP5D	2.227821908966504	0.1890719056754826	3.559
10	A0A8V0X678	ARFIP2	1.7271468111910502	0.16180652385912894	3.416
11	A0A8V0Y9V7	NDUFS4	2.309968664857996	0.22113742607060735	3.385
12	A0A8V0XVT5	ALDH6A1	2.1656519975432897	0.21424044807267173	3.337
13	A0A8V1A8R6	C8G	0.18268089431049192	1.817319105689508	-3.314
14	E1C4N0	RPS10	1.817118324694948	0.1828816753050522	3.313
15	A0A8V0XUD0	EEF1D	2.1751776733344315	0.2315124719713189	3.232
16	P18944	MT-CO2	2.3322699767828743	0.24982632858631476	3.223
17	P84172	TUFM	1.8669313636761744	0.2039821329518582	3.194
18	A0A3Q2UJ64	UQCRB	2.2857254194708005	0.2592331677390011	3.14
19	F1NXH1	MARC1	2.2030496084935525	0.25224048534867555	3.127
20	A0A8V1A8T0	KRT24	2.127309509071866	0.2444200660750971	3.122
21	A0A8V1A4N7	ATP5PB	2.299321340175207	0.26915927979491305	3.095
22	F1NCA2	GPD2	1.854705635640684	0.22517043522155294	3.042
23	A0A8V0ZI98	ATP5J2	1.9987662870564569	0.2442376134118272	3.033
24	A0A1D5PC99	ETFA	2.187636659297055	0.2685182070443372	3.026
25	A0A8V0XCT3	TNX	0.19184040675840985	1.5444077842617223	-3.009
26	A0A8V0YRF2	BIRC8	0.3003803938046987	2.4086659779059962	-3.003
27	A0A8V0ZVD2	KRT18	2.0112209511449306	0.25602714262048565	2.974
28	A0A8V0YVI8	SYNE2	2.5043934693159833	0.3207715475569472	2.965
29	A0A8V0ZIX6	OVCH1	0.2896100077721109	2.208361190147956	-2.931
30	A0A8V0YY54	LMNAL	1.9858370442159037	0.26162367067739595	2.924
