Protein accession	Gene name	ratio	type
A0A8V1A8E4	TMPRSS9	0.5013868130414655	Down
A0A8V0XXW6	PUF60	0.6307032994155064	Down
A0A8V0XXM5	ARSA	0.4225165087568189	Down
A0A8V0XCI3	DSC1	0.29437833585151946	Down
A0A8V0XXK8	COL14A1	0.3335091604169714	Down
A0A8V0XX49	DMXL1	0.4265964558290989	Down
A0A8V0XCX4	SYNJ2	0.5381161154409421	Down
A0A8V0XX41	CNTN5	0.6072546025088708	Down
A0A8V0XWZ8	ENPP2	0.3147570073271636	Down
A0A8V0XDL7	ALG8	0.19040788785752805	Down
A0A8V0XWF0	NXPH2	0.5078577124197505	Down
A0A8V0XUK6	LOC107055489	0.2172763495984409	Down
A0A8V0XF68	--	0.18748793824380836	Down
A0A8V0XUJ8	RXFP1	0.4026504738186875	Down
A0A8V0XTF7	ABI3BP	0.3304743809663003	Down
A0A8V0XT17	TTC29	0.5318525542506918	Down
A0A8V0XIQ8	MANEA	0.4227332675878949	Down
A0A8V0XQS7	UGGT2	0.3011822889902072	Down
A0A8V0XBI2	OMP	0.642777438451419	Down
A0A8V0XB58	CAMK2D	0.44054332626965936	Down
A0A8V0XYZ6	--	0.5014768161581062	Down
A0A8V0XAF8	WDR35	0.5986174056956127	Down
A0A8V0Y2Y6	LOC423629	0.4130967418687856	Down
A0A8V0X637	SMPD1	0.6052188990030343	Down
A0A8V0X643	PPME1	0.5245449631319219	Down
A0A8V0Y2G8	CABCOCO1	0.26351932257285193	Down
A0A8V0ZSX6	EIF2AK4	0.522973682601076	Down
A0A8V0Y290	EMILIN1	0.15562896627770584	Down
A0A8V0Y218	LOC121108177	0.07397999461533898	Down
A0A8V0Y1N7	DNAI1	0.458733833379634	Down
A0A8V0XJ84	TGFB3	0.6360601193537544	Down
A0A8V0X783	TCN2	0.5895576086639226	Down
A0A8V0X8D5	BF1	0.2641525306605616	Down
A0A8V0X8P6	TNX	0.24054374713184015	Down
A0A8V0Y0F3	EMILIN1	0.5955377447786697	Down
A0A8V0XZV7	IGSF3	0.5473893417230586	Down
A0A8V0X9N1	ILVBL	0.3815009021278013	Down
A0A8V0XZQ1	NEB	0.6139022121852923	Down
A0A8V0XA12	PPIC	0.5546901236677292	Down
A0A8V0XAE5	LOC121108470	0.5332663341438436	Down
A0A8V0X852	SCIN	0.4929406594727373	Down
A0A8V0XPN5	RPS23	0.2350655401900709	Down
A0A8V0XL09	ADGB	0.3666458610364821	Down
A0A8V0XN00	CFAP69	0.5417795788240491	Down
A0A8V0XFB5	DFNA5	0.5156719763700617	Down
A0A8V0XEJ0	--	0.35781447858888155	Down
A0A8V0XE95	OMP	0.6002361630762527	Down
A0A8V0XYR2	EDN1	0.3646805764680577	Down
A0A8V0XDT2	--	0.4648872783212541	Down
A0A8V0XDM2	FOLR1	0.6489575190317047	Down
A0A8V0Y070	TLL1	0.5975002057255712	Down
A0A8V0XCT3	TNX	0.1242161615043373	Down
A0A8V0XFL3	--	0.6044270206773569	Down
A0A8V0Y0V1	SEMA4D	0.6066876249440908	Down
A0A8V0Y132	LOC424300	0.2629401481005904	Down
