Protein.accession	Protein.description	Gene.name	G1	G2	G3	label
A0A8V0Y4G8	Leucine rich repeat and fibronectin type III domain containing 1 OS=Gallus gallus OX=9031 GN=LRFN1 PE=3 SV=1	LRFN1	1.01450127339178	0.792985299259299	1.19251342734893	A0A8V0Y4G8
A0A8V0Y969	Cadherin domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	1.03119139003406	0.783579892584919	1.18522871738102	A0A8V0Y969
A0A8V1AFC3	WW domain binding protein 2 OS=Gallus gallus OX=9031 GN=WBP2 PE=1 SV=1	WBP2	1.0266347309631	0.766521081770306	1.2068441872666	A0A8V1AFC3
A0A8V0XLN9	Solute carrier family 39 member 8 OS=Gallus gallus OX=9031 GN=SLC39A8 PE=1 SV=1	SLC39A8	1.04196626976148	0.759459631253073	1.19857409898545	A0A8V0XLN9
A0A8V0YU83	Phospholipid-transporting ATPase OS=Gallus gallus OX=9031 GN=ATP10A PE=3 SV=1	ATP10A	1.07316125714424	0.768330594637306	1.15850814821845	A0A8V0YU83
A0A8V0X370	Dynein axonemal heavy chain 5 OS=Gallus gallus OX=9031 GN=DNAH5 PE=1 SV=1	DNAH5	1.06558299265433	0.764782219297765	1.1696347880479	A0A8V0X370
A0A8V0YW12	Tyrosine-protein kinase OS=Gallus gallus OX=9031 GN=FRK PE=3 SV=1	FRK	1.05152935124485	0.770096603661251	1.17837404509389	A0A8V0YW12
A0A8V0ZBJ8	Exostosin glycosyltransferase 2 OS=Gallus gallus OX=9031 GN=EXT2 PE=3 SV=1	EXT2	1.06170704959679	0.757784575960772	1.18050837444244	A0A8V0ZBJ8
A0A8V0XJ84	Transforming growth factor beta-3 proprotein OS=Gallus gallus OX=9031 GN=TGFB3 PE=3 SV=1	TGFB3	1.06211230856495	0.753403289846852	1.1844844015882	A0A8V0XJ84
A0A8V1A929	SEA domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	1.05616781338323	0.752875898153591	1.19095628846318	A0A8V1A929
A0A8V0ZWH1	Polypeptide N-acetylgalactosaminyltransferase OS=Gallus gallus OX=9031 GN=GALNT6 PE=1 SV=1	GALNT6	1.07706268199614	0.752114832807247	1.17082248519661	A0A8V0ZWH1
A0A8V0XBI2	Calpain 5 OS=Gallus gallus OX=9031 GN=OMP PE=1 SV=1	OMP	1.08803640025701	0.748103203933488	1.1638603958095	A0A8V0XBI2
A0A8V0ZW46	UDP-glucose glycoprotein glucosyltransferase 1 OS=Gallus gallus OX=9031 GN=UGGT1 PE=1 SV=1	UGGT1	1.09940264638777	0.739119766498553	1.16147758711367	A0A8V0ZW46
A0A8V1ACS0	Ubiquitin-ribosomal protein eL40 fusion protein OS=Gallus gallus OX=9031 GN=UBA52 PE=1 SV=1	UBA52	1.0538933983519	0.744008782797709	1.20209781885039	A0A8V1ACS0
A0A1D5PA74	Hexosyltransferase OS=Gallus gallus OX=9031 GN=CHPF PE=3 SV=2	CHPF	1.05873945225573	0.738103045610311	1.20315750213396	A0A1D5PA74
