COG/KOG category	Category description	Number of proteins
INFORMATION STORAGE AND PROCESSING	[A] RNA processing and modification	5
INFORMATION STORAGE AND PROCESSING	[B] Chromatin structure and dynamics	2
METABOLISM	[C] Energy production and conversion	14
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	12
METABOLISM	[E] Amino acid transport and metabolism	15
METABOLISM	[F] Nucleotide transport and metabolism	8
METABOLISM	[G] Carbohydrate transport and metabolism	21
METABOLISM	[H] Coenzyme transport and metabolism	1
METABOLISM	[I] Lipid transport and metabolism	14
INFORMATION STORAGE AND PROCESSING	[J] Translation, ribosomal structure and biogenesis	9
INFORMATION STORAGE AND PROCESSING	[K] Transcription	8
INFORMATION STORAGE AND PROCESSING	[L] Replication, recombination and repair	5
CELLULAR PROCESSES AND SIGNALING	[M] Cell wall/membrane/envelope biogenesis	12
CELLULAR PROCESSES AND SIGNALING	[N] Cell motility	1
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	68
METABOLISM	[P] Inorganic ion transport and metabolism	10
METABOLISM	[Q] Secondary metabolites biosynthesis, transport and catabolism	2
POORLY CHARACTERIZED	[R] General function prediction only	75
POORLY CHARACTERIZED	[S] Function unknown	34
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	97
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	31
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	22
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	17
CELLULAR PROCESSES AND SIGNALING	[Y] Nuclear structure	1
CELLULAR PROCESSES AND SIGNALING	[Z] Cytoskeleton	30
