KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell growth and death	17	A0A8V1A9K2;Q04619;A0A8V0XB58;A0A8V1A9R2;A0A8V0ZN94;A0A8V1A081;A0A8V0ZHP3;P02789;A0A3Q3ACS4;A0A8V0X8D5;A0A8V0YMA2;A0A8V0ZBD1;A0A8V0ZVX9;F1NUX4;A0A8V0XY43;A0A8V1ADL7;A0A1D5P420
Cellular Processes	Cell motility	10	A0A8V0ZMM6;A0A8V0X163;A0A8V0Z8U4;A0A1D5NYK7;A0A3Q3ACS4;A0A8V0YDD6;A0A8V0X852;A0A8V0XPN3;Q90694;Q9I946
Cellular Processes	Cellular community - eukaryotes	25	A0A8V0XD22;A0A1D5PZV7;A0A8V0XCT3;A0A8V0ZI29;A0A8V0Y0T2;A0A8V0YM05;A0A3Q2U0G2;A0A8V0Z8U4;A0A8V0ZXW3;A0A8V0XPN3;Q90694;A0A1D5NZL7;A0A8V0X8P6;A0A8V0XY43;Q0PVE4;A0A8V0YHC1;A0A3Q3ACS4;A0A8V1ABC9;Q9I946;F1NMU4;A0A8V1A9R2;A0A8V0Y413;A0A1D5NYK7;A0A8V0YDD6;A0A8V1AJV5
Cellular Processes	Transport and catabolism	47	A0A1D5PCU0;A0A8V0Z6U6;Q8AXV0;F1NUX4;A0A1D5NVM6;E1BZH7;A0A8V0Z8U4;Q90694;A0A8V0Z4J0;E1BS94;A0A8V0ZTS7;A0A8V0YB43;A0A8V0ZZG2;A0A1D5PXK6;A0A8V0YMC5;A0A8V0XEJ5;A0A8V0YKG1;A0A8V0XXP1;A0A8V0ZPJ9;A0A8V0X8U3;A0A140T8H8;Q0PVE4;A0A8V0ZZU1;A0A8V0XDM2;A0A8V0XLB9;A0A8V0XL80;A0A3Q3ACS4;A0A8V0ZH54;A0A8V0Y2J1;A0A8V0XX49;A0A8V0XA34;F1NV47;A0A8V0X8D5;A0A8V1ADL7;F1NMU4;A0A8V0XKX6;A0A8V0Y413;A0A8V0ZN94;A0A8V0ZF48;A0A8V0XK27;Q5ZIP7;A0A1D5NWR3;A0A8V0Y6Z6;A0A8V0ZNQ8;A0A8V0Z9Y8;Q5ZHL0;A0A1D5P420
Environmental Information Processing	Membrane transport	1	A0A8V0ZF15
Environmental Information Processing	Signal transduction	87	A0A8V1A081;A0A3Q2U0G2;A0A8V0YVT3;A0A8V0ZEJ3;A0A8V0ZQ22;A0A1L1RWI9;A0A8V0YB43;A0A8V0ZZG2;A0A8V0XEJ5;A0A8V1ABC8;A0A8V0ZMM6;A0A1D5NWP2;A0A8V0Y2J1;A0A8V0XA34;A0A142EGP7;A0A8V0Y644;A0A8V1A9R2;A0A8V0ZZL0;A0A8V0XD22;A0A8V0YSE9;A0A8V0Y0T2;A0A8V0YM05;A0A8V0XR66;A0A3Q3AWM4;A0A8V0XK73;Q0PVE4;R4GKD1;A0A3Q3ACS4;A0A8V0X381;A0A8V1ABC9;A0A8V0YRK4;A0A8V0XKX6;A0A8V0Y413;A0A8V0Z6U6;A0A8V0Z8U4;A0A8V0ZYM1;E1BS74;A0A8V0XKR3;A0A8V0ZVX9;A0A8V0X2V3;Q90694;A0A8V0YC57;A0A1D5NZL7;A0A8V0ZQT9;A0A8V1AAZ4;A0A8V0X163;A0A8V0XXP1;S4VGQ1;A0A8V0YHC1;A0A8V0XLB9;A0A8V0YMA2;A0A1D5P9D0;A0A8V0ZE99;O12971;A0A8V1A2A7;A0A8V0XRQ6;A0A8V0Z857;A0A8V0YLX6;A0A8V0YFD4;A0A8V0XCT3;A0A8V0YA55;A0A8V0ZBD1;A0A8V0YWW2;A0A8V0YJI7;A0A8V0XBS7;A0A8V0XYR2;A0A8V0ZTS7;A0A8V0X8P6;E1C9E0;A0A8V0YHH6;A0A1D5P1F1;A0A8V0XY43;A0A8V1AJ90;A0A8V0ZRN1;Q04619;A0A8V0XB58;A0A8V0ZZU1;A0A8V0YFC7;A0A8V0YQA1;A0A8V0YMS7;P02789;Q9I946;A0A1D5P1T0;A0A8V0YDD6;A0A8V0Y6Z6;Q5ZIP7;F1NUX4
Environmental Information Processing	Signaling molecules and interaction	29	A0A3Q2UGT3;A0A1D5PZV7;A0A8V0YSE9;A0A8V0ZI29;A0A8V0XCT3;A0A8V0XRC4;A0A8V0Y0T2;A0A1D5NW03;A0A8V0Y4R7;A0A8V1A134;A0A8V0YXG4;A0A8V0ZJX2;A0A8V0XRN3;A0A8V0XYR2;A0A8V1AAN2;A0A8V0XRT4;A0A8V0X8P6;A0A8V0XFN7;A0A3Q3A7M3;Q03696;P31696;A0A8V0ZMM6;A0A8V0YHC1;A0A8V0ZHP3;A0A8V0Y2J1;A0A8V0X8D5;A0A8V0Y413;A0A8V0YDD6;A0A8V0YLX6
Genetic Information Processing	Folding, sorting and degradation	17	A0A8V0XF68;Q04619;A0A8V0ZZG2;A0A1D5PH43;A0A8V0XLH3;A0A8V0YPT3;A0A8V0XCV2;A0A1D5PNL3;A0A8V0XK64;Q90593;A0A8V0X2C5;A0A8V0YMA2;A0A8V0Y726;A0A8V0XFV9;A0A8V0XQS7;A0A8V0Z4J0;A0A8V0YFD4
Genetic Information Processing	Replication and repair	2	A0A8V1AP07;A0A8V0XK64
Genetic Information Processing	Transcription	1	A0A8V0XKJ6
Genetic Information Processing	Translation	10	Q98TH5;A0A8V1A6A3;A0A8V0XKJ6;A0A8V0XPN5;F1NQG5;A0A8V0Z083;A0A8V0ZBD1;A0A1D5NVI1;A0A1D5PNG3;A0A8V0Z4J0
Metabolism	Amino acid metabolism	5	A0A1D5PH80;A0A8V0Y9E4;A0A8V0YPT3;A0A8V0XH76;E1BYF1
Metabolism	Carbohydrate metabolism	19	Q5ZLA0;A0A8V0XH76;A0A3Q2U0G2;A0A8V0ZYM1;P07032;A0A1D5NZL7;A0A1D5PQV0;A0A8V1A4P2;A0A8V0ZPJ9;A0A8V0YKA1;A0A8V0ZLV3;A0A8V0YFC7;A0A8V0YZ27;A0A8V0Z832;A0A1L1RQ91;A0A8V1AAP7;A0A8V0YJV4;A0A8V0XMD4;A0A8V0XUH8
Metabolism	Energy metabolism	10	A0A1D5PCU0;A0A8V0Z6U6;A0A8V1AKN8;A0A8V0YPT3;A0A8V0YLT1;A0A8V0Y6Z6;Q5ZHL0;A0A8V0ZE88;A0A8V0ZUQ1;A0A8V1A997
