KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell growth and death	52	A0A8V1A9H2;A0A3Q2UHM4;A0A8V1A081;A0A8V0XMI5;P09644;A0A8V0ZX20;A0A8V0ZBD1;A0A8V0ZVX9;A0A8V0YXU7;A0A8V0Z0M2;A0A8V0XMJ6;A0A1D5PD64;A0A8V0ZHE8;A0A8V1AKZ9;A0A8V0YFT7;F1NWX0;A0A8V1A370;Q5ZLQ6;A0A8V1A640;A0A8V0XAS9;A0A8V0Z5C6;A0A8V0XY43;P13648;Q04619;A0A8V1A9K2;A0A8V0XB58;A0A8V0ZAL2;A0A8V0ZCS2;A0A8V0Y4G2;A0A8V0WZH6;A0A8V0ZHP3;A0A3Q3ACS4;E1BSN7;A0A8V0XKF3;A0A8V0YMA2;A0A8V0X8Q3;A0A8V0YY54;A0A8V0XKW4;A0A8V0YBR3;A0A8V1ADL7;P02789;A0A8V0X8D5;A0A1D5NT61;Q5ZIE0;A0A8V1A9R2;A0A8V0ZN94;Q5ZLG7;A0A8V0YVH2;F1NUX4;A0A1D5PIQ5;A0A8V1A8S1;A0A1D5P420
Cellular Processes	Cell motility	28	A0A8V0YNC4;A0A8V0ZUI9;A0A8V0Z8U4;A0A8V0ZD41;A0A1D5PIZ8;A0A3Q2UHS2;A0A8V0YR59;A0A8V0XPN3;Q90694;A0A8V0X5B9;Q5ZMV5;A0A8V0X163;E1BS97;A0A8V1A640;A0A8V0Z5C6;A0A8V0X852;A0A1L1RM08;A0A8V0ZMM6;A0A8V1A3U0;A0A8V0Y5A6;A0A1D5PM19;A0A3Q3ACS4;A0A8V0XE48;Q9I946;A0A3Q2UGG0;P53488;A0A1D5NYK7;A0A8V0YDD6
Cellular Processes	Cellular community - eukaryotes	59	A0A8V0XD22;A0A1D5PZV7;A0A8V0XCT3;A0A8V1A2W0;A0A8V0ZI29;A0A8V0Y0T2;A0A8V0YM05;A0A3Q2U0G2;A0A8V0Z8U4;A0A8V0XDR8;A0A8V0ZD41;A0A1D5PIZ8;P09644;A0A8V0YR59;A0A8V0ZXW3;A0A8V0XPN3;Q90694;A0A8V0X5B9;A0A1D5P6T3;A0A8V0X4B2;A0A1D5NZL7;A0A1D5PPF8;A0A8V0X8P6;A0A8V0XKI2;F1NWX0;A0A8V0XWR2;Q5ZMV5;E1BS97;A0A8V0XCW4;A0A8V1A640;A0A8V0Z5C6;A0A1L1RM08;A0A8V0XY43;A0A8V1A3U0;A0A8V0Y5A6;Q0PVE4;A0A1L1RLN6;A0A1D5PM19;A0A3Q2U1A5;A0A8V0YHC1;A0A3Q3ACS4;A0A8V0XE48;A0A8V0Y699;A0A8V1ABC9;A0A1D5NYG3;Q9I946;A0A1D5NYE8;F1NMU4;A0A8V1A9R2;A0A8V0Y413;P53488;A0A8V0YW34;A0A1D5NYK7;Q01406;A0A8V0XTR4;A0A8V0YDD6;A0A8V1AJV5;A0A3Q2U4B8;A0A1D5PIQ5
Cellular Processes	Transport and catabolism	99	A0A1D5PXH0;Q8AXV0;P28497;A0A8V0XEP8;A0A8V0XEA4;A0A8V0YRF1;P09644;A0A8V0YB43;P14315;A0A8V0ZSC5;A0A8V0ZZG2;A0A8V0XEJ5;Q5ZMV5;A0A8V0Y8B8;A0A8V1A3U0;A0A8V0X8Q3;A0A8V0Y2J1;A0A8V0XA34;F1NV47;A0A8V0X8D5;A0A8V1ABS2;A0A8V0ZN94;A0A8V0ZF48;A0A1D5PCU0;A0A8V0X8Q2;A0A8V0X8L8;A0A8V0XMI5;A0A8V1A0C2;E1BS94;A0A8V0XKI2;A0A8V0ZKS5;A0A8V0X8U3;A0A8V1A6B5;Q0PVE4;A0A1D5P8I7;A0A8V0Y4G2;A0A8V0YZJ3;Q5ZJW4;A0A3Q3ACS4;A0A8V0X354;A0A8V0YSF6;A0A8V0XKX6;A0A8V0Y413;A0A8V1AK12;A0A8V0Y4M2;A0A8V0Z6U6;F1NUX4;A0A1D5NVM6;A0A8V0Z8U4;Q90694;P13127;A0A8V0XMJ6;A0A8V0Z4J0;A0A8V0YKG1;A0A1L1RWX8;A0A8V0XXP1;A0A8V0ZPJ9;A0A8V0ZCS2;A0A8V0XLB9;A0A8V0XL80;A0A1D5PL88;A0A8V1ALI6;F1NMU4;A0A8V0XFZ5;A0A8V0XK27;A0A8V0ZNQ8;A0A8V0Z9Y8;A0A8V0XNP4;A0A1D5NWL9;A0A8V0YF91;E1BZH7;A0A8V0Y8S2;A0A8V0ZYI9;A0A8V0X5B9;A0A8V0ZTS7;A0A1D5PXK6;F1NWX0;A0A8V1A370;A0A8V0YMC5;A0A8V0ZEP8;A0A140T8H8;F1P337;A0A8V0ZAL2;A0A8V0ZZU1;A0A8V0XDM2;A0A8V0Y8A2;A0A8V0ZH54;A0A8V1AJ29;A0A8V0XX49;A0A8V1ADL7;F1NBW2;A0A8V1AHP0;P53488;A0A1D5NWR3;A0A8V0Y6Z6;A0A8V0YIX8;Q5ZIP7;Q5ZHL0;A0A1D5P420
Environmental Information Processing	Membrane transport	1	A0A8V0ZF15
Environmental Information Processing	Signal transduction	144	A0A8V1A081;A0A3Q2U0G2;A0A8V0YVT3;P15120;A0A8V0ZEJ3;A0A8V0ZQ22;A0A8V0YB43;A0A1L1RWI9;A0A8V0ZZC8;A0A8V0ZZG2;A0A8V0XEJ5;A0A8V1ABC8;E1BS97;A0A1D5P1U2;A0A8V0ZMM6;A0A8V0XK63;A0A8V0X5E1;A0A8V0XE48;A0A8V0Y2J1;A0A8V0Y699;A0A1D5NWP2;A0A1D5NYG3;A0A142EGP7;A0A8V0XA34;A0A1D5NYE8;A0A8V0Y644;A0A8V1A9R2;A0A8V0YW34;Q5ZLG7;A0A8V0ZZL0;A0A8V0XD22;A0A8V0YSE9;A0A8V0Y0T2;A0A8V0YM05;A0A8V0XR66;A0A8V0XDR8;A0A3Q3AWM4;A0A8V0YR59;A0A8V0YXU7;A0A8V0XHN0;A0A8V0XWR2;A0A8V0XKI2;A0A8V0ZM20;A0A8V0XK73;A0A8V0XCW4;A0A8V1A640;Q0PVE4;A0A3Q2U1A5;R4GKD1;A0A3Q3ACS4;A0A8V0X354;A0A8V0X381;A0A8V1ABC9;A0A8V0Z1Z1;A0A8V0YRK4;A0A8V0XKX6;A0A8V0Y413;A0A8V1AK12;A0A8V0XTR4;A0A3Q2U4B8;A0A1D5PIQ5;A0A8V1A8S1;A0A8V0ZUI9;A0A8V0Z6U6;A0A8V1A1U8;A0A8V1A2W0;A0A1D5PEH3;A0A8V0Z8U4;A0A8V0ZYM1;E1BS74;A0A8V0XKR3;A0A8V0ZVX9;A0A8V0X2V3;Q90694;A0A8V0YC57;A0A8V0ZHE8;A0A1D5NZL7;A0A8V0ZQT9;A0A8V0YFT7;A0A8V1AAZ4;A0A8V0X163;A0A8V0XXP1;A0A8V0Z5C6;S4VGQ1;A0A8V0WZH6;A0A8V0YHC1;A0A1L1RKB7;A0A8V0XLB9;A0A8V0XKF3;A0A8V0YMA2;A0A1D5P9D0;A0A8V0ZE99;O12971;A0A8V1A2A7;A0A8V0Y652;A0A8V0XRQ6;A0A8V0Z857;A0A8V0Z0R4;A0A8V0YLX6;A0A8V0YFD4;A0A8V0YNC4;A0A3Q2UHM4;A0A8V0XCT3;A0A8V0YA55;A0A8V1ACH5;A0A8V0ZBD1;A0A8V0YWW2;A0A8V0YJI7;A0A8V0XBS7;A0A8V0XYR2;A0A8V0Z0M2;A0A8V0X5B9;A0A8V0ZTS7;A0A1D5P6T3;A0A1D5PD64;A0A8V0X4B2;A0A8V0X8P6;E1C9E0;Q5ZLQ6;A0A8V0YHH6;A0A8V0ZX92;A0A1D5P1F1;A0A8V0XY43;A0A8V1AJ90;A0A8V0ZRN1;Q04619;A0A8V0XB58;A0A8V0ZZU1;A0A1D5NYF8;A0A8V0YFC7;E1BTT8;A0A8V0YQA1;A0A8V0YMS7;K9JA28;Q9I946;P02789;A0A1D5P1T0;F1NBW2;A0A8V0XTC5;A0A8V0YDD6;A0A8V0Y6Z6;A0A8V0YIX8;Q5ZIP7;F1NUX4
Environmental Information Processing	Signaling molecules and interaction	45	A0A8V0YNC4;A0A3Q2UGT3;A0A1D5PZV7;A0A8V0YSE9;A0A8V0ZI29;A0A8V0X8L8;A0A8V0XCT3;A0A8V0XRC4;A0A8V0Y0T2;A0A1D5NW03;A0A8V1A2W0;A0A8V0Y4R7;A0A8V1A134;A0A8V0XDR8;A0A8V0YXG4;A0A8V0ZJX2;A0A8V0XRN3;A0A8V0Z0M2;A0A8V0XYR2;A0A8V1AAN2;A0A8V0X4B2;A0A8V0XRT4;A0A8V0X8P6;A0A8V0XKI2;A0A8V0YAJ1;E1C733;A0A8V0XCW4;O42220;A0A8V0XFN7;A0A3Q3A7M3;Q03696;P31696;A0A8V0ZMM6;A0A8V0YHC1;A0A8V0ZHP3;A0A8V0X5E1;A0A8V0X8Q3;A0A8V0Y2J1;A0A8V0YBR3;A0A8V0X8D5;K9JA28;A0A8V0Y413;A0A8V0Y652;A0A8V0YDD6;A0A8V0YLX6
Genetic Information Processing	Folding, sorting and degradation	73	A0A8V0Y2X7;A0A8V0Z3K2;F1NZ86;A0A8V0YD10;A0A8V0Z7B5;A0A8V0YQY8;A0A8V1A582;F1NC02;A0A8V1APZ6;A0A1D5NXL7;A0A8V0ZZE1;A0A8V0ZNG1;A0A8V0Y726;A0A8V0ZI24;A0A8V0ZEY1;A0A8V0ZH96;A0A8V0Z4J0;A0A8V0XLH3;A0A8V0XHN0;A0A8V0ZMT8;F1NU79;A0A8V0ZZG2;Q5ZLI2;A0A1D5PH43;A0A8V1A8C9;A0A8V0XY82;A0A8V0X2C5;A0A8V0XB52;A0A8V0XAS9;A0A8V0ZNX9;A0A8V0ZHZ7;A0A8V0XF68;Q04619;Q5ZL72;A0A8V0ZCS2;A0A1D5NYF8;A0A8V0XCV2;A0A8V0YPT3;A0A1D5PNL3;A0A8V0ZRZ2;A0A8V0ZY42;A0A8V0XK64;Q5ZJW4;Q90593;Q5ZKB9;A0A8V0XRD5;A0A8V0YMA2;A0A8V1ABH8;A0A8V0ZE30;A0A8V0ZNG4;A0A8V0XW93;A0A3Q2UGR5;A0A8V0Y4P5;A0A1D5NTY5;Q5ZLA7;F1NR71;R4GLB3;A0A8V0X7N6;A0A8V0YCZ5;A0A1D5PJW4;A0A8V0ZH27;A0A1L1RZR2;A0A8V0XQS7;A0A8V0XFV9;A0A8V0ZBT6;A0A1L1RP66;A0A8V0XTH6;A0A8V0ZRK8;A0A8V1A8S1;A0A8V0XGH4;Q7ZT63;A0A8V0YFD4;A0A8V1AF05
Genetic Information Processing	Replication and repair	6	A0A8V1A3Y9;A0A8V0XMI5;A0A8V0XK64;A0A8V0YW57;A0A8V0ZBT6;A0A8V1AP07
Genetic Information Processing	Transcription	14	A0A8V0X7I3;A0A1D6UPS9;A0A1D5PXH1;A0A8V0XKJ6;A0A8V0YZ41;A0A1D5PSI3;A0A8V0XXW6;A0A8V1AFZ6;Q5ZHZ0;A0A8V0XYP5;A0A3S5ZPN3;E1C8Y9;A0A8V0YUR4;F1NAC8
