COG/KOG category	Category description	Number of proteins
INFORMATION STORAGE AND PROCESSING	[A] RNA processing and modification	26
INFORMATION STORAGE AND PROCESSING	[B] Chromatin structure and dynamics	4
METABOLISM	[C] Energy production and conversion	68
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	9
METABOLISM	[E] Amino acid transport and metabolism	23
METABOLISM	[F] Nucleotide transport and metabolism	15
METABOLISM	[G] Carbohydrate transport and metabolism	17
METABOLISM	[H] Coenzyme transport and metabolism	6
METABOLISM	[I] Lipid transport and metabolism	30
INFORMATION STORAGE AND PROCESSING	[J] Translation, ribosomal structure and biogenesis	69
INFORMATION STORAGE AND PROCESSING	[K] Transcription	11
INFORMATION STORAGE AND PROCESSING	[L] Replication, recombination and repair	2
CELLULAR PROCESSES AND SIGNALING	[M] Cell wall/membrane/envelope biogenesis	8
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	99
METABOLISM	[P] Inorganic ion transport and metabolism	13
METABOLISM	[Q] Secondary metabolites biosynthesis, transport and catabolism	6
POORLY CHARACTERIZED	[R] General function prediction only	64
POORLY CHARACTERIZED	[S] Function unknown	18
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	66
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	51
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	15
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	15
CELLULAR PROCESSES AND SIGNALING	[Y] Nuclear structure	6
CELLULAR PROCESSES AND SIGNALING	[Z] Cytoskeleton	42
