COG/KOG category	Category description	Number of proteins
INFORMATION STORAGE AND PROCESSING	[A] RNA processing and modification	33
INFORMATION STORAGE AND PROCESSING	[B] Chromatin structure and dynamics	7
METABOLISM	[C] Energy production and conversion	71
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	28
METABOLISM	[E] Amino acid transport and metabolism	35
METABOLISM	[F] Nucleotide transport and metabolism	17
METABOLISM	[G] Carbohydrate transport and metabolism	43
METABOLISM	[H] Coenzyme transport and metabolism	11
METABOLISM	[I] Lipid transport and metabolism	32
INFORMATION STORAGE AND PROCESSING	[J] Translation, ribosomal structure and biogenesis	76
INFORMATION STORAGE AND PROCESSING	[K] Transcription	17
INFORMATION STORAGE AND PROCESSING	[L] Replication, recombination and repair	6
CELLULAR PROCESSES AND SIGNALING	[M] Cell wall/membrane/envelope biogenesis	16
CELLULAR PROCESSES AND SIGNALING	[N] Cell motility	4
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	159
METABOLISM	[P] Inorganic ion transport and metabolism	21
METABOLISM	[Q] Secondary metabolites biosynthesis, transport and catabolism	9
POORLY CHARACTERIZED	[R] General function prediction only	133
POORLY CHARACTERIZED	[S] Function unknown	49
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	152
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	83
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	29
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	41
CELLULAR PROCESSES AND SIGNALING	[Y] Nuclear structure	11
CELLULAR PROCESSES AND SIGNALING	[Z] Cytoskeleton	88
