KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell growth and death	52	A0A8V1A9H2;A0A3Q2UHM4;A0A8V0X453;Q5ZM47;A0A1D5P2H5;A0A8V0XGQ4;P09644;Q5ZMJ6;A0A1D5PFR7;A0A8V0ZHF5;A0A8V0ZX20;A0A3Q2U596;A0A1D5PA08;A0A8V0YXU7;A0A8V0Z0M2;A0A8V0Z687;E1BSI4;A0A1D5PD64;A0A8V0ZHE8;A0A8V1AKZ9;A0A8V0YFT7;F1NWX0;Q5ZLQ6;A0A1D5PT47;A0A1D5P7C1;P08642;A0A8V0XR85;A0A8V0XAS9;A0A8V0Z5C6;A0A8V0ZAI6;P13648;A0A1D5PUL6;A0A8V0ZAL2;A0A8V0ZCS2;A0A8V0YJ41;A0A8V0XKF3;E1BSN7;A0A8V1AHK4;A0A8V0YY54;A0A8V0YBR3;A0A8V0ZQ95;P00789;F1NYJ1;A0A1D5NT61;A0A8V0ZQN3;A0A8V0Z0Y0;A0A8V0ZV32;A0A1L1RPJ2;Q5ZLG7;A0A8V0ZIN3;F1NUX4;A0A1D5PIQ5
Cellular Processes	Cell motility	27	A0A8V0YNC4;A0A8V0ZUI9;A0A8V0YY47;Q90WD0;A0A8V0ZD41;A0A1D5PIZ8;A0A8V0X5B9;Q5ZMV5;A0A8V0XMT9;E1BS97;P08642;A0A3S5ZPV2;A0A8V0Z5C6;A0A1L1RM08;A0A8V1A3U0;H9L0D7;A0A8V0Y5A6;A0A1D5PM19;A0A8V0ZY87;A0A3Q2UAP0;A0A8V0ZQN3;A0A3Q2UGG0;P53488;A0A1L1RPJ2;A0A8V1AHP5;A0A8V0ZIN3;A0A8V0Z153
Cellular Processes	Cellular community - eukaryotes	44	A0A8V1AEW4;Q5ZM47;A0A8V1A2W0;Q90WD0;A0A8V0ZD41;A0A1D5PIZ8;P09644;A0A8V0ZHF5;A0A8V0X5B9;A0A1D5PPF8;F1NWX0;A0A8V0XWR2;Q5ZMV5;P32882;E1BS97;P08642;A0A8V0XMT9;A0A1D5P9Z1;A0A8V0XCW4;A0A8V0Z5C6;A0A1L1RM08;A0A8V0Z5C2;A0A8V1A3U0;H9L0D7;A0A8V0Y5A6;A0A1L1RLN6;A0A1D5PM19;A0A3Q2U1A5;P09244;A0A8V0Y699;A0A8V0WZJ7;A0A8V0ZQ95;A0A1D5NYG3;A0A1D5NYE8;A0A8V0ZQN3;P53488;A0A8V0YW34;A0A1L1RPJ2;A0A8V1AH61;A0A8V1AHP5;A0A8V0XTR4;A0A8V0ZIN3;A0A1D5PIQ5;A0A8V0Z153
Cellular Processes	Transport and catabolism	69	A0A1D5PXH0;A0A1D5PFJ6;A0A8V1AEW4;A0A8V0YS93;Q5ZKR9;Q5ZM47;A0A1D5NWL9;P28497;A0A8V0X8L8;Q90WD0;A0A8V0YRF1;P09644;A0A1D5PFR7;A0A8V0ZHF5;A0A8V0Z958;A0A8V0Y8S2;A0A8V1A0C2;P13127;A0A8V0X5B9;E1BSI4;P14315;F1NN08;A0A8V0YCH8;F1NWX0;A0A8V0YAM9;Q5ZMV5;A0A1L1RWX8;A0A8V0Y8B8;P32882;A0A8V0XMT9;P08642;A0A8V0XR85;A0A1D5PT47;A0A1D5PP57;A0A8V0Y8W7;A0A8V0X8U3;A0A8V0XHB9;A0A8V0ZEP8;A0A1L1S0C5;A0A3Q2U511;A0A8V0Z8E9;A0A8V1A3U0;A0A8V0ZAL2;A0A8V0ZCS2;A0A1D5P8I7;A0A8V0ZKQ8;A0A8V0Y8A2;A0A8V0ZPS9;A0A8V0XJG4;A0A8V0YQL8;P09244;A0A8V0X354;A0A1D5PL88;A0A8V1AAC8;A0A3Q2U2K2;A0A8V1AJ29;A0A8V0ZQ95;A0A8V1AIF1;A0A8V0ZRT5;A0A8V1ABS2;F1NYJ1;F1NBW2;A0A8V0Y079;A0A8V0ZBC9;P53488;A0A1L1RPJ2;A0A8V0ZIN3;F1NUX4;P0CB50
Environmental Information Processing	Signal transduction	96	A0A8V0Z687;A0A8V0ZZC8;A0A8V1AE58;A0A8V0YQ13;E1BS97;A0A8V0Y8W7;A0A1D5PPN9;A0A8V0ZY87;A0A8V0YJ41;A0A8V0X5E1;A0A8V1AAC8;A0A8V0Y699;A0A1D5NYG3;F1NLV4;A0A1D5NYE8;A0A1D5P770;A0A8V0YW34;Q5ZLG7;A0A8V0ZIN3;A0A8V0Y7A6;A0A8V0ZZL0;A0A1D5PFJ6;A0A1D5PHE2;A0A8V1A8R0;A0A1D5P2H5;P00337;Q5ZMJ6;A0A1D5PFR7;A0A8V0YXU7;A0A8V0XHN0;F1NN08;A0A8V0XWR2;A0A8V0ZM20;A0A8V0XCW4;P08642;A0A3S5ZPV2;A0A1D5PP57;A0A3Q2U1A5;A0A8V0YXL9;A0A8V1AHK4;A0A8V0X354;A0A8V0WZJ7;A0A8V0Z1Z1;Q5ZJT7;A0A8V0ZQN3;A0A8V0XTR4;A0A1D5PIQ5;A0A8V0ZUI9;A0A8V1A1U8;A0A8V1A2W0;A0A1D5PEH3;A0A8V0XKR3;A0A8V1AIR0;A0A1D5PS29;A0A8V0ZHE8;A0A8V0YFT7;P00356;A0A8V0XMT9;A0A8V0Z5C6;A0A8V0ZTG8;A0A8V0Z5C2;A0A8V0Z8E9;A0A8V0Z7Z5;S4VGQ1;A0A1D5PUL6;A0A1L1RKB7;A0A8V0XKF3;A0A8V0XS64;A0A1D5P9D0;A0A8V0X6I8;A0A8V0Z0Y0;A0A1L1RPJ2;A0A1D5P8H7;A0A8V0Z153;A0A8V0YNC4;A0A3Q2UHM4;Q5ZM47;A0A8V1ACH5;A0A8V0ZHF5;A0A1D5PA08;A0A8V0Z0M2;A0A8V0XBS7;A0A8V0X5B9;A0A1D5PD64;Q5ZLQ6;A0A8V0ZX92;A0A8V0XHB9;A0A3Q2U511;E1BTT8;A0A8V0XTT7;A0A8V1A5Y9;F1NBW2;A0A8V0ZBC9;A0A8V0XTC5;E1BW98;F1NUX4
Environmental Information Processing	Signaling molecules and interaction	19	A0A8V0YNC4;A0A8V0X8L8;A0A8V1A2W0;A0A8V1A8R0;A0A8V0ZHF5;A0A8V0Z0M2;A0A8V0YAJ1;A0A8V0XMT9;A0A8V0XCW4;A0A452J7Z2;A0A8V0Z5C2;A0A8V0ZY87;A0A8V0X5E1;A0A8V0XTT7;A0A8V0YBR3;A0A3Q2U211;A0A8V1AH61;A0A8V0Y7A6;A0A8V1A3I2
Genetic Information Processing	Folding, sorting and degradation	68	A0A8V0YFA7;A0A1D5PFJ6;A0A8V0Y2X7;A0A8V0YS93;A0A8V0YD10;A0A8V0Z3K2;A0A8V0XTL7;A0A8V0YQY8;A0A8V0Z7B5;A0A8V1A582;A0A8V1APZ6;F1NC02;F1NZ86;A0A1D5NXL7;A0A8V0ZNG1;A0A8V0Z0G8;A0A8V0ZI24;A0A8V0ZEY1;A0A8V0ZH96;A0A8V0Z687;A0A8V0XHN0;A0A8V0ZMT8;F1NU79;Q5ZLI2;A0A8V1A8C9;A0A8V0XY82;A0A8V0XZQ2;A0A8V0XB52;A0A8V0XAS9;A0A8V0ZTG8;A0A8V0ZNX9;A0A8V0Z8S4;A0A8V0XB82;A0A3Q2UAA1;A0A8V0Z8E9;A0A8V0XHF1;A0A8V0ZHZ7;A0A1D5PUL6;Q5ZL72;A0A3Q2TZD8;A0A8V0ZCS2;A0A1D5PPN9;A0A8V0XWA8;O13113;A0A8V0ZRZ2;A0A8V1ABH8;A0A8V0XRD5;P00789;Q5ZJT7;A0A8V0XW93;A0A3Q2UGR5;F1NDP5;A0A8V0Y4P5;A0A1D5NTY5;A0A8V0YSB5;A0A1D5NTD3;R4GLB3;A0A8V0X7N6;A0A8V0YCZ5;A0A1D5PJW4;A0A1D5P624;A0A8V0ZH27;A0A1L1RZR2;A0A1L1RP66;A0A8V0ZNG4;A0A8V0XGH4;Q7ZT63;F1NR71
Genetic Information Processing	Replication and repair	2	A0A3Q2TZD8;A0A8V1A3Y9
Genetic Information Processing	Transcription	16	A0A1D5PFJ6;A0A8V0Z9Y2;A0A8V0Y8F5;A0A8V0XZ63;A0A8V0YZ41;A0A8V0YM29;A0A8V1AEL1;A0A8V1A0R9;Q5ZHZ0;E1C2C3;A0A8V1AFZ6;A0A8V0XYP5;A0A3S5ZPN3;A0A8V0YUR4;A0A8V0Z8E9;F1NAC8
Genetic Information Processing	Translation	64	A0A8V0YD10;A0A1D5PYQ3;A0A8V0Y207;Q5ZM47;A0A8V0ZVA8;A0A8V0XXX0;A0A8V0XBW1;A0A8V0ZEK6;A0A8V0XY40;A0A8V0YZ41;Q5ZHZ0;A0A8V0ZNA1;A0A8V0XJK4;A0A8V1A7D7;Q6ITC7;A0A8V0ZWY9;A0A8V0YV66;P41125;A0A1D5P1W7;F1NN16;A0A8V1A9M2;A0A1D5P3B1;A0A8V0Y121;A0A8V1A8R2;A0A8V0Z5C6;F1NIX0;F1NH93;A0A8V0Z083;A0A8V1AAU9;A0A8V0YH08;E1C2Z5;E1C4N0;A0A8V0ZJP1;A0A8V0Y4V6;A0A8V0XRE7;A0A8V0X1D0;F1NJU7;A0A8V0Z891;E1BTG1;A0A8V0YR80;P42558;A0A8V0Y879;F1NRZ6;A0A8V0ZGP2;A0A1L1S0X5;A0A8V0Z1Z1;A0A3Q2UCR0;A0A1L1RX26;A0A8V0Z4U8;A0A8V0ZL98;A0A1D5PMT8;A0A8V0YG12;A0A8V0ZQN3;A0A8V0YKT5;A0A8V0XP09;A0A3Q3A7P6;A0A8V0ZE87;P50890;A0A8V1A7Y9;A0A1D5P8H7;A0A3Q2TSP8;R4GGJ0;A0A8V0ZUX8;F1NPA9
Metabolism	Amino acid metabolism	33	A0A8V0X3M7;A0A1D5PXH4;A0A8V0Y492;A0A8V0ZT56;P00337;A0A8V0XVT5;A0A8V0X2T8;A0A8V0X9K8;Q5ZLN1;A0A1D5NY06;A0A1L1RIY4;P05122;A0A1D5PQV3;A0A8V0ZJT8;A0A8V1A1S6;Q5F3M8;A0A8V1AKL9;A0A8V1ABW1;A0A8V0XM35;E1BTT8;A0A8V0ZTF7;A0A8V0X354;A0A8V0XE68;A0A1D5PL45;A0A8V0YKJ7;F1NDP5;A0A1D5NT61;E1BVT3;Q5ZJ23;A0A8V0ZV32;A0A8V0XIM8;A0A8V0YB71;A0A8V0XYL0
Metabolism	Biosynthesis of other secondary metabolites	3	A0A8V0ZJD3;A0A8V0XTM2;A0A8V0ZM20
Metabolism	Carbohydrate metabolism	46	A0A8V0ZUI9;A0A1D5PHE2;A0A1D5PEH3;A0A1D5PXH4;A0A8V0Y492;A0A8V0ZT56;A0A8V1ACH5;P00337;A0A8V0YGM0;Q5F3B9;A0A8V0XVT5;A0A8V1AIR0;A0A8V0X9K8;A0A8V0XHN0;A0A8V0ZVS5;A0A8V0XM79;Q5ZMH8;A0A8V0YA67;A0A8V1AMB6;P00356;Q5ZLN1;A0A8V0ZM20;A0A1D5P9I3;A0A8V0ZAI6;E1BVD1;A0A1D5PQV3;A0A8V0ZTG8;Q5F3M8;A0A8V0Z0B1;A0A8V1AKL9;A0A1D5PD70;A0A8V0ZWH3;A0A8V1ABW1;A0A1D5P8I7;E1BTT8;E1BSN7;A0A8V0YHD4;A0A1L1RZK1;A0A1D5NWL4;A0A8V1A5Y9;E1BVT3;A0A1D5PC23;A0A8V0X6I8;A0A8V0XIM8;A0A8V0YBE2;A0A8V0XE68
