GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Molecular Function	GDP-dissociation inhibitor binding	3	GO:0051021	5	6	433	2477	4.77	0.0008222059139531304	3.09	Q5ZIP7 Q90694 A0A8V1AB67 A0A8V0YB43 A0A8V0Z8U4	2.2539892662307865
Molecular Function	dynein light chain binding	3	GO:0045503	8	15	433	2477	3.05	0.001675663067118121	2.78	A0A8V0XK27 A0A8V0Z6B9 A0A8V1A6Y8 A0A8V1AM51 F1NVZ6 A0A8V0Y1N7 A0A8V0ZEJ0 F1NQ70	1.6088092426755238
Molecular Function	glutathione binding	4	GO:0043295	6	10	433	2477	3.43	0.0030771706184975667	2.51	A0A8V0ZJE0 A0A8V1AHJ8 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81 A0A8V1AI83	1.7782085763980877
Molecular Function	nickel cation binding	6	GO:0016151	3	3	433	2477	5.72	0.005311253901570957	2.27	A0A8V0ZN94 A0A8V1AHJ8 A0A8V1AI83	2.5160151470036647
Molecular Function	oligopeptide binding	4	GO:1900750	6	11	433	2477	3.12	0.0057809292391565814	2.24	A0A8V0ZJE0 A0A8V1AHJ8 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81 A0A8V1AI83	1.6415460290875237
Molecular Function	modified amino acid binding	2	GO:0072341	10	25	433	2477	2.29	0.006457601774084744	2.19	A0A8V0ZJE0 A0A8V0X852 A0A8V1AHJ8 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81 A0A8V0XDM2 A0A8V0YVP9 A0A8V0ZZN9 A0A8V1AI83	1.1953475983222193
Molecular Function	ubiquitin protein ligase activity	5	GO:0061630	8	18	433	2477	2.54	0.006988579513216388	2.16	Q90694 A0A1D5PNL3 A0A1L1RP76 A0A8V0XLH3 A0A8V0YPH9 A0A8V0ZZG2 A0A8V0YGH2 A0A8V1AJ90	1.3448284969974411
Molecular Function	ubiquitin-like protein ligase activity	4	GO:0061659	8	18	433	2477	2.54	0.006988579513216388	2.16	Q90694 A0A1D5PNL3 A0A1L1RP76 A0A8V0XLH3 A0A8V0YPH9 A0A8V0ZZG2 A0A8V0YGH2 A0A8V1AJ90	1.3448284969974411
Molecular Function	ubiquitin-like protein transferase activity	3	GO:0019787	13	37	433	2477	2.01	0.008040355043470417	2.09	Q90694 A0A8V0ZSG8 A0A1D5PNL3 A0A1L1RP76 A0A8V0XCV2 A0A8V0XLH3 A0A8V0YFD4 A0A8V0YMA2 A0A8V0YPH9 A0A8V0ZZG2 A0A8V0YGH2 A0A8V1A4K1 A0A8V1AJ90	1.0071955014042038
Molecular Function	phospholipid binding	3	GO:0005543	35	132	433	2477	1.52	0.009056612071167156	2.04	A0A1D5NYK7 A0A1D5NZL7 A0A8V0ZZL0 Q8AXV0 A0A1D5PC37 A0A8V0ZTS7 A0A8V0ZY91 E1C4N7 A0A1D5NWY3 A0A1D5PT25 A0A1D5PWK2 A0A8V0X163 A0A8V0X852 A0A8V0XAF8 A0A8V0XBS7 A0A8V0XPN3 A0A8V0Z7D4 A0A8V0ZFJ4 A0A8V1ABC8 A0A1D5P5X7 A0A8V0X2V3 A0A8V0X5U3 A0A8V0X8U3 A0A8V0XAN3 A0A8V0XFB5 A0A8V0XFL3 A0A8V0XU90 A0A8V0YKG4 A0A8V0YMC5 A0A8V0YRA3 A0A8V0YVP9 A0A8V0ZBA3 A0A8V0ZTA5 A0A8V0ZZN9 A0A8V1A0D3	0.6040713236688608
Molecular Function	glutathione transferase activity	4	GO:0004364	6	12	433	2477	2.86	0.009879510078799284	2.01	A0A8V0ZJE0 A0A8V1AHJ8 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81 A0A8V1AI83	1.5160151470036647
