Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF06565 DM10 domain	2	2	432	2004	4.64	0.0463855115529904	1.33	A0A8V0XUH6 A0A8V0Y9Q3	2.2141248053528475
PF00042 Globin	5	5	432	2004	4.64	0.0004570994616724931	3.34	A0A8V0Z399 P01994 A0A8V0XM21 A0A8V0XL09 A0A8V0XF06	2.2141248053528475
PF09007 EBP50, C-terminal	2	2	432	2004	4.64	0.0463855115529904	1.33	A0A8V1AJV5 A0A8V0YXB1	2.2141248053528475
PF03815 LCCL domain	4	4	432	2004	4.64	0.0021359787928655035	2.67	A0A8V0XGV7 A0A8V0YKF2 A0A8V0Y927 A0A8V0XHW9	2.2141248053528475
PF13469 Sulfotransferase family	2	2	432	2004	4.64	0.0463855115529904	1.33	A0A3Q2UD60 A0A8V0ZX23	2.2141248053528475
PF14874 Flagellar-associated PapD-like	2	2	432	2004	4.64	0.0463855115529904	1.33	A0A8V0X8Z6 A0A8V0ZLV6	2.2141248053528475
PF13768 von Willebrand factor type A domain	2	2	432	2004	4.64	0.0463855115529904	1.33	A0A8V0YZ82 A0A8V0YWW6	2.2141248053528475
PF08758 Cadherin prodomain like	3	4	432	2004	3.48	0.03344375186862302	1.48	A0A8V0XCI3 A0A8V0Y0T2 A0A3Q2UGT3	1.7990873060740036
PF00050 Kazal-type serine protease inhibitor domain	6	8	432	2004	3.48	0.0018276815388459369	2.74	A0A8V0XAE6 P10184 A0A8V0YPA6 A0A8V0YPM0 A0A8V0YW85 P31696	1.7990873060740036
PF14497 Glutathione S-transferase, C-terminal domain	4	6	432	2004	3.09	0.022045690361219658	1.66	A0A1D5NT70 A0A8V0X7B2 A0A8V1AI83 A0A8V0ZJE0	1.6276068381296498
PF02886 LBP / BPI / CETP family, C-terminal domain	6	9	432	2004	3.09	0.004489681906828851	2.35	A0A8V0YRQ0 A0A8V0Z419 A0A8V0YRT1 O42273 A0A1D5PT25 A0A8V0YR09	1.6276068381296498
PF02798 Glutathione S-transferase, N-terminal domain	5	8	432	2004	2.9	0.014271130565728844	1.85	A0A8V1AHJ8 A0A8V1AI83 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81	1.5360529002402097
PF01471 Putative peptidoglycan binding domain	4	7	432	2004	2.65	0.042781310944147714	1.37	E1C9E0 A0A8V0XP02 Q90611 A0A8V1AN12	1.4059923596758368
PF00413 Matrixin	4	7	432	2004	2.65	0.042781310944147714	1.37	E1C9E0 A0A8V0XP02 Q90611 A0A8V1AN12	1.4059923596758368
PF15711 Interleukin-like EMT inducer	4	7	432	2004	2.65	0.042781310944147714	1.37	A0A8V0ZYN6 A0A8V0ZR84 A0A8V0YGM5 E1C5S9	1.4059923596758368
PF00168 C2 domain	16	30	432	2004	2.47	0.00011886942302970955	3.92	A0A8V0XFL3 A0A8V0Y414 A0A8V0ZZG2 A0A1D5NZL7 A0A8V0X2V3 A0A8V0ZHK9 A0A8V1A2A7 A0A8V0YRA3 A0A3Q2U0G2 A0A8V0YKG4 A0A8V1A0D3 A0A8V0Z7D4 A0A8V1ABC9 A0A8V0ZZN9 A0A8V0XE95 A0A8V0YYB4	1.304511041809953
PF00084 Sushi repeat (SCR repeat)	6	13	432	2004	2.14	0.04167907002562284	1.38	A0A8V1AA32 A0A8V1ACZ0 A0A8V0XRC4 A0A3Q2U607 A0A8V0YXI9 A0A8V0YU75	1.0976107966264224
PF00169 PH domain	10	22	432	2004	2.11	0.014854262146562887	1.83	A0A8V0ZTS7 A0A1D5P7L9 A0A8V0ZBA3 A0A3Q3ALT4 A0A8V0XIZ0 A0A8V1A2A7 A0A8V0XRQ6 A0A3Q2TSS2 A0A8V0X8U3 A0A8V0X2V3	1.0772429989324603
PF00028 Cadherin domain	9	21	432	2004	1.99	0.028503711642603072	1.55	A0A3Q2UGT3 A0A8V0XTP1 A0A8V0XCI3 A0A8V0Y0T2 A0A8V0Y4T8 A0A8V0YHL6 A0A8V0XGN8 A0A8V0Y103 A0A8V0X381	0.9927684307689242
PF07686 Immunoglobulin V-set domain	14	37	432	2004	1.76	0.02419447023154889	1.62	A0A8V0XRT4 A0A8V1A3D7 A0A8V0XKX6 A0A8V0ZZJ1 A0A8V0XZV7 A0A8V0ZQJ4 A0A8V0XH88 A0A8V0XDZ2 A0A8V0ZXT4 F1NJI3 A0A1D5PLF4 A0A8V0ZZH6 A0A8V0XA34 A0A8V0ZVP0	0.8155754288625725
