KEGG pathway	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
map00480 Glutathione metabolism	11	29	268	1633	2.31	0.004094882329843146	2.39	A0A8V1AHJ8 A0A8V1AI83 A0A8V1A0M8 A0A8V0YZ27 A0A8V0YPP2 A0A8V0ZPJ9 A0A8V0ZJE0 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81 A0A8V0ZIZ5	1.2078928516413328
map04745 Phototransduction - fly	5	8	268	1633	3.81	0.004194874553051839	2.38	A0A8V0ZTS7 A0A1D5NZL7 A0A8V0XB58 A0A3Q2U0G2 A0A8V1ABC9	1.9297909977185974
map04972 Pancreatic secretion	11	30	268	1633	2.23	0.005542057188096879	2.26	A0A1D5NZL7 A0A8V0ZE99 A0A8V0ZLV3 A0A8V0Y5N7 A0A8V0XR66 A0A3Q2U0G2 A0A8V0ZY91 A0A8V0Z8U4 A0A8V0YLT1 A0A8V1ABC9 A0A8V0XY43	1.15704371014558
map00590 Arachidonic acid metabolism	7	17	268	1633	2.51	0.013066795726620312	1.88	Q8QFM7 A0A8V0ZE99 A0A8V0YPP2 A0A8V0XR66 A0A8V1A0M8 A0A1D5NW85 A0A8V0Y6Q3	1.3276873641760472
map04970 Salivary secretion	9	25	268	1633	2.19	0.013571594512156551	1.87	A0A1D5NZL7 A0A8V0ZLV3 A0A8V0Y5N7 P00698 A0A8V0XR98 A0A3Q2U0G2 A0A8V1ABC9 A0A8V0XY43 A0A8V1A1T7	1.1309308698264486
map00512 Mucin type O-glycan biosynthesis	8	21	268	1633	2.32	0.013650871218576785	1.86	A0A1D5PJE0 A0A8V1A2F4 A0A8V1ACQ8 A0A8V0YI46 A0A8V0Y6W2 A0A8V0YE66 A0A8V0XT35 A0A8V1A758	1.2141248053528473
map04925 Aldosterone synthesis and secretion	8	21	268	1633	2.32	0.013650871218576785	1.86	A0A1L1RWI9 A0A1D5NZL7 A0A8V0XB58 A0A8V0XRQ6 A0A3Q2U0G2 A0A8V0XKR3 A0A8V1ABC9 A0A8V0XY43	1.2141248053528473
map04360 Axon guidance	18	65	268	1633	1.69	0.016567517091274683	1.78	A0A8V0ZDU4 Q0PVE4 A0A8V0XB58 A0A8V0ZMM6 A0A3Q2TWG9 A0A8V0YSE9 A0A8V0ZB91 A0A1D5NW03 A0A8V0Z8U4 A0A3Q3A4U3 A0A8V0Z857 A0A3Q3ACS4 Q90694 A0A8V1ABC9 A0A8V0YWW2 A0A8V1A9S3 Q03696 A0A1D5PFR3	0.7570232465074596
map00982 Drug metabolism - cytochrome P450	6	14	268	1633	2.61	0.017290348400994214	1.76	A0A8V1AHJ8 A0A8V1AI83 A0A8V0ZJE0 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81	1.3840498067951597
map04514 Cell adhesion molecules	11	34	268	1633	1.97	0.01780923600392159	1.75	A0A8V0XRT4 A0A3Q2UGT3 A0A1D5PZV7 A0A8V0ZI29 A0A8V0XRC4 A0A8V0Y0T2 A0A1D5NW03 A0A8V0Y4R7 A0A3Q3A7M3 Q03696 A0A8V0X8D5	0.9781956296816515
map00983 Drug metabolism - other enzymes	8	22	268	1633	2.22	0.018476987882888287	1.73	A0A8V1AHJ8 A0A8V1AI83 A0A8V0Y9F8 A0A8V0XGF5 A0A8V0ZJE0 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81	1.1505596765753814
map04014 Ras signaling pathway	17	61	268	1633	1.7	0.020673825448432964	1.68	A0A8V0XD22 A0A8V0ZE99 A0A8V0ZZU1 A0A1D5P1T0 A0A8V1AAZ4 A0A8V1A081 A0A8V0XR66 R4GKD1 A0A8V1A2A7 A0A8V0Z8U4 A0A3Q3ACS4 Q5ZIP7 A0A8V1ABC9 A0A8V0YWW2 A0A8V0X2V3 Q90694 Q9I946	0.765534746362977
map00561 Glycerolipid metabolism	6	15	268	1633	2.44	0.024941526050070266	1.6	A0A8V0YKA1 P11602 A0A8V0YJV4 A0A8V0YKJ3 A0A8V0ZZL0 A0A8V1AAP7	1.2868811477881614
map04020 Calcium signaling pathway	16	57	268	1633	1.71	0.02668793675575209	1.57	A0A1L1RWI9 A0A8V0Y644 A0A8V0XD22 A0A1D5NZL7 A0A8V0XB58 A0A8V0XKX6 A0A8V0XY43 A0A8V0XEJ5 A0A3Q2U0G2 E1BS74 A0A8V0XKR3 A0A1D5NWP2 A0A8V1ABC9 A0A1D5P1F1 A0A8V0XA34 Q9I946	0.7739963251111731
map04392 Hippo signaling pathway - multiple species	3	5	268	1633	3.66	0.033802819317240045	1.47	A0A1D5P9D0 A0A8V0YJI7 A0A8V0X381	1.8718436485093177
map04911 Insulin secretion	6	16	268	1633	2.28	0.0345598791639802	1.46	A0A1D5NZL7 A0A8V0XB58 A0A8V1AB67 A0A3Q2U0G2 A0A8V1ABC9 A0A8V0XY43	1.189033824390017
map00980 Metabolism of xenobiotics by cytochrome P450	6	16	268	1633	2.28	0.0345598791639802	1.46	A0A8V1AHJ8 A0A8V1AI83 A0A8V0ZJE0 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81	1.189033824390017
map04670 Leukocyte transendothelial migration	11	36	268	1633	1.86	0.03633141542292983	1.44	A0A8V0ZMM6 A0A1D5PZV7 A0A8V0Y4R7 A0A8V0Z8U4 A0A1D5NYK7 A0A3Q3ACS4 A0A3Q3A7M3 A0A8V1ABC9 A0A8V0XPN3 Q90694 Q90611	0.8953026213333067
map04971 Gastric acid secretion	8	23	268	1633	2.12	0.04011739559593854	1.4	A0A1D5NZL7 A0A8V0XB58 A0A8V0ZY91 A0A3Q2U0G2 A0A8V0YLT1 A0A8V1ABC9 A0A8V0XPN3 A0A8V0XY43	1.0840642647884746
map04725 Cholinergic synapse	9	29	268	1633	1.89	0.04172820568236822	1.38	A0A1L1RWI9 A0A1D5NZL7 A0A8V0XB58 R4GKD1 A0A8V0ZY91 A0A3Q2U0G2 A0A3Q3ACS4 A0A8V1ABC9 A0A8V0XY43	0.9183862344463478
