GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Biological Process	oxidative phosphorylation	7	GO:0006119	41	59	1153	2734	1.65	2.4160060340078134e-05	4.62	P18944 A0A1D5PIF0 Q9YH14 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XCD2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	0.722466024471091
Biological Process	nuclear-transcribed mRNA catabolic process	7	GO:0000956	32	47	1153	2734	1.61	0.00046966412352587617	3.33	A0A3S5ZPN3 P50890 Q5ZKB9 F1NN16 H9L2N7 P41125 Q6ITC7 A0A1D5NVI1 A0A1D5P3B1 A0A1L1RX26 A0A8V0XJK4 A0A8V0XXX0 A0A8V0Y9Y9 A0A8V0YD10 A0A8V0YR80 A0A8V0YZ41 A0A8V0Z4J0 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZUX8 A0A8V1AAB0 F1NH93 P32429 Q98TH5 A0A8V0XPN5 A0A8V0XRE7 A0A8V0YV00 A0A8V0ZE30 A0A8V0ZRK8 A0A8V0ZY56 A0A8V1A8R2 A0A8V1ABY0	0.6870606883398924
Biological Process	mRNA catabolic process	6	GO:0006402	32	49	1153	2734	1.55	0.0011685060555764008	2.93	A0A3S5ZPN3 P50890 Q5ZKB9 F1NN16 H9L2N7 P41125 Q6ITC7 A0A1D5NVI1 A0A1D5P3B1 A0A1L1RX26 A0A8V0XJK4 A0A8V0XXX0 A0A8V0Y9Y9 A0A8V0YD10 A0A8V0YR80 A0A8V0YZ41 A0A8V0Z4J0 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZUX8 A0A8V1AAB0 F1NH93 P32429 Q98TH5 A0A8V0XPN5 A0A8V0XRE7 A0A8V0YV00 A0A8V0ZE30 A0A8V0ZRK8 A0A8V0ZY56 A0A8V1A8R2 A0A8V1ABY0	0.632268215499513
Biological Process	protein localization to mitochondrion	6	GO:0070585	15	19	1153	2734	1.87	0.0016338871683199124	2.79	A0A3Q2UHM4 Q5ZL72 A0A1L1RZR2 A0A8V0YKJ3 A0A8V0ZM20 A0A1D5P179 A0A1D5PPF8 A0A8V0XF68 Q5ZHV6 R4GGQ4 A0A1D5PGC2 A0A8V0XEA4 A0A8V0XMV0 A0A8V0YZL1 A0A8V0ZLT9	0.903038270112912
Biological Process	ATP synthesis coupled electron transport	6	GO:0042773	29	44	1153	2734	1.56	0.0017921394626399306	2.75	P18944 A0A1D5PIF0 A0A1D5P4B1 A0A1D5PI06 A0A1D5PNM0 A0A8V0XCD2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 A0A3Q2UJ64 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	0.6415460290875237
Biological Process	mitochondrial ATP synthesis coupled electron transport	7	GO:0042775	29	44	1153	2734	1.56	0.0017921394626399306	2.75	P18944 A0A1D5PIF0 A0A1D5P4B1 A0A1D5PI06 A0A1D5PNM0 A0A8V0XCD2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 A0A3Q2UJ64 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	0.6415460290875237
Biological Process	regulation of signal transduction by p53 class mediator	6	GO:1901796	13	16	1153	2734	1.93	0.0017997772880390128	2.74	A0A1D5PIQ5 A0A3S5ZPN3 Q5ZIU3 F1NN16 A0A1D5P3B1 A0A1D5PSI3 A0A8V0Y5D3 A0A8V0YMA2 A0A8V0ZGP2 A0A8V0ZNQ8 A0A8V1AAF2 A0A8V0ZNV5 A0A8V0ZZC8	0.9486008474933557
Biological Process	negative regulation of DNA metabolic process	6	GO:0051053	11	13	1153	2734	2.01	0.00295478433824985	2.53	A0A8V0X354 P24479 A0A8V0X5G9 A0A8V0XMI5 A0A8V0YW57 A0A8V1A370 A0A1L1RIX9 A0A8V0X7I3 A0A8V0XYP5 A0A8V0YQZ5 A0A8V1AI10	1.0071955014042038
Biological Process	positive regulation of telomere maintenance	7	GO:0032206	11	13	1153	2734	2.01	0.00295478433824985	2.53	A0A1D5NYE8 Q5F411 Q5ZMG9 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6 A0A3Q2U3U3 A0A8V0ZZC8	1.0071955014042038
Biological Process	positive regulation of chromosome organization	7	GO:2001252	24	36	1153	2734	1.58	0.0034768962321846076	2.46	A0A1D5NYE8 A0A1D5NYK7 A0A8V0X354 A0A8V0XRQ6 A0A8V1A9R2 Q5F411 Q5ZMG9 A0A1D5P8I3 A0A1D5PNL3 A0A8V0XPN3 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V0YYY4 A0A8V0ZDK0 A0A8V1AED9 A0A8V1AJS6 Q9I8D6 A0A3Q2U3U3 A0A8V0X5U3 A0A8V0X9X8 A0A8V0XYP5 A0A8V0ZRK8 A0A8V0ZZC8	0.6599245584023783
