Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF00042 Globin	5	5	881	2004	2.27	0.016316302220061647	1.79	A0A8V0Z399 P01994 A0A8V0XM21 A0A8V0XL09 A0A8V0XF06	1.1826922975161902
PF00108 Thiolase, N-terminal domain	4	4	881	2004	2.27	0.03720935511996398	1.43	A0A8V0Y9E4 A0A8V0XE68 A0A8V0YB71 A0A8V0XH76	1.1826922975161902
PF00173 Cytochrome b5-like Heme/Steroid binding domain	4	4	881	2004	2.27	0.03720935511996398	1.43	Q5ZLX0 A0A8V0ZUQ1 Q5ZKN2 A0A8V0X4A3	1.1826922975161902
PF00458 WHEP-TRS domain	4	4	881	2004	2.27	0.03720935511996398	1.43	A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V1AAU9	1.1826922975161902
PF00684 DnaJ central domain	4	4	881	2004	2.27	0.03720935511996398	1.43	A0A8V0ZMT8 A0A8V0YQE8 A0A1D5NYA8 A0A1L1RZR2	1.1826922975161902
PF01412 Putative GTPase activating protein for Arf	4	4	881	2004	2.27	0.03720935511996398	1.43	A0A3Q3ALT4 A0A8V0Y8A2 A0A8V0ZKS5 A0A8V0X8U3	1.1826922975161902
PF02803 Thiolase, C-terminal domain	4	4	881	2004	2.27	0.03720935511996398	1.43	A0A8V0Y9E4 A0A8V0XE68 A0A8V0YB71 A0A8V0XH76	1.1826922975161902
PF03815 LCCL domain	4	4	881	2004	2.27	0.03720935511996398	1.43	A0A8V0XGV7 A0A8V0YKF2 A0A8V0Y927 A0A8V0XHW9	1.1826922975161902
PF16450 Proteasomal ATPase OB C-terminal domain	4	4	881	2004	2.27	0.03720935511996398	1.43	A0A8V0Z3K2 A0A8V0ZH96 A0A1L1RP66 F1NU79	1.1826922975161902
PF17791 Macroglobulin domain MG3	8	9	881	2004	2.02	0.01291148854246902	1.89	A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43	1.01435529297707
PF00082 Subtilase family	6	7	881	2004	1.95	0.0484734561510833	1.31	A0A8V0X4D8 A0A8V0XEP8 A0A1D5P774 A0A8V0ZRU9 A0A8V0YDL8 A0A8V0ZA56	0.963474123974886
PF07677 A-macroglobulin receptor binding domain	10	12	881	2004	1.9	0.00724049650773365	2.14	A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0ZQ48 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43	0.925999418556223
PF07703 Alpha-2-macroglobulin bait region domain	10	12	881	2004	1.9	0.00724049650773365	2.14	A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0ZQ48 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43	0.925999418556223
PF01835 MG2 domain	9	11	881	2004	1.86	0.013853986885631844	1.86	A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43	0.8953026213333067
PF17789 Macroglobulin domain MG4	8	10	881	2004	1.82	0.026149874742019002	1.58	A0A8V0X8L8 A0A8V0ZTX8 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43	0.8639384504239717
PF00227 Proteasome subunit	11	15	881	2004	1.67	0.03338832780994179	1.48	Q5ZLI2 F1NC02 A0A8V1A582 R4GLB3 A0A8V1ABH8 A0A8V0XRD5 A0A1D5PJW4 A0A8V0XB52 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63	0.7398481026993274
