GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,inner mitochondrial membrane protein complex,3,GO:0098800,51,71,1175,2784,1.7,5.353506296527887e-07,6.27,A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A8V1AEY5 A0A8V0ZPD6 A0A8V0Z2Y8 A0A8V0YZL1 R4GGQ4 A0A1D5PIF0 E1C658 A0A8V0ZTA0 R4GGZ2 A0A8V0XW68 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 A0A1D5P179 A0A8V0YC52 A0A8V0YKJ3 A0A8V0Z863 A0A8V0ZVA2 A0A8V1AH40 F1NIL3 A0A1D5NW93 A0A8V0XF68 A0A8V0Y9V7 A0A1D5P4B1 A0A8V1A3B4 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0XLB9 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z382 A0A8V0Z6B5 A0A8V0YWL6 Q5ZHV6 A0A8V0ZU95 A0A8V0ZS72 A0A8V0ZC01 Q9YH14 F1NJF9 A0A1D5P0U8 A0A8V0YCL9 A0A1D5PN54 P18944 A0A8V0ZI98 A0A1D5PI06
Cellular Component,mitochondrial protein-containing complex,2,GO:0098798,62,94,1175,2784,1.56,3.3249862806038868e-06,5.48,A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A1D5PEH3 A0A8V1AEY5 A0A8V0Y492 A0A8V0Z2Y8 A0A8V0YZL1 A0A8V0ZPD6 R4GGQ4 A0A1D5PIF0 E1C658 A0A8V0X2T8 A0A8V0ZTA0 R4GGZ2 A0A8V0XW68 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 A0A1D5PQV3 A0A1D5P179 A0A8V0YC52 A0A8V0YKJ3 A0A8V0Z863 A0A8V0ZRW5 A0A1D5PC99 A0A8V0ZVA2 A0A8V1AH40 A0A1D5NW93 A0A8V0XF68 F1NIL3 A0A8V0Y9V7 A0A1D5P4B1 A0A8V0ZWH3 A0A8V1A3B4 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0XLB9 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z382 A0A8V0Z6B5 A0A8V0YWL6 A0A1D5PGC2 Q5ZHV6 A0A8V0ZU95 A0A8V0ZS72 A0A8V0ZC01 Q9YH14 F1NJF9 A0A8V0ZAK3 A0A1D5P0U8 A0A8V0YCL9 A0A8V0XMV0 A0A1D5PN54 P18944 A0A8V0YB71 A0A8V0ZI98 A0A1D5PI06
Cellular Component,endomembrane system,2,GO:0012505,448,1197,1175,2784,0.89,9.854387500423492e-06,5.01,A0A1D5P7C6 A0A8V0XXE8 A0A1D5PXN7 A0A8V0YAJ1 A0A1D5Q032 Q5ZJ73 A0A8V0XGP6 A0A1L1RLC7 P01012 A0A8V0YYY4 A0A8V0XM46 A0A8V0YIC4 F1NV47 A0A1D5NYE8 Q92182 Q5ZIA5 A0A8V0XM98 Q5ZLF6 A0A8V0XQ47 A0A8V1AB05 A0A8V0ZF48 A0A8V0YU84 E1C1L6 A0A8V0X8Q2 A0A8V0X8L8 A0A8V0ZZE1 A0A8V0YIB0 A0A8V0XLV1 A0A8V0ZNV5 A0A8V0YXU7 A0A8V0YFB8 A0A8V0XKI2 A0A8V1A6B5 A0A8V0ZZZ5 A0A8V0X4A3 A0A1D5PJE0 A0A8V0X354 A0A8V0YSF6 A0A8V0Z7D4 A0A8V0YF22 A0A8V0ZW50 A0A3Q2U652 A0A8V0YR09 A0A8V0XAE6 A0A8V0XP09 A0A8V0YBE2 P41125 A0A1D5PIQ5 A0A8V1A9H2 A0A8V0YQY8 A0A1D5PBY3 A0A8V0ZNG1 A0A8V0YPA6 A0A8V0Z487 Q90694 A0A8V0XMJ6 A0A8V0XYK6 A0A8V1A7Y0 Q5ZL57 A0A8V0XAS9 A0A8V0ZZC5 A0A8V0XG62 Q03696 A0A8V0ZMU3 P31696 A0A8V1A853 A0A8V1ADF1 A0A8V0YHC1 A0A8V0ZY91 A0A8V1ALI6 A0A1D5P997 A0A8V0X7N6 A0A8V0Z857 A0A1D5NYK7 A0A8V0YIE9 A0A1L1RZR2 A0A8V0Z9Y8 A0A8V0ZQV5 A0A8V0YNC4 A0A3Q2UHM4 A0A8V0XCI3 E1BZH7 A0A8V0YE85 A0A8V1AB74 A0A8V0XM02 A0A8V0YMC5 A0A1D5PQV0 A0A3Q2UD60 A0A8V0XB58 A0A8V1A2F4 A0A8V0Y8A2 Q90593 A0A8V0ZH54 A0A1L1RQ91 A0A8V0XJ14 A0A8V0Z9Z7 P53488 A0A8V0YDD6 A0A8V0YNP1 A0A8V1AHP0 A0A1D5P420 A0A8V0XXX0 A0A8V0ZXW3 A0A8V0YRF1 A0A8V0YGN2 F1P278 P15120 A0A1D5PZJ5 A0A1D5P480 Q5ZLN1 A0A8V1AAU9 A0A8V0YUW8 A0A8V0ZWP9 A0A8V0ZRT1 A0A8V0YXE7 A0A8V0Y4Q2 A0A8V0XLJ0 A0A8V0Y579 A0A8V1A8B2 A0A8V0Y9F8 A0A8V0X5E1 A0A8V1A7V4 A0A8V0Y2J1 Q5ZJ23 A0A8V1A9S3 A0A8V0XGH4 A0A8V0YB32 A0A8V1AFE7 A0A8V0Z7B5 A0A8V0XDL7 A0A8V0XMI5 A0A8V0ZZU2 A0A8V0XH99 A0A8V0XUK6 A0A8V0X2T8 A0A8V0ZI24 A0A8V0ZH96 A0A8V0YUT8 Q5ZMG9 A0A8V0XK73 A0A8V0ZF99 A0A8V1AE54 A0A8V0X8U3 A0A8V1APT7 A0A8V1AA32 A0A8V0Y4G2 A0A8V0ZE58 A0A8V0YZJ3 A0A3Q3ACS4 A0A8V1ABC9 A0A8V0X7B2 A0A8V0XP02 A0A1D5PHU2 A0A8V1A960 A0A8V0YUC6 A0A8V0XTR4 A0A8V0XTW4 A0A8V0YRT1 Q76KB2 A0A8V0YB71 A0A8V0X4D8 A0A1D5NVM6 A0A8V0YXG4 A0A8V0YE66 A0A8V0YAT1 A0A8V0ZHE8 A0A1D5PH43 A0A8V0YXB1 A0A1L1RWX8 A0A8V1A8R2 A0A8V0YCP2 A0A8V0XXP1 A0A8V0XRE7 A0A8V1ABN7 A0A8V0XL80 E1BSN7 A0A8V1AD57 A0A8V0YHD4 Q5ZLA7 O12971 Q5ZKN2 A0A8V0YKG4 A0A8V1ACT6 A0A8V0XQS7 F1NYI3 A0A8V0XHV8 A0A8V0ZFW0 A0A8V0XNP4 F1NV32 A0A8V0Y2X7 A0A8V0X9X8 A0A8V0XBW1 A0A8V1A0A0 E1C4N7 A0A8V0ZR84 A0A8V0XYR2 A0A1D5P6T3 A0A1D5PXK6 A0A8V0ZYN6 A0A8V0X945 A0A8V0YS46 F1P337 A0A1D5NYF8 A0A8V0X6J5 A0A8V0YLR6 A0A8V0Y599 A0A8V0Z420 A0A8V0ZGP2 A0A8V1ADL7 Q9I946 A0A8V0Y4P5 A0A8V0Y814 P14448 F1NSM7 A0A8V0ZV28 Q5ZHL0 Q5ZIP7 A0A1D5P2W5 A0A1D5PXH0 A0A8V0Z193 Q5ZLX0 A0A8V0YVT3 A0A8V0XAL0 A0A8V0YB43 A0A8V1ADP5 A0A8V0Z3U7 A0A8V0YQG8 A0A8V1ABC8 Q5ZMV5 E1BS97 A0A8V0X2C5 A0A8V0ZJE0 A0A1D5NU82 A0A8V0Y3L3 A0A8V0ZJP1 A0A8V0XI38 Q8QFM7 A0A8V0XJ04 A0A8V0X7P4 A0A1D5NWP2 A0A8V0Z832 A0A8V1ABS2 A0A8V0XQ96 A0A8V0XTL6 A0A8V0XT65 A0A8V0ZN94 A0A8V0Z3H8 Q9W6H0 A0A8V0ZX23 A0A8V0XTH6 A0A8V0XEW6 Q5ZLR1 A0A8V0XD22 A0A1D5P7L9 A0A8V0YR59 A0A8V0XK42 A0A8V0ZKS5 A0A8V1A0A4 A0A8V0ZRU9 A0A3Q2TYT2 A0A8V1A1S6 A0A8V0YLZ5 P00698 Q1KME6 A0A8V1ACN6 A0A8V0XKW4 A0A8V0Y4B7 A0A8V0ZKI9 A0A8V0ZS72 A0A8V0Z0I1 A0A8V0Y413 A0A8V1AJV5 A0A8V1A8S1 Q7ZT63 F1NR71 Q5ZIB0 A0A8V0ZI29 A0A8V1A1U8 A0A8V0Z8U4 A0A8V0ZD41 A0A8V0Y0X2 A0A8V0YVP9 A0A8V0Y8L6 A0A1D5PLZ2 A0A8V0YVI8 A0A8V0Z2Q6 A0A8V0ZHY3 A0A8V0YA67 A0A8V0Z6K3 A0A8V0ZPJ9 A0A1D5PTW3 A0A8V0XJW9 A0A1D5PL88 A0A8V0ZY56 A0A8V0YHF3 A0A8V0ZL98 A0A1D5PMX3 A0A8V0XFZ5 A0A8V0YYM2 A0A8V0XRQ6 A0A8V0YBU5 A0A8V0YS27 Q01406 A0A8V1ACR8 A0A8V0YQR5 A0A8V0ZHZ7 A0A8V0YLZ8 A0A8V1A582 A0A8V0ZIM1 A0A8V1ACH5 A0A8V1A6X0 A0A8V0X5B9 A0A8V1A8C9 A0A8V0XZH4 A0A8V1AH71 A0A8V0ZX92 A0A8V0ZCF7 A0A8V0XT35 A0A8V0ZZN9 A0A8V0ZEP8 A0A1D5NT70 P13648 Q04619 A0A8V0Y5A6 A0A8V0ZAL2 A0A8V0Y5N7 A0A8V0Z189 A0A8V0Y986 A0A8V0YRA3 A0A8V0XV56 A0A8V0YHL1 A0A8V0YID0 A0A8V0XSE9 A0A8V0Y218 A0A1D5NTY5 A0A8V0YG12 A0A8V0XWZ3 A0A1D5NWR3 A0A8V0X678 A0A8V1A758 A0A8V0Z0R7 A0A8V0ZJ84 A0A8V1A1C6 F1NBR3 A0A8V1APZ6 A0A8V1AEJ4 A0A8V1AJT2 A0A8V0X6J8 A0A8V0Y726 A0A8V0XPN3 P17790 A0A8V0Z150 A0A8V1AKN8 F1NH93 A0A3Q2U0S7 A0A8V0YCT6 A0A8V0ZA56 Q5ZL72 A0A8V0ZRZ2 A0A8V0ZEB2 A0A8V0Y644 A0A8V0X7H3 A0A8V0XAV4 A0A8V1ANL7 A0A8V0ZUA4 A0A8V1A9R2 A0A8V1AB67 A0A8V0ZAD5 A0A8V0X6S4 A0A8V0YI46 A0A8V0ZH27 C7G537 A0A8V0X8J3 A0A8V1A3D8 A0A8V0ZUX8 A0A8V0Z066 A0A8V0YSE9 A0A8V0ZAP0 A0A8V1AED9 A0A8V0ZS88 A0A8V0XZS5 O42273 A0A8V0YCY1 A0A8V0YBR8 E1BS94 A0A1D5NZN4 A0A8V0YIZ9 A0A8V0Y6Y0 A0A8V0YJX3 A0A8V0ZYJ9 A0A8V0YC02 A0A452J806 A0A8V0XPN5 Q5ZJW4 A0A8V0XIQ8 A0A8V0X1R9 A0A8V0YA97 A0A8V0ZZ91 A0A8V0ZKA8 A0A8V1ACQ8 A0A8V0XUD3 A0A8V0ZUI9 A0A3Q2UGT3 A0A8V0Z6U6 P24479 A0A8V0XMA2 A0A8V0Z4J0 A0A8V1A9W4 A0A1D5P3B1 A0A8V0ZTA5 A0A1D5P8I8 A0A8V0Y6Q3 A0A8V1A987 A0A8V0XWZ8 A0A8V0ZY42 A0A1L1RKB7 Q5ZMI5 A0A1D5NWY3 A0A8V0X5U5 A0A8V0Y6W2 A0A8V0XK27 A0A8V0YDL8 A0A8V0XD01 A0A8V0XRC4 A0A1D5NXL7 A0A8V0YTH3 A0A8V0XBS7 A0A8V0ZYI9 A0A1L1RVF4 A0A8V0ZMK4 A0A1D5P1W7 A0A8V1A370 A0A1D5NW68 A0A1D5P1F1 A0A8V1AAB0 A0A8V0ZZU1 A0A8V0XDM2 A0A1D5PM19 A0A8V1AAF2 A0A8V0YR80 A0A8V0Y6Y7 P02789 A0A3Q2UGR5 A0A8V0YGH2 A0A1D5P5X7 A0A8V0ZZS6 A0A8V0YCZ5 A0A8V0YWS4
Cellular Component,cytosolic ribosome,6,GO:0022626,39,55,1175,2784,1.68,2.1611820424968884e-05,4.67,A0A8V0XXX0 A0A8V0XJK4 Q6ITC7 A0A8V0Z4J0 P32429 A0A8V0YV66 F1NN16 A0A8V1A9M2 A0A1D5P3B1 A0A8V1AH32 A0A8V1A8R2 F1NH93 A0A8V0ZJP1 A0A8V0XRE7 A0A8V1AAB0 P01994 A0A8V0Z891 A0A8V0X2S3 A0A8V0YR80 A0A8V0XPN5 A0A3Q2TV39 A0A8V0Y9Y9 F1NQG5 P84175 A0A8V0ZGP2 A0A1D5NVI1 A0A1L1S0X5 A0A8V0Z1Z1 A0A8V0YU84 A0A8V0ZL98 A0A1D5PMT8 Q98TH5 A0A3Q3A7P6 P50890 P41125 R4GGJ0 A0A8V0ZUX8 A0A1D5PR40 F1NPA9
Cellular Component,mitochondrial membrane,4,GO:0031966,98,171,1175,2784,1.36,4.280951500277752e-05,4.37,A0A8V0ZRZ8 A0A8V1AEY5 A0A8V0XEA4 A0A8V0Z2Y8 A0A8V0YGN2 A0A8V0ZT56 A0A8V0ZPD6 R4GGQ4 A0A8V0ZTA0 A0A1D5P179 A0A3Q2U0S7 A0A8V0Y9V7 Q5ZL72 A0A8V0Y6X8 A0A8V0Y9K6 A0A8V0Z382 F1NEF6 A0A8V0ZEB2 Q5ZJ23 A0A8V0XMV0 A0A1D5PIF0 A0A8V0YXU7 A0A8V0XW68 A0A8V0ZM20 A0A8V0ZSX0 A0A8V1A640 A0A8V0ZJT8 A0A8V0Z863 A0A8V0ZVA2 A0A1D5NW93 A0A8V0X4A3 A0A1D5P8I7 A0A8V0Z7C7 A0A8V0X354 F1NXH1 A0A8V0Y4M6 Q5ZHV6 A0A8V0ZS72 P18944 A0A8V0YB71 A0A8V0X5J4 A0A1D5PL38 A0A8V0XYP6 A0A8V0ZLT9 A0A3Q2TTG3 A0A8V0Y492 A0A8V0YZL1 A0A8V0XMJ6 A0A8V0Z4J0 A0A8V0ZHE8 A0A8V0XCD2 A0A8V0X535 A0A8V0ZTA5 A0A8V0YC52 A0A8V1AH40 F1NIL3 F1NCA2 A0A8V1A3B4 A0A8V0YU17 A0A8V0XLB9 A0A8V0XL80 A0A8V0YFF3 A0A8V0Y9X9 P84172 A0A8V0YHD4 A0A8V0YBI3 A0A8V0Z6B5 A0A1D5PGC2 A0A8V0ZU95 A0A8V0ZC01 Q9YH14 A0A8V0YYM2 A0A1D5P0U8 A0A8V0YLZ8 A0A1D5PN54 R4GGZ2 A0A8V0ZI98 A0A1D5PI06 A0A1D5PNM0 A0A3Q2UHM4 A0A3Q2UJ64 A0A8V1AA37 E1C658 A0A8V1A4N7 A0A8V0Z1C5 A0A8V0YKJ3 A0A8V0XF68 A0A1D5P4B1 A0A8V1A624 A0A8V0ZTF7 A0A8V0X6I3 A0A8V0ZCP8 A0A8V0YWL6 A0A1D5NT61 F1NJF9 A0A8V0YNP1 A0A8V0YCL9 A0A8V0XA55
Cellular Component,myelin sheath,2,GO:0043209,75,125,1175,2784,1.42,5.756191589341123e-05,4.24,A0A8V1A9H2 Q5F411 F1NZ86 A0A8V1AA37 A0A1D5PBY3 A0A1D5PEH3 A0A8V0XBW1 A0A8V0ZPD6 A0A8V0YZL1 A0A8V0ZZU2 A0A8V0YGM0 Q5F3B9 E1C658 A0A8V0XPN3 Q90694 A0A8V0Z4J0 A0A8V1AHJ8 A0A8V0Z7V7 A0A1D5NZL7 A0A8V0ZHE8 A0A8V1AKZ9 A0A8V1AI83 A0A8V0Z794 Q5ZMG9 A0A8V1A4N7 Q5ZLN1 A0A8V0ZTA5 A0A8V0YCP2 A0A8V0ZSX0 A0A1D5PQV3 A0A8V0ZJT8 A0A8V0ZX92 A0A1D5NW68 A0A8V0ZJE0 A0A8V0ZRW5 A0A8V1AJS6 A0A8V0ZWH3 A0A8V0ZZZ5 Q5ZL72 A0A8V1A3B4 P01994 A0A8V1A624 A0A8V0Y579 A0A8V0YC02 A0A8V1AAF2 A0A8V0Y9K6 A0A8V0Z6R7 A0A8V0XLB9 Q90593 A0A8V0Y9X9 A0A8V0YFF3 P84172 A0A1D5NV75 A0A1L1RQ91 A0A8V0XJ14 A0A8V0YWL6 A0A8V1ABS2 A0A1D5NTY5 A0A8V0ZU95 A0A8V0ZS72 A0A1D5P1T0 F1NBW2 A0A8V0ZC01 E1BVT3 A0A1D5PHU2 A0A8V0XH88 A0A8V0YJV4 Q5ZJ23 A0A1D5NYK7 A0A1D5P0U8 A0A8V0XTC5 A0A8V0YLT1 A0A8V0YLZ8 A0A1D5PN54 A0A1D5PI06
Cellular Component,ribosomal subunit,3,GO:0044391,39,57,1175,2784,1.62,6.46849890628699e-05,4.19,A0A8V0XXX0 A0A8V0XJK4 Q6ITC7 A0A8V0Z4J0 P32429 A0A8V0YV66 F1NN16 A0A8V1A9M2 A0A1D5P3B1 A0A8V1AH32 A0A8V1A8R2 A0A8V0Y5D3 F1NH93 A0A8V0ZJP1 A0A8V0XRE7 A0A8V1AAB0 P01994 A0A8V0Z891 A0A8V0YR80 A0A8V0XPN5 A0A3Q2TV39 A0A8V0Y9Y9 F1NQG5 P84175 A0A8V0ZGP2 A0A1D5NVI1 A0A1L1S0X5 A0A8V0Z1Z1 A0A8V0ZL98 A0A8V0X7H3 A0A1D5PMT8 Q98TH5 A0A3Q3A7P6 P50890 P41125 R4GGJ0 A0A8V0ZUX8 A0A1D5PR40 F1NPA9
Cellular Component,small ribosomal subunit,4,GO:0015935,21,26,1175,2784,1.91,7.572262182742753e-05,4.12,A0A8V0XXX0 Q6ITC7 A0A8V0Z4J0 A0A8V0YV66 F1NN16 A0A8V1A8R2 A0A8V0Y5D3 F1NH93 P01994 A0A8V0Z891 A0A8V0XPN5 A0A3Q2TV39 P84175 A0A8V0Z1Z1 A0A8V0X7H3 Q98TH5 A0A3Q3A7P6 P50890 R4GGJ0 A0A8V0ZUX8 F1NPA9
Cellular Component,mitochondrion,5,GO:0005739,194,375,1175,2784,1.23,8.011094286215667e-05,4.1,A0A8V0Y9E4 A0A8V0ZRZ8 A0A8V1AJ19 A0A8V1AEY5 A0A8V0XEA4 A0A8V0Z2Y8 A0A8V0YGN2 A0A8V0ZT56 A0A8V0ZPD6 R4GGQ4 A0A8V0ZTA0 P17790 A0A8V0ZUQ1 A0A8V0ZM46 A0A8V0X9K8 A0A1D5P1U2 A0A8V0ZJE0 A0A8V1AJ89 A0A1D5P179 A0A8V0ZRW5 A0A3Q2U0S7 Q90611 A0A8V1AAU9 A0A8V0XB81 A0A8V0Y9V7 A0A8V1ABW1 Q5ZL72 A0A8V0Y6X8 A0A8V0YYY4 A0A8V1A4H0 A0A8V0Y9K6 A0A8V0YZN0 A0A8V0ZM89 A0A8V0Y2J1 A0A8V0Z832 A0A8V0Z382 F1NEF6 A0A8V0ZEB2 A0A8V1ABS2 A0A8V0X7H3 A0A8V0ZN94 A0A8V0ZAK3 Q5ZJ23 A0A1D5PSI3 A0A8V0XMV0 A0A8V0YGM0 A0A8V0XVT5 A0A1D5PIF0 A0A8V0X2T8 A0A8V1A0C2 A0A8V0YXU7 A0A8V0YYX3 A0A8V0ZVS5 A0A8V0XW68 A0A8V0Y121 A0A8V0ZM20 A0A3Q2TTB3 A0A8V0ZSX0 A0A8V1A640 A0A8V0ZJT8 A0A8V0XUY8 A0A8V1AE54 A0A8V0Z863 A0A8V0ZVA2 Q5F3M8 A0A1D5NW93 A0A8V1A9K2 A0A8V0ZWH3 A0A8V1AK88 A0A8V0X4A3 A0A1D5P8I7 A0A8V0Y9V8 A0A8V0Y4G2 A0A8V0Z7C7 A0A8V0XGF5 A0A8V0X354 A0A8V1ABC9 A0A8V0XKW4 F1NXH1 A0A8V0Y4M6 Q5ZHV6 R4GJC4 A0A8V0ZS72 A0A1D5PHU2 A0A8V0YJV4 A0A1D5PIQ5 P18944 A0A8V0XE68 A0A8V0YB71 A0A8V0X5J4 A0A1D5PL38 A0A8V0XYP6 A0A8V0ZLT9 A0A3Q2TTG3 A0A1D5PBY3 A0A1D5PEH3 A0A8V0Y492 A0A8V0YZL1 Q5F3B9 A0A8V0Y9B0 A0A8V0XMJ6 A0A8V0YVI8 A0A8V0Z4J0 A0A8V0ZHE8 A0A1D5PH43 A0A8V0XCD2 A0A8V0ZHY3 A0A8V0YR19 A0A8V0X535 A0A8V0Z6K3 A0A8V0ZTA5 A0A8V0XAS9 A0A8V0ZPJ9 A0A8V0YC52 A0A8V1AH40 F1NIL3 A0A1D5PH80 F1NCA2 A0A8V1A3B4 A0A8V0YU17 A0A8V0YGG7 A0A1D5NWR5 A0A8V0XLB9 A0A8V0XJW9 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0XL80 P84172 A0A1D5NYK3 A0A8V0YHD4 A0A8V0YBI3 A0A8V0Z6B5 A0A1D5PGC2 A0A8V0ZU95 A0A8V0ZC01 E1BVT3 Q9YH14 A0A8V0YYM2 A0A8V0YKG4 A0A1D5P0U8 A0A8V0YQC4 A0A8V0YLZ8 A0A1D5PN54 A0A8V0XNP4 R4GGZ2 A0A8V0ZI98 A0A1D5PI06 A0A1D5PNM0 A0A3Q2UHM4 F1NZ86 A0A3Q2UJ64 A0A8V1AA37 A0A8V0YF91 A0A8V0X3M7 A0A8V0XH76 A0A8V0Y8S2 E1C658 A0A8V0Z0W8 A0A8V1AKZ9 A0A8V0YQ88 A0A8V1A4N7 A0A1D5PQV0 A0A1D5PQV3 A0A8V0Z1C5 A0A8V0YKJ3 A0A8V0YH08 A0A1D5PC99 A0A8V0XF68 A0A8V1A000 Q04619 A0A1D5P4B1 A0A3Q2U892 A0A8V0ZAL2 A0A1D5PM19 A0A8V0YPT3 A0A8V1A624 E1BTT8 A0A8V0ZF10 Q90593 Q5ZKB9 A0A8V0ZTF7 A0A8V0X6I3 A0A8V0ZCP8 A0A8V0XHY2 A0A8V0YQE8 A0A8V0YWL6 A0A1D5NT61 A0A8V1AED0 F1NJF9 A0A8V0XIM8 A0A8V0YNP1 A0A8V0YCL9 A0A8V1A102 A0A8V0XA55
Cellular Component,mitochondrial envelope,4,GO:0005740,102,182,1175,2784,1.33,0.0001308001407157134,3.88,A0A8V0ZRZ8 A0A8V1AEY5 A0A8V0XEA4 A0A8V0Z2Y8 A0A8V0YGN2 A0A8V0ZT56 A0A8V0ZPD6 R4GGQ4 A0A8V0ZTA0 A0A8V0ZUQ1 A0A1D5P179 A0A3Q2U0S7 A0A8V0Y9V7 Q5ZL72 A0A8V0Y6X8 A0A8V1A4H0 A0A8V0Y9K6 A0A8V0Z382 F1NEF6 A0A8V0ZEB2 Q5ZJ23 A0A8V0XMV0 A0A1D5PIF0 A0A8V0YXU7 A0A8V0XW68 A0A8V0ZM20 A0A8V0ZSX0 A0A8V1A640 A0A8V0ZJT8 A0A8V0Z863 A0A8V0ZVA2 A0A1D5NW93 A0A8V0X4A3 A0A1D5P8I7 A0A8V0Y9V8 A0A8V0Z7C7 A0A8V0X354 A0A8V0XKW4 F1NXH1 A0A8V0Y4M6 Q5ZHV6 A0A8V0ZS72 P18944 A0A8V0YB71 A0A8V0X5J4 A0A1D5PL38 A0A8V0XYP6 A0A8V0ZLT9 A0A3Q2TTG3 A0A8V0Y492 A0A8V0YZL1 A0A8V0XMJ6 A0A8V0Z4J0 A0A8V0ZHE8 A0A8V0XCD2 A0A8V0X535 A0A8V0ZTA5 A0A8V0YC52 A0A8V1AH40 F1NIL3 F1NCA2 A0A8V1A3B4 A0A8V0YU17 A0A8V0XLB9 A0A8V0XL80 A0A8V0YFF3 A0A8V0Y9X9 P84172 A0A8V0YHD4 A0A8V0YBI3 A0A8V0Z6B5 A0A1D5PGC2 A0A8V0ZU95 A0A8V0ZC01 Q9YH14 A0A8V0YYM2 A0A1D5P0U8 A0A8V0YLZ8 A0A1D5PN54 R4GGZ2 A0A8V0ZI98 A0A1D5PI06 A0A1D5PNM0 A0A3Q2UHM4 A0A3Q2UJ64 A0A8V1AA37 E1C658 A0A8V1A4N7 A0A8V0Z1C5 A0A8V0YKJ3 A0A8V0XF68 A0A1D5P4B1 A0A8V1A624 A0A8V0ZTF7 A0A8V0X6I3 A0A8V0ZCP8 A0A8V0YWL6 A0A1D5NT61 F1NJF9 A0A8V0YNP1 A0A8V0YCL9 A0A8V0XA55
