Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00004 ATPase family associated with various cellular activities (AAA),9,18,881,2004,1.14,0.6392939805826241,0.19,A0A8V0Z3K2 A0A1D5NTY5 A0A8V0Y2X7 F1NU79 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0YFU9 A0A8V0ZH96
"PF00006 ATP synthase alpha/beta family, nucleotide-binding domain",5,7,881,2004,1.62,0.25158816988708826,0.6,A0A8V0Z6U6 F1NBW2 A0A8V1A624 A0A8V1AK12 A0A1D5PN54
PF00007 Cystine-knot domain,3,4,881,2004,1.71,0.32595876745614244,0.49,A0A8V0ZE58 A0A8V0YMS7 A0A8V0ZZC5
PF00008 EGF-like domain,13,30,881,2004,0.99,1.0,-0.0,A0A8V0YSB2 A0A8V0YQ88 A0A8V0ZHX5 A0A8V0XTP1 A0A8V0XRC4 A0A8V0Y413 A0A8V1A8B2 A0A8V0YXG4 A0A8V0YUC6 A0A8V0YVP9 A0A8V0YID0 A0A8V0YXI9 P31696
PF00009 Elongation factor Tu GTP binding domain,3,6,881,2004,1.14,1.0,-0.0,Q5ZMS3 A0A8V0XBW1 P84172
PF00013 KH domain,3,5,881,2004,1.36,0.6595001049354059,0.18,A0A8V1A0C9 A0A8V0ZX20 A0A1D5PSI3
PF00014 Kunitz/Bovine pancreatic trypsin inhibitor domain,3,10,881,2004,0.68,0.527373816137434,0.28,A0A3Q3A7D8 A0A8V1ADY8 A0A8V0YTE6
PF00017 SH2 domain,6,20,881,2004,0.68,0.25997222802370057,0.59,A0A8V0YFT7 A0A8V1A9R2 A0A8V0ZPP3 A0A3Q3ACS4 A0A8V0ZVX9 A0A8V0ZEJ3
PF00018 SH3 domain,8,27,881,2004,0.67,0.17143460624981852,0.77,A0A8V1A9H2 A0A8V0Y1I1 Q8AXV0 A0A3Q2TSS2 A0A8V0XXP1 A0A8V0XAN3 A0A1L1RP76 A0A3Q2U4B8
PF00019 Transforming growth factor beta like domain,2,12,881,2004,0.38,0.07824474383330567,1.11,O42220 A0A8V0YSE9
PF00020 TNFR/NGFR cysteine-rich region,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1A134 A0A8V0ZHP3
PF00025 ADP-ribosylation factor family,5,11,881,2004,1.03,1.0,-0.0,A0A8V0ZRZ2 A0A8V0YCZ5 A0A8V0Z193 A0A1D5PWK2 A0A8V0XKU5
PF00028 Cadherin domain,10,21,881,2004,1.08,0.8262268591626907,0.08,A0A3Q2UGT3 A0A8V0XTP1 A0A8V0XCI3 A0A8V0Y0T2 A0A8V0YA04 A0A8V0Y4T8 A0A8V0YHL6 A0A8V0XGN8 A0A8V0Y103 A0A8V0X381
PF00031 Cystatin domain,2,4,881,2004,1.14,1.0,-0.0,A0A8V0YUT8 A0A8V0YNC4
PF00040 Fibronectin type II domain,4,10,881,2004,0.91,1.0,-0.0,A0A8V0ZNQ8 A0A8V0XTH6 A0A8V0YDD6 Q90611
PF00041 Fibronectin type III domain,16,49,881,2004,0.74,0.11135740384341876,0.95,A0A1D5P6T3 A0A8V0X8P6 A0A8V0YQ88 A0A8V0ZI29 A0A8V0XCT3 A0A8V1AB05 A0A8V0Z6Z2 A0A8V0XX41 A0A3Q3A4U3 A0A8V0YDD6 A0A8V1ADW0 A0A8V0Y828 Q8AV58 A0A8V0YWW2 Q03696 A0A1D5P8I8
PF00042 Globin,5,5,881,2004,2.27,0.016316302220061647,1.79,A0A8V0Z399 P01994 A0A8V0XM21 A0A8V0XL09 A0A8V0XF06
