GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Biological Process	oxidative phosphorylation	7	GO:0006119	41	59	642	2734	2.96	4.4794352849998064e-14	13.35	P18944 A0A1D5PIF0 Q9YH14 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XCD2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.565597175854225
Biological Process	ATP metabolic process	7	GO:0046034	51	96	642	2734	2.26	1.5117433694273097e-10	9.82	Q5ZLN1 P18944 A0A1D5PIF0 A0A452J806 A0A8V0XHN0 A0A8V0Y9V8 A0A8V0ZM20 E1BTT8 Q9YH14 A0A1D5NTY5 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XA55 A0A8V0XCD2 A0A8V0XTC5 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 F1NIL3 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.1763227726404628
Biological Process	purine ribonucleotide metabolic process	6	GO:0009150	76	168	642	2734	1.93	1.9540426646464951e-10	9.71	Q5ZLN1 P18944 A0A1D5PIF0 A0A3Q2U4B8 A0A452J806 A0A8V0X3M7 A0A8V0XHN0 A0A8V0XMJ6 A0A8V0Y9V8 A0A8V0Z420 A0A8V0ZAK3 A0A8V0ZAL2 A0A8V0ZCP8 A0A8V0ZM20 E1BTT8 Q5F3B9 Q9YH14 A0A1D5NTY5 A0A1D5NW93 A0A1D5NYK3 A0A1D5P0U8 A0A1D5P1U2 A0A1D5P4B1 A0A1D5PC99 A0A1D5PEH3 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A1D5PQV3 A0A8V0XA55 A0A8V0XCD2 A0A8V0XE68 A0A8V0XTC5 A0A8V0XTM2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YVZ8 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZJD3 A0A8V0ZU95 A0A8V0ZVA2 A0A8V0ZVS5 A0A8V0ZWH3 A0A8V1A102 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AED0 A0A8V1AEY5 A0A8V1AH40 E1C658 F1NAQ8 F1NIL3 F1NMA2 A0A1D5NWL9 A0A3Q2UJ64 A0A8V0X2T8 A0A8V0YBI3 A0A8V0YC20 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	0.9486008474933557
Biological Process	ribonucleoside monophosphate metabolic process	6	GO:0009161	56	115	642	2734	2.07	1.5989094195845896e-09	8.8	Q5ZLN1 P18944 A0A1D5PIF0 A0A3Q2U4B8 A0A452J806 A0A8V0XHN0 A0A8V0Y9V8 A0A8V0ZM20 E1BTT8 Q9YH14 A0A1D5NTY5 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XA55 A0A8V0XCD2 A0A8V0XTC5 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YVZ8 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZCN7 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 F1NAQ8 F1NIL3 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YC20 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.0496307677246004
Biological Process	purine nucleoside monophosphate metabolic process	6	GO:0009126	55	112	642	2734	2.09	1.7399116460873134e-09	8.76	Q5ZLN1 P18944 A0A1D5PIF0 A0A3Q2U4B8 A0A452J806 A0A8V0XHN0 A0A8V0Y9V8 A0A8V0ZM20 E1BTT8 Q9YH14 A0A1D5NTY5 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XA55 A0A8V0XCD2 A0A8V0XTC5 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YVZ8 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 F1NAQ8 F1NIL3 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YC20 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.063502942306158
Biological Process	purine ribonucleoside monophosphate metabolic process	7	GO:0009167	55	112	642	2734	2.09	1.7399116460873134e-09	8.76	Q5ZLN1 P18944 A0A1D5PIF0 A0A3Q2U4B8 A0A452J806 A0A8V0XHN0 A0A8V0Y9V8 A0A8V0ZM20 E1BTT8 Q9YH14 A0A1D5NTY5 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XA55 A0A8V0XCD2 A0A8V0XTC5 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YVZ8 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 F1NAQ8 F1NIL3 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YC20 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.063502942306158
Biological Process	mitochondrial ATP synthesis coupled electron transport	7	GO:0042775	29	44	642	2734	2.81	1.940316525783507e-09	8.71	P18944 A0A1D5PIF0 A0A1D5P4B1 A0A1D5PI06 A0A1D5PNM0 A0A8V0XCD2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 A0A3Q2UJ64 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.4905701304462013
Biological Process	ATP synthesis coupled electron transport	6	GO:0042773	29	44	642	2734	2.81	1.940316525783507e-09	8.71	P18944 A0A1D5PIF0 A0A1D5P4B1 A0A1D5PI06 A0A1D5PNM0 A0A8V0XCD2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 A0A3Q2UJ64 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.4905701304462013
Biological Process	purine nucleoside triphosphate metabolic process	6	GO:0009144	52	106	642	2734	2.09	5.884796798409098e-09	8.23	Q5ZLN1 P18944 A0A1D5PIF0 A0A452J806 A0A8V0XHN0 A0A8V0Y9V8 A0A8V0ZM20 E1BTT8 Q9YH14 A0A1D5NTY5 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XA55 A0A8V0XCD2 A0A8V0XTC5 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 F1NIL3 A0A3Q2U892 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.063502942306158
Biological Process	purine ribonucleoside triphosphate metabolic process	7	GO:0009205	51	104	642	2734	2.09	8.882010248174989e-09	8.05	Q5ZLN1 P18944 A0A1D5PIF0 A0A452J806 A0A8V0XHN0 A0A8V0Y9V8 A0A8V0ZM20 E1BTT8 Q9YH14 A0A1D5NTY5 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XA55 A0A8V0XCD2 A0A8V0XTC5 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 F1NIL3 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.063502942306158
