Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF00684 DnaJ central domain	4	4	449	2004	4.46	0.0024938877879532345	2.6	A0A8V0ZMT8 A0A8V0YQE8 A0A1D5NYA8 A0A1L1RZR2	2.15704371014558
PF16450 Proteasomal ATPase OB C-terminal domain	4	4	449	2004	4.46	0.0024938877879532345	2.6	A0A8V0Z3K2 A0A8V0ZH96 A0A1L1RP66 F1NU79	2.15704371014558
PF00458 WHEP-TRS domain	4	4	449	2004	4.46	0.0024938877879532345	2.6	A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V1AAU9	2.15704371014558
PF00273 Serum albumin family	3	3	449	2004	4.46	0.011188944985840724	1.95	A0A8V0XCT6 A0A8V0XJ14 A0A1D5NW68	2.15704371014558
PF00175 Oxidoreductase NAD-binding domain 	3	3	449	2004	4.46	0.011188944985840724	1.95	A0A8V0YHD4 A0A8V0X354 A0A8V1AE54	2.15704371014558
PF08075 NOPS (NUC059) domain	3	3	449	2004	4.46	0.011188944985840724	1.95	A0A8V0XSU6 A0A8V0YZ19 A0A1D5P8I3	2.15704371014558
PF03129 Anticodon binding domain	4	5	449	2004	3.57	0.01024987880846464	1.99	A0A3Q2TSP8 A0A8V0YH08 A0A8V0YQC4 A0A8V1AAU9	1.835924074254375
PF00364 Biotin-requiring enzyme	4	5	449	2004	3.57	0.01024987880846464	1.99	A0A8V0XHY2 A0A1D5PQV3 A0A8V0ZWH3 A0A8V1A102	1.835924074254375
PF00227 Proteasome subunit	11	15	449	2004	3.27	3.608905710081753e-05	4.44	Q5ZLI2 F1NC02 A0A8V1A582 R4GLB3 A0A8V1ABH8 A0A8V0XRD5 A0A1D5PJW4 A0A8V0XB52 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63	1.7092906357233577
PF00106 short chain dehydrogenase	8	11	449	2004	3.25	0.0005189086881483659	3.28	A0A1D5PTW3 A0A1D5NWL9 A0A8V0YU17 A0A8V0Z0D4 A0A8V0Z420 A0A8V0X2T8 A0A8V0XK42 A0A8V0ZJ84	1.7004397181410922
PF00435 Spectrin repeat	6	9	449	2004	2.98	0.005518508945992709	2.26	A0A8V1A9H2 A0A8V0Y5A6 A0A8V0ZD41 A0A8V0YWS4 A0A1D5P797 A0A8V0YVI8	1.5753123306874368
PF00441 Acyl-CoA dehydrogenase, C-terminal domain	6	9	449	2004	2.98	0.005518508945992709	2.26	A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6	1.5753123306874368
PF02770 Acyl-CoA dehydrogenase, middle domain	6	9	449	2004	2.98	0.005518508945992709	2.26	A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6	1.5753123306874368
PF02771 Acyl-CoA dehydrogenase, N-terminal domain	6	9	449	2004	2.98	0.005518508945992709	2.26	A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6	1.5753123306874368
PF00378 Enoyl-CoA hydratase/isomerase	4	6	449	2004	2.98	0.02532342814049802	1.6	A0A8V0XN01 A0A8V0YYX3 A0A8V0Y8S2 A0A8V0Y492	1.5753123306874368
PF01399 PCI domain	7	11	449	2004	2.84	0.003831266211592896	2.42	A0A8V0X4M9 A0A1D5NXL7 A0A8V0ZY42 A0A8V0ZW50 A0A8V0XHV8 A0A8V0ZEY1 A0A8V0ZEC1	1.5058909297299572
PF17789 Macroglobulin domain MG4	6	10	449	2004	2.68	0.01121116886543415	1.95	A0A8V0X8L8 A0A8V0ZJW3 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43	1.4222330006830477
PF17862 AAA+ lid domain	8	14	449	2004	2.55	0.004941709281903402	2.31	A0A8V0Z3K2 A0A1D5NTY5 F1NU79 A0A8V0Y2X7 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0ZH96	1.3504972470841332
PF01835 MG2 domain	6	11	449	2004	2.43	0.02006705204997987	1.7	A0A8V0X8L8 A0A8V0ZJW3 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43	1.2809563138310565
PF00270 DEAD/DEAH box helicase	7	13	449	2004	2.4	0.013056317777498251	1.88	A0A8V0X895 A0A8V0YZ41 Q5ZHZ0 Q5ZKB9 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7	1.263034405833794
