KEGG pathway	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
map04714 Thermogenesis	47	80	414	1633	2.32	1.1255712274647255e-10	9.95	A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A8V1AEY5 A0A8V0ZPD6 A0A8V0Z2Y8 A0A8V0YZL1 A0A1D5PIF0 E1C658 A0A8V0XMJ6 A0A1D5PD64 A0A8V0XW68 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 A0A1D5P179 A0A8V0YC52 A0A8V0Z863 A0A8V0ZVA2 A0A8V1AH40 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A1D5P4B1 A0A8V1A3B4 A0A8V0ZAL2 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z1Z1 A0A8V0Z382 A0A8V0Z6B5 P18944 A0A8V0ZU95 A0A8V0ZC01 Q9YH14 A0A1D5PN54 A0A1D5P0U8 A0A8V0YCL9 A0A1D5PIQ5 R4GGZ2 A0A8V0ZI98 A0A1D5PI06	1.2141248053528473
map00190 Oxidative phosphorylation	44	76	414	1633	2.28	7.714072039824568e-10	9.11	A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A8V1AEY5 A0A8V0ZPD6 A0A8V0Z2Y8 A0A8V0YZL1 A0A1D5PIF0 E1C658 A0A8V0XW68 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 A0A1D5P179 A0A8V0YC52 A0A8V0ZVA2 A0A8V0Z863 A0A8V1AH40 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A1D5P4B1 A0A8V1A3B4 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z382 A0A8V0Z6B5 P18944 A0A8V0ZU95 F1NBW2 A0A8V0ZC01 Q9YH14 A0A8V1AK12 A0A1D5P0U8 A0A8V0YCL9 A0A1D5PN54 R4GGZ2 A0A8V0ZI98 A0A1D5PI06	1.189033824390017
map03050 Proteasome	24	36	414	1633	2.63	1.5542433229274696e-07	6.81	A0A8V0Y2X7 A0A8V0Z3K2 F1NC02 A0A8V0YQY8 A0A8V1A582 A0A1D5NXL7 A0A8V0ZNG1 A0A8V0ZEY1 A0A8V0ZH96 F1NU79 Q5ZLI2 A0A8V0XY82 A0A8V0XB52 A0A8V0ZNX9 A0A8V1AF05 A0A8V1ABH8 A0A8V0ZY42 A0A8V0XRD5 R4GLB3 A0A1D5PJW4 A0A1L1RP66 A0A8V0ZNG4 Q7ZT63 F1NR71	1.3950627995175777
map03010 Ribosome	32	55	414	1633	2.29	2.2019917798333374e-07	6.66	A0A8V0XXX0 A0A8V0XJK4 Q6ITC7 P32429 A0A8V0YV66 F1NN16 A0A8V1A9M2 A0A1D5P3B1 A0A8V1AH32 A0A8V1A8R2 F1NH93 A0A8V0ZJP1 A0A8V0Y4V6 A0A8V0XRE7 A0A8V1AAB0 A0A8V0Z891 A0A8V0YR80 A0A3Q2TV39 A0A8V0Y9Y9 P84175 A0A8V0ZGP2 A0A8V0Z1Z1 A0A1L1S0X5 A0A8V0ZL98 A0A1D5PMT8 A0A3Q3A7P6 P50890 P41125 R4GGJ0 A0A8V0ZUX8 A0A1D5PR40 F1NPA9	1.1953475983222193
map04260 Cardiac muscle contraction	15	23	414	1633	2.57	5.705993818041783e-05	4.24	A0A8V0ZU95 A0A8V1A3B4 A0A8V0XW68 A0A3Q2UJ64 A0A8V0ZC01 A0A1L1RKB7 A0A8V0Z2Y8 A0A8V0XTC5 A0A8V0ZYC2 A0A8V0ZX92 A0A8V0X6I3 A0A8V0YCL9 A0A8V0YZL1 P18944 A0A8V0Z6B5	1.3617683594191532
map00071 Fatty acid degradation	14	23	414	1633	2.4	0.00029910920022338067	3.52	A0A8V0Y4M6 A0A8V1ABW1 A0A8V0ZAL2 A0A8V0YB71 A0A8V0X3M7 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0Y8S2 A0A1D5NYK3 A0A8V0XMJ6 A0A8V0XE68 A0A8V0YYX3 A0A8V0X9K8	1.263034405833794
map00970 Aminoacyl-tRNA biosynthesis	12	19	414	1633	2.49	0.0005146335028132884	3.29	A0A8V0Z3U7 A0A3Q2TSP8 A0A8V0Y121 A0A8V0ZF10 A0A8V0ZQK2 A0A8V0YQC4 A0A8V1A7D7 A0A8V1AAU9 A0A8V1A7Y9 A0A8V0YH08 E1C2Z5 A0A8V0ZWY9	1.3161457422933562
map00020 Citrate cycle (TCA cycle)	13	22	414	1633	2.33	0.000743684121507721	3.13	A0A8V0ZVS5 A0A8V0ZWH3 E1BVT3 A0A1D5P8I7 A0A8V0ZAK3 A0A1D5PEH3 A0A8V0YGM0 A0A1D5PQV3 Q5F3B9 A0A1D5PIF0 A0A1D5P1U2 A0A8V0Y9B0 A0A8V0ZRW5	1.2203299548795556
map03018 RNA degradation	7	10	414	1633	2.76	0.003716276991828706	2.43	A0A8V0YD10 F1NZ86 Q5ZL72 Q5ZKB9 A0A8V0ZRK8 A0A8V0ZE30 A0A8V0XHN0	1.4646682670034443
map04723 Retrograde endocannabinoid signaling	21	50	414	1633	1.66	0.008197457673084826	2.09	A0A1D5PNM0 A0A8V0ZRZ8 A0A8V1AA37 A0A8V1AEY5 A0A8V0ZPD6 A0A8V0XCD2 A0A8V0X535 A0A1D5P179 A0A8V0YC52 A0A8V0ZVA2 A0A8V1AH40 A0A8V0Z863 A0A8V0Y9V7 A0A1D5P4B1 A0A8V0Y6X8 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0Z382 A0A1D5PIQ5 R4GGZ2 A0A1D5PI06	0.7311832415721999
map00280 Valine, leucine and isoleucine degradation	13	28	414	1633	1.83	0.014758238701799053	1.83	A0A8V1ABW1 A0A8V0X3M7 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0ZTF7 A0A8V0XHY2 A0A8V0XVT5 A0A8V0XE68 A0A8V0X2T8 Q5F3M8 A0A8V0YB71 A0A8V0X9K8	0.8718436485093178
map00650 Butanoate metabolism	6	10	414	1633	2.37	0.020793614565429785	1.68	A0A8V0YU17 A0A8V0XIM8 A0A8V0ZT56 A0A8V0Y492 Q5F3M8 A0A8V0XE68	1.2448870591235344
map04146 Peroxisome	7	13	414	1633	2.12	0.025680837433884014	1.59	A0A8V0ZAL2 A0A1D5NWL9 A0A1D5P8I7 A0A8V0Y8S2 A0A8V1A0C2 A0A8V0XMJ6 A0A8V0XNP4	1.0840642647884746
map00380 Tryptophan metabolism	8	15	414	1633	2.1	0.0305358512123245	1.52	A0A8V1ABW1 A0A8V0XIM8 A0A8V0Y492 A0A8V0ZT84 A0A1D5PQV3 A0A1D5NYK3 A0A8V0XE68 A0A8V0X9K8	1.070389327891398
map00620 Pyruvate metabolism	10	21	414	1633	1.88	0.03898285848564817	1.41	A0A8V0ZWH3 A0A8V1ABW1 E1BVT3 E1BTT8 A0A1D5PEH3 A0A1D5P1U2 A0A8V0Y9B0 A0A8V0XE68 A0A1L1RZK1 A0A8V0X9K8	0.9107326619029126
