GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Biological Process	immunoglobulin mediated immune response	6	GO:0016064	11	24	389	2734	3.22	0.00018368379626789556	3.74	A0A8V0YW57 A0A8V1ABC8 P01875 A0A8V0XEJ0 A0A8V0ZQJ4 A0A8V0ZQS2 A0A8V0ZVP0 A0A8V0ZZD4 A0A8V0ZZH6 A0A8V0ZZJ1 A0A8V1A3D7	1.6870606883398924
Biological Process	proteoglycan biosynthetic process	6	GO:0030166	13	36	389	2734	2.54	0.0008239186860878264	3.08	Q98938 Q76KB2 A0A8V0WZJ4 A0A8V0XRC4 A0A8V0YS46 A0A1D5P201 A0A1D5PA74 A0A1L1RX77 E1C2T4 E1C3Z8 F1NGB8 A0A8V0Y8L6 A0A8V0ZBJ8	1.3448284969974411
Biological Process	protein O-linked glycosylation via threonine	6	GO:0018243	4	5	389	2734	5.62	0.0017939922213639128	2.75	A0A8V0Y6W2 A0A8V0Z6S1 A0A8V0ZY61 A0A8V1A2F4	2.4905701304462013
Biological Process	postreplication repair	6	GO:0006301	6	11	389	2734	3.83	0.001959899978171157	2.71	A0A3Q2TTB3 A0A1D5PNL3 A0A8V0YW57 A0A8V0Z4J0 A0A8V1ACS0 A0A8V1AJ90	1.9373443921502325
Biological Process	dermatan sulfate proteoglycan biosynthetic process	7	GO:0050651	5	8	389	2734	4.39	0.0022000604084922697	2.66	A0A8V0WZJ4 A0A8V0XRC4 A0A1L1RX77 E1C2T4 E1C3Z8	2.1342209397606333
Biological Process	axon development	7	GO:0061564	45	207	389	2734	1.53	0.002506118796174446	2.6	Q98938 A0A1D5P0D7 A0A8V0XRC4 A0A8V1AB67 P33005 A0A1D5NTR5 A0A1D5NYG2 A0A1D5PNL3 A0A8V0Y070 A0A8V0Y4G8 A0A8V0Y9F8 A0A8V0YB43 A0A8V0YDT5 A0A8V0YRG2 A0A8V0YVT3 A0A8V0YXG4 A0A8V0Z4M1 A0A8V0Z8V4 A0A8V0ZBR8 A0A8V0ZF83 A0A8V0ZI29 A0A8V0ZKS6 A0A8V0ZSX0 A0A8V0ZZU1 A0A8V1AB05 A0A8V1ABC9 A0A8V1ACD6 A0A8V1ADF6 A0A8V1AG56 F1NEZ4 Q0PVE4 A0A1D5NW03 A0A1D5P655 A0A1D5PT01 A0A3Q3A4U3 A0A8V0XDM2 A0A8V0Y8L6 A0A8V0YBD7 A0A8V0YE20 A0A8V0YRN1 A0A8V0YUF6 A0A8V0YY70 A0A8V0ZB91 A0A8V1AAH7 A0A8V1AAN6	0.6135316529179271
Biological Process	positive regulation of mesenchymal cell proliferation	6	GO:0002053	7	15	389	2734	3.28	0.0025673312022898866	2.59	Q98938 A0A8V0Z4M1 A0A8V0ZKI8 A0A8V1A9A7 A0A8V1AG56 A0A3Q2TU24 A0A8V0YMM6	1.713695814843359
Biological Process	regulation of axon extension involved in axon guidance	6	GO:0048841	8	19	389	2734	2.96	0.002806940719799186	2.55	A0A8V0YDT5 A0A8V0Z4M1 A0A8V0Z8V4 A0A8V0ZI29 A0A8V0ZKS6 A0A8V1AB05 A0A8V1ACD6 A0A8V1AG56	1.565597175854225
Biological Process	presynaptic membrane assembly	6	GO:0097105	3	3	389	2734	7.03	0.0028613662808953137	2.54	A0A8V0Y9F8 A0A8V0YDT5 A0A3Q2UGW3	2.8135246892978105
Biological Process	positive regulation of BMP signaling pathway	6	GO:0030513	7	16	389	2734	3.07	0.004014125043831835	2.4	A0A1D5P0D7 A0A8V0Y070 A0A8V0ZE58 A0A8V0ZF83 A0A8V0ZKS6 A0A8V0X5U3 A0A8V0ZFG7	1.6182386555954547
