GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Cellular Component	extracellular matrix	3	GO:0031012	46	174	389	2784	1.89	7.244213058015626e-06	5.14	F1NSM7 P02460 P11602 Q6JHU8 Q98938 A0A8V0XRC4 P33005 Q90YI1 A0A1D5NTR5 A0A1D5NYG2 A0A1D5NZ82 A0A1L1RX77 A0A8V0XJ84 A0A8V0XPE8 A0A8V0XRN3 A0A8V0Y1A4 A0A8V0Y413 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YNQ0 A0A8V0YXG4 A0A8V0Z4M1 A0A8V0ZBR8 A0A8V0ZE58 A0A8V0ZGF6 A0A8V0ZTP1 A0A8V1A9U7 A0A8V1AFR2 A0A8V1AG56 A0A8V1AN12 C7G540 A0A1D5PE57 A0A3Q2TT95 A0A8V0XXK8 A0A8V0Y0F3 A0A8V0Y290 A0A8V0YA97 A0A8V0YBD7 A0A8V0YE20 A0A8V0YIV5 A0A8V0ZA56 A0A8V0ZAP5 A0A8V0ZHX5 A0A8V0ZRN1 A0A8V1AAN6	0.9183862344463478
Cellular Component	axoneme	2	GO:0005930	20	70	389	2784	2.04	0.0012517438671888939	2.9	A0A8V0XK27 A0A8V0X370 A0A8V0XAF8 A0A8V0XLH4 A0A8V0Y8G8 A0A8V0YVT3 A0A8V0Z4U2 A0A8V0Z6B9 A0A8V1A6Y8 A0A8V1AM51 A0A8V0XKU5 A0A8V0XM58 A0A8V0Y1N7 A0A8V0YPQ6 A0A8V0Z6L1 A0A8V0ZHK9 A0A8V0ZLV6 A0A8V0ZT48 A0A8V1A3Y6 E1BQB4	1.0285691521967708
Cellular Component	ciliary plasm	5	GO:0097014	20	70	389	2784	2.04	0.0012517438671888939	2.9	A0A8V0XK27 A0A8V0X370 A0A8V0XAF8 A0A8V0XLH4 A0A8V0Y8G8 A0A8V0YVT3 A0A8V0Z4U2 A0A8V0Z6B9 A0A8V1A6Y8 A0A8V1AM51 A0A8V0XKU5 A0A8V0XM58 A0A8V0Y1N7 A0A8V0YPQ6 A0A8V0Z6L1 A0A8V0ZHK9 A0A8V0ZLV6 A0A8V0ZT48 A0A8V1A3Y6 E1BQB4	1.0285691521967708
Cellular Component	plasma membrane bounded cell projection cytoplasm	4	GO:0032838	24	92	389	2784	1.87	0.0018383076026682404	2.74	A0A8V0YJV4 A0A8V0XK27 A0A8V0X370 A0A8V0XAF8 A0A8V0XB58 A0A8V0XLH4 A0A8V0Y8G8 A0A8V0YVT3 A0A8V0Z438 A0A8V0Z4U2 A0A8V0Z6B9 A0A8V0ZWX9 A0A8V1A6Y8 A0A8V1AM51 A0A8V0XKU5 A0A8V0XM58 A0A8V0Y1N7 A0A8V0YPQ6 A0A8V0Z6L1 A0A8V0ZHK9 A0A8V0ZLV6 A0A8V0ZT48 A0A8V1A3Y6 E1BQB4	0.903038270112912
Cellular Component	collagen-containing extracellular matrix	4	GO:0062023	26	102	389	2784	1.82	0.0018835663880856384	2.73	P02460 Q6JHU8 A0A8V0XJ84 A0A8V0XRN3 A0A8V0Y1A4 A0A8V0Y413 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YNQ0 A0A8V0YXG4 A0A8V0Z4M1 A0A8V0ZBR8 A0A8V0ZGF6 A0A8V0ZTP1 A0A8V1A9U7 A0A8V1AFR2 A0A1D5PE57 A0A3Q2TT95 A0A8V0XXK8 A0A8V0YE20 A0A8V0YIV5 A0A8V0ZA56 A0A8V0ZAP5 A0A8V0ZHX5 A0A8V1AAN6	0.8639384504239717
Cellular Component	axonemal dynein complex	4	GO:0005858	6	12	389	2784	3.58	0.0031435546715053017	2.5	A0A8V0X370 A0A8V0Y8G8 A0A8V0Z6B9 A0A8V1A6Y8 A0A8V0Y1N7 A0A8V0YPQ6	1.8399595874895318
Cellular Component	interstitial matrix	5	GO:0005614	4	6	389	2784	4.77	0.004463779772543505	2.35	A0A3Q2TT95 A0A8V0XXK8 A0A8V0YIV5 A0A8V1AAN6	2.2539892662307865
Cellular Component	postsynaptic density membrane	6	GO:0098839	4	6	389	2784	4.77	0.004463779772543505	2.35	Q00649 A0A8V0YDT5 A0A8V0ZI29 A0A8V1AB05	2.2539892662307865
Cellular Component	inner dynein arm	5	GO:0036156	4	6	389	2784	4.77	0.004463779772543505	2.35	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V1A6Y8 A0A8V0YPQ6	2.2539892662307865
Cellular Component	basement membrane	5	GO:0005604	21	82	389	2784	1.83	0.005139324139513084	2.29	P02460 Q6JHU8 A0A8V0XRN3 A0A8V0Y1A4 A0A8V0Y413 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YNQ0 A0A8V0YXG4 A0A8V0Z4M1 A0A8V0ZBR8 A0A8V0ZGF6 A0A8V0ZTP1 A0A8V1A9U7 A0A8V1AFR2 A0A3Q2TT95 A0A8V0YE20 A0A8V0ZAP5 A0A8V0ZHX5 A0A8V1AAN6	0.8718436485093178
Cellular Component	postsynaptic specialization membrane	5	GO:0099634	4	8	389	2784	3.58	0.016522364361908074	1.78	Q00649 A0A8V0YDT5 A0A8V0ZI29 A0A8V1AB05	1.8399595874895318
Cellular Component	collagen trimer	2	GO:0005581	6	16	389	2784	2.68	0.016656131278147787	1.78	P02460 A0A1L1RX77 A0A8V1AFR2 A0A1D5PE57 A0A8V0XXK8 A0A8V0YA97	1.4222330006830477
Cellular Component	integrin alpha4-beta1 complex	4	GO:0034668	2	2	389	2784	7.16	0.019480445727575367	1.71	A0A8V0Y0F3 A0A8V0Y290	2.8399595874895316
Cellular Component	cortical microtubule	8	GO:0055028	2	2	389	2784	7.16	0.019480445727575367	1.71	A0A1D5PBU5 A0A8V0X5U3	2.8399595874895316
Cellular Component	Wnt-Frizzled-LRP5/6 complex	4	GO:1990851	2	2	389	2784	7.16	0.019480445727575367	1.71	A0A8V0ZKI8 A0A8V1A9A7	2.8399595874895316
Cellular Component	EMILIN complex	4	GO:1990971	2	2	389	2784	7.16	0.019480445727575367	1.71	A0A8V0Y0F3 A0A8V0Y290	2.8399595874895316
Cellular Component	mitotic spindle astral microtubule	9	GO:0061673	2	2	389	2784	7.16	0.019480445727575367	1.71	A0A1D5PBU5 A0A8V0X5U3	2.8399595874895316
Cellular Component	protein complex involved in cell-matrix adhesion	3	GO:0098637	2	2	389	2784	7.16	0.019480445727575367	1.71	A0A8V0Y0F3 A0A8V0Y290	2.8399595874895316
Cellular Component	egg coat	4	GO:0035805	2	2	389	2784	7.16	0.019480445727575367	1.71	Q90YI1 C7G540	2.8399595874895316
Cellular Component	microfibril	5	GO:0001527	3	5	389	2784	4.29	0.02176954309397706	1.66	A0A1D5NZ82 A0A8V0XPE8 A0A8V0ZRN1	2.1009776477248208
