GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Cellular Component	myelin sheath	2	GO:0043209	77	125	1134	2784	1.51	1.6054442602716657e-06	5.79	P00356 P05122 Q5ZL72 Q5ZLN1 A0A8V0YJV4 E1BVD1 P00337 P0CB50 Q5ZMJ6 A0A1D5PFJ6 A0A1D5PP57 A0A8V0XMT9 A0A8V0YS93 E1BVT3 F1NBW2 P84172 Q5F3B9 Q5F411 Q5ZJ23 Q5ZMG9 A0A1D5NTY5 A0A1D5NWL4 A0A1D5P0U8 A0A1D5PBY3 A0A1D5PEH3 A0A1D5PN54 A0A1D5PQV3 A0A1D5PUL6 A0A8V0X6I8 A0A8V0XBW1 A0A8V0XTC5 A0A8V0XWE1 A0A8V0Y9K6 A0A8V0Y9X9 A0A8V0YCP2 A0A8V0YFF3 A0A8V0YLT1 A0A8V0YWL6 A0A8V0Z4J0 A0A8V0Z6R7 A0A8V0Z794 A0A8V0Z7V7 A0A8V0ZC01 A0A8V0ZHE8 A0A8V0ZJT8 A0A8V0ZSX0 A0A8V0ZU95 A0A8V0ZWH3 A0A8V0ZX92 A0A8V0ZZ99 A0A8V0ZZU2 A0A8V1A4N7 A0A8V1A624 A0A8V1A9H2 A0A8V1AA37 A0A8V1ABS2 A0A8V1ACS0 A0A8V1AEW4 A0A8V1AHJ8 A0A8V1AJS6 A0A8V1AKZ9 E1C658 F1NLV4 F1NZ86 O93277 A0A1D5NV75 A0A1D5NW68 A0A8V0XJ14 A0A8V0YC02 A0A8V0YGM0 A0A8V0YZL1 A0A8V0Z8E9 A0A8V0ZS72 A0A8V0ZTA5 A0A8V1A3B4 A0A8V1A3I2 E1BW98	0.5945485495503542
Cellular Component	proteasome complex	3	GO:0000502	33	44	1134	2784	1.84	6.582470800635547e-06	5.18	Q00649 Q7ZT63 A0A1D5NTY5 A0A1D5PJW4 A0A8V0XB52 A0A8V0XHF1 A0A8V0XRD5 A0A8V0XWA8 A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 A0A8V0ZEY1 A0A8V0ZNX9 A0A8V0ZY42 A0A8V1A582 A0A8V1ABH8 F1NC02 F1NU79 Q5ZLI2 R4GLB3 A0A1D5NTD3 A0A1D5NXL7 A0A1L1RP66 A0A8V0X4H8 A0A8V0XY82 A0A8V0Z0G8 A0A8V0ZH96 A0A8V0ZNG1 A0A8V0ZNG4 A0A8V1AGU4 F1NR71	0.8797057662822882
Cellular Component	endopeptidase complex	4	GO:1905369	33	45	1134	2784	1.8	1.0054885803151179e-05	5.0	Q00649 Q7ZT63 A0A1D5NTY5 A0A1D5PJW4 A0A8V0XB52 A0A8V0XHF1 A0A8V0XRD5 A0A8V0XWA8 A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 A0A8V0ZEY1 A0A8V0ZNX9 A0A8V0ZY42 A0A8V1A582 A0A8V1ABH8 F1NC02 F1NU79 Q5ZLI2 R4GLB3 A0A1D5NTD3 A0A1D5NXL7 A0A1L1RP66 A0A8V0X4H8 A0A8V0XY82 A0A8V0Z0G8 A0A8V0ZH96 A0A8V0ZNG1 A0A8V0ZNG4 A0A8V1AGU4 F1NR71	0.84799690655495
Cellular Component	peptidase complex	3	GO:1905368	34	49	1134	2784	1.7	5.227688552416917e-05	4.28	Q00649 P28687 Q7ZT63 A0A1D5NTY5 A0A1D5PJW4 A0A8V0XB52 A0A8V0XHF1 A0A8V0XRD5 A0A8V0XWA8 A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 A0A8V0ZEY1 A0A8V0ZNX9 A0A8V0ZY42 A0A8V1A582 A0A8V1ABH8 F1NC02 F1NU79 Q5ZLI2 R4GLB3 A0A1D5NTD3 A0A1D5NXL7 A0A1L1RP66 A0A8V0X4H8 A0A8V0XY82 A0A8V0Z0G8 A0A8V0ZH96 A0A8V0ZNG1 A0A8V0ZNG4 A0A8V1AGU4 F1NR71	0.765534746362977
Cellular Component	ribosome	5	GO:0005840	43	66	1134	2784	1.6	6.415154356319573e-05	4.19	F1NPA9 P50890 A0A8V0YS93 F1NN16 P41125 Q6ITC7 A0A1D5P3B1 A0A1D5PMT8 A0A1D5PS29 A0A1L1S0X5 A0A3Q3A7P6 A0A8V0X7H3 A0A8V0XJK4 A0A8V0XXX0 A0A8V0YR80 A0A8V0YU84 A0A8V0Z1Z1 A0A8V0Z4J0 A0A8V0Z865 A0A8V0Z891 A0A8V0ZCS2 A0A8V0ZE87 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZL98 A0A8V0ZNA1 A0A8V0ZSX6 A0A8V0ZUX8 A0A8V1ACS0 A0A8V1APZ6 E1BTG1 F1NH93 F1NIX0 R4GGJ0 A0A8V0XPN5 A0A8V0XRE7 A0A8V0YV66 A0A8V0Z4U8 A0A8V0Z8S4 A0A8V0ZCN4 A0A8V1A8R2 A0A8V1A9M2 E1C4N0	0.6780719051126377
Cellular Component	proteasome regulatory particle	2	GO:0005838	16	19	1134	2784	2.07	0.0001710833267926556	3.77	A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 A0A8V0ZEY1 A0A8V0ZY42 F1NU79 A0A1D5NTD3 A0A1D5NXL7 A0A1L1RP66 A0A8V0XY82 A0A8V0ZH96 A0A8V0ZNG1 A0A8V1AGU4 F1NR71	1.0496307677246004
Cellular Component	proteasome accessory complex	2	GO:0022624	16	19	1134	2784	2.07	0.0001710833267926556	3.77	A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 A0A8V0ZEY1 A0A8V0ZY42 F1NU79 A0A1D5NTD3 A0A1D5NXL7 A0A1L1RP66 A0A8V0XY82 A0A8V0ZH96 A0A8V0ZNG1 A0A8V1AGU4 F1NR71	1.0496307677246004
Cellular Component	cytosolic ribosome	6	GO:0022626	36	55	1134	2784	1.61	0.0002447792961109441	3.61	F1NPA9 P50890 F1NN16 P41125 Q6ITC7 A0A1D5P3B1 A0A1D5PMT8 A0A1L1S0X5 A0A3Q3A7P6 A0A8V0XJK4 A0A8V0XXX0 A0A8V0YR80 A0A8V0YU84 A0A8V0Z1Z1 A0A8V0Z4J0 A0A8V0Z891 A0A8V0ZE87 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZL98 A0A8V0ZNA1 A0A8V0ZSX6 A0A8V0ZUX8 A0A8V1ACS0 E1BTG1 F1NH93 F1NIX0 R4GGJ0 A0A8V0XPN5 A0A8V0XRE7 A0A8V0YV66 A0A8V0Z4U8 A0A8V0ZCN4 A0A8V1A8R2 A0A8V1A9M2 E1C4N0	0.6870606883398924
Cellular Component	blood microparticle	2	GO:0072562	11	12	1134	2784	2.25	0.00037542032847762293	3.43	P14448 A0A8V0ZZN4 A0A8V0ZZT2 P01875 A0A8V0XEJ0 A0A8V0XHB9 A0A8V0YIZ9 A0A8V0YNC4 A0A8V0YS27 A0A8V0YUT8 A0A8V1AEU3	1.1699250014423124
Cellular Component	intermediate filament cytoskeleton	6	GO:0045111	20	27	1134	2784	1.82	0.0005634154318028182	3.25	A0A1D5PNG3 P13648 A0A1D5PFJ6 O93256 A0A3Q2U596 A0A8V0XJW7 A0A8V0Y814 A0A8V0YVI8 A0A8V0ZBX0 A0A8V0ZQ00 A0A8V0ZQC1 A0A1D5P3Y7 A0A8V0XGL8 A0A8V0Y0I0 A0A8V0ZK24 A0A8V0ZVD2 A0A8V0ZZA5 A0A8V1A178 A0A8V1A1U8 A0A8V1A8T0	0.8639384504239717
Cellular Component	Z disc	2	GO:0030018	30	45	1134	2784	1.64	0.0005929027635389495	3.23	A0A1D5NYE8 A0A1D5PM19 P00356 P00789 P14315 Q00649 P13127 A0A8V0X354 O93256 P28497 A0A8V0X548 A0A8V0X6I8 A0A8V0Y5A6 A0A8V0YVI8 A0A8V0ZBX0 A0A8V0ZD41 A0A8V0ZQC1 A0A8V0ZVE0 A0A8V1A9H2 A0A8V1AAK7 A0A8V1AHP5 A0A1D5NYG3 A0A3Q2TVX1 A0A8V0XGL8 A0A8V0XJD2 A0A8V0XYK6 A0A8V0XZQ1 A0A8V0Z784 A0A8V1A4P2 A0A8V1A8T0	0.713695814843359
Cellular Component	chaperonin-containing T-complex	4	GO:0005832	8	8	1134	2784	2.46	0.0007467502585777087	3.13	Q5F411 Q5ZMG9 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6	1.298658315564515
Cellular Component	dynactin complex	3	GO:0005869	8	8	1134	2784	2.46	0.0007467502585777087	3.13	P14315 P13127 A0A8V1AJB6 P28497 A0A8V0XJW7 A0A8V0Z794 A0A1D5PFB8 A0A8V0Y2J9	1.298658315564515
Cellular Component	protein folding chaperone complex	3	GO:0101031	10	11	1134	2784	2.23	0.0008531968498483061	3.07	A0A1D5PFJ6 Q5F411 Q5ZMG9 A0A3Q2U7H6 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6	1.15704371014558
Cellular Component	I band	2	GO:0031674	31	48	1134	2784	1.59	0.0009472075304075484	3.02	A0A1D5NYE8 A0A1D5PM19 P00356 P00789 P14315 Q00649 P13127 A0A8V0X354 O93256 P28497 A0A1D5P797 A0A8V0X548 A0A8V0X6I8 A0A8V0Y5A6 A0A8V0YVI8 A0A8V0ZBX0 A0A8V0ZD41 A0A8V0ZQC1 A0A8V0ZVE0 A0A8V1A9H2 A0A8V1AAK7 A0A8V1AHP5 A0A1D5NYG3 A0A3Q2TVX1 A0A8V0XGL8 A0A8V0XJD2 A0A8V0XYK6 A0A8V0XZQ1 A0A8V0Z784 A0A8V1A4P2 A0A8V1A8T0	0.6690267655096307
Cellular Component	ribosomal subunit	3	GO:0044391	35	57	1134	2784	1.51	0.0016170806562090254	2.79	F1NPA9 P50890 F1NN16 P41125 Q6ITC7 A0A1D5P3B1 A0A1D5PMT8 A0A1L1S0X5 A0A3Q3A7P6 A0A8V0X7H3 A0A8V0XJK4 A0A8V0XXX0 A0A8V0YR80 A0A8V0Z1Z1 A0A8V0Z4J0 A0A8V0Z865 A0A8V0Z891 A0A8V0ZE87 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZL98 A0A8V0ZNA1 A0A8V0ZUX8 A0A8V1ACS0 E1BTG1 F1NH93 F1NIX0 R4GGJ0 A0A8V0XPN5 A0A8V0XRE7 A0A8V0YV66 A0A8V0Z4U8 A0A8V1A8R2 A0A8V1A9M2 E1C4N0	0.5945485495503542
Cellular Component	cytosolic proteasome complex	4	GO:0031597	9	10	1134	2784	2.21	0.0019238023397631758	2.72	A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 F1NU79 A0A1L1RP66 A0A8V0ZH96 A0A8V0ZNG1	1.144046369616707
Cellular Component	zona pellucida receptor complex	2	GO:0002199	9	10	1134	2784	2.21	0.0019238023397631758	2.72	Q5F411 Q5ZMG9 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6 A0A8V1AA32	1.144046369616707
Cellular Component	mitochondrial respiratory chain complex IV	4	GO:0005751	9	10	1134	2784	2.21	0.0019238023397631758	2.72	P18944 A0A8V0XW68 A0A8V0YCL9 A0A8V0Z2Y8 A0A8V0ZC01 A0A8V0ZU95 A0A8V0X6I3 A0A8V0YZL1 R4GGZ2	1.144046369616707
Cellular Component	intermediate filament	6	GO:0005882	15	20	1134	2784	1.84	0.002344988683479112	2.63	A0A1D5PNG3 P13648 A0A1D5PFJ6 O93256 A0A3Q2U596 A0A8V0ZBX0 A0A8V0ZQ00 A0A8V0ZQC1 A0A8V0XGL8 A0A8V0ZK24 A0A8V0ZVD2 A0A8V0ZZA5 A0A8V1A178 A0A8V1A1U8 A0A8V1A8T0	0.8797057662822882
