GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Molecular Function	structural constituent of ribosome	2	GO:0003735	33	53	1011	2477	1.53	0.0017023251082426377	2.77	F1NPA9 P50890 F1NN16 P41125 Q6ITC7 A0A1D5P3B1 A0A1D5PMT8 A0A1L1S0X5 A0A3Q3A7P6 A0A8V0XJK4 A0A8V0XXX0 A0A8V0YR80 A0A8V0Z1Z1 A0A8V0Z865 A0A8V0Z891 A0A8V0ZE87 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZL98 A0A8V0ZNA1 A0A8V0ZUX8 A0A8V1ACS0 E1BTG1 F1NH93 F1NIX0 R4GGJ0 A0A8V0XPN5 A0A8V0XRE7 A0A8V0YV66 A0A8V0Z4U8 A0A8V1A8R2 A0A8V1A9M2 E1C4N0	0.6135316529179271
Molecular Function	TBP-class protein binding	5	GO:0017025	9	10	1011	2477	2.21	0.0019531677015327677	2.71	A0A8V0Y2X7 A0A8V0YCT6 A0A8V0Z3K2 A0A8V1AE58 F1NU79 A0A1D5PLP1 A0A1L1RP66 A0A8V0YJ12 A0A8V0ZH96	1.144046369616707
Molecular Function	steroid binding	3	GO:0005496	15	20	1011	2477	1.84	0.0023729605144035674	2.62	Q5ZKN2 A0A8V0XCT6 A0A8V0Y9X9 A0A8V0YU84 A0A8V0Z0R7 A0A8V0Z4P8 A0A8V0ZJ84 A0A8V0ZKA8 A0A8V0ZX92 A0A8V0ZZN4 A0A8V0ZZT2 A0A8V1AHJ8 A0A8V0X2T8 A0A8V1A3H7 A0A8V1AEU3	0.8797057662822882
Molecular Function	catalytic activity, acting on RNA	3	GO:0140098	31	50	1011	2477	1.52	0.003230890479047316	2.49	A0A3Q2TTB3 A0A3S5ZPN3 F1NYI3 Q5ZHZ0 A0A3Q2TSP8 A0A8V0ZEK6 E1C2Z5 A0A1L1RRY6 A0A3Q2U0S7 A0A8V0X6Y3 A0A8V0X895 A0A8V0XT65 A0A8V0XY40 A0A8V0XZ63 A0A8V0Y121 A0A8V0Y207 A0A8V0YH08 A0A8V0YJ71 A0A8V0YQC4 A0A8V0YUW3 A0A8V0YZ41 A0A8V0ZEB2 A0A8V0ZEW0 A0A8V0ZJ97 A0A8V0ZWY9 A0A8V1A7D7 A0A8V1A7Y9 A0A8V1AAU9 F1NJU7 A0A8V0X7F0 A0A8V0ZE30	0.6040713236688608
Molecular Function	3-hydroxyacyl-CoA dehydrogenase activity	5	GO:0003857	6	6	1011	2477	2.45	0.0045827646108903665	2.34	A0A8V0Y492 A0A8V0YB71 A0A8V0Z420 A0A8V0XIM8 A0A1D5NWL9 A0A8V0X2T8	1.292781749227846
Molecular Function	scaffold protein binding	3	GO:0097110	20	30	1011	2477	1.63	0.00467140366119989	2.33	A0A1D5PM19 A0A8V0Z1D6 A0A1L1RPJ2 A0A8V0X354 A0A8V0ZY91 A0A1D5PUL6 A0A8V0Y121 A0A8V0YCZ5 A0A8V0YRF2 A0A8V0ZBP0 A0A8V0ZQC1 A0A8V0ZRZ2 A0A8V1ABC9 A0A1D5P7C1 A0A3Q2UGW3 A0A8V0XGL8 A0A8V0Y4B7 A0A8V0ZK24 A0A8V0ZVD2 A0A8V1AHK4	0.7048719644563528
Molecular Function	protein folding chaperone	1	GO:0044183	11	14	1011	2477	1.93	0.005239370890880938	2.28	Q00649 Q5ZL72 Q5F411 Q5ZMG9 A0A1D5PB69 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6	0.9486008474933557
Molecular Function	amino acid binding	5	GO:0016597	12	16	1011	2477	1.84	0.008474778595053979	2.07	A0A8V0X354 A0A8V0ZEK6 Q5ZJ23 A0A1D5NT61 A0A1D5PXH4 A0A8V0XY40 A0A8V0Y121 A0A8V0Y513 A0A8V0Z4R1 A0A8V0ZJT8 A0A8V0ZV32 A0A8V0ZBS5	0.8797057662822882
Molecular Function	vitamin B6 binding	3	GO:0070279	7	8	1011	2477	2.14	0.009607724555601287	2.02	E1BSN7 E1BYF1 A0A8V0YBU4 A0A8V0ZAI6 A0A8V0ZJT8 A0A1D5NW68 A0A8V0XJ14	1.0976107966264224
Molecular Function	pyridoxal phosphate binding	4	GO:0030170	7	8	1011	2477	2.14	0.009607724555601287	2.02	E1BSN7 E1BYF1 A0A8V0YBU4 A0A8V0ZAI6 A0A8V0ZJT8 A0A1D5NW68 A0A8V0XJ14	1.0976107966264224
Molecular Function	calcium-dependent cysteine-type endopeptidase activity	6	GO:0004198	7	8	1011	2477	2.14	0.009607724555601287	2.02	P00789 A0A8V0XAS9 F1NHD8 A0A1D5P4Z5 A0A8V0XBI2 A0A8V0XL09 A0A8V0XE95	1.0976107966264224
Molecular Function	dynein light intermediate chain binding	3	GO:0051959	10	13	1011	2477	1.88	0.010127253177646156	1.99	A0A8V0XK27 Q5ZJ27 A0A8V0X370 A0A8V0Y8G8 A0A8V0YRF1 A0A8V0Z6B9 A0A8V0ZBP0 A0A8V1A6Y8 A0A8V1AM51 Q5ZHX2	0.9107326619029126
Molecular Function	proteasome-activating activity	2	GO:0036402	5	5	1011	2477	2.45	0.011261027950428283	1.95	A0A8V0Y2X7 A0A8V0Z3K2 F1NU79 A0A1L1RP66 A0A8V0ZH96	1.292781749227846
Molecular Function	nuclease activity	4	GO:0004518	11	15	1011	2477	1.8	0.015192547856447716	1.82	A0A8V0X6Y3 A0A8V0X895 A0A8V0XT65 A0A8V0ZEB2 A0A8V0ZEW0 A0A8V0ZJP1 A0A8V0X7F0 A0A8V0XWZ8 A0A8V0Z784 A0A8V0ZE30 A0A8V1ABY0	0.84799690655495
