KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00010 Glycolysis / Gluconeogenesis,15,33,709,1633,1.05,0.8601050664537404,0.07,A0A8V1AKL9 A0A8V0ZWH3 A0A8V1ABW1 P00356 A0A8V0X6I8 E1BTT8 Q5ZLN1 A0A1D5PEH3 A0A8V0ZM20 P00337 A0A8V0ZTG8 A0A8V1A4P2 A0A8V1AIR0 A0A8V0X9K8 A0A8V0XHN0
map00020 Citrate cycle (TCA cycle),10,22,709,1633,1.05,0.8327690860348897,0.08,A0A8V0ZVS5 A0A8V0ZWH3 E1BVT3 A0A1D5P8I7 A0A1D5PQV0 A0A1D5PEH3 A0A1D5P9I3 A0A8V0YGM0 A0A1D5PQV3 Q5F3B9
map00030 Pentose phosphate pathway,9,15,709,1633,1.38,0.20309258633482843,0.69,A0A1D5PC23 A0A8V0X6I8 A0A8V0YBE2 A0A8V0ZTG8 A0A8V1A4P2 A0A8V0Z832 A0A8V1AIR0 A0A1D5NWL4 A0A8V0XHN0
map00040 Pentose and glucuronate interconversions,6,12,709,1633,1.15,0.7722869574171805,0.11,A0A8V0YKA1 A0A8V0XM79 A0A8V0YJV4 E1BVD1 A0A1L1RSD2 A0A8V0XMD4
map00051 Fructose and mannose metabolism,10,15,709,1633,1.54,0.1132954760061777,0.95,A0A8V0Z0B1 A0A8V0YKA1 A0A1D5PD70 A0A8V0X6I8 A0A8V0YJV4 A0A8V0ZM20 E1BVD1 A0A8V0ZTG8 A0A8V1AIR0 A0A8V0XHN0
map00052 Galactose metabolism,9,20,709,1633,1.04,1.0,-0.0,A0A8V0YKA1 A0A8V1AMB6 A0A8V0YJV4 A0A8V0YZJ3 A0A8V0ZM20 E1BVD1 A0A8V0ZTG8 A0A8V1A4P2 A0A8V0XHN0
map00053 Ascorbate and aldarate metabolism,4,7,709,1633,1.32,0.4760057172930794,0.32,A0A8V1AKL9 A0A8V1ABW1 A0A1L1RSD2 A0A8V0X9K8
map00062 Fatty acid elongation,6,11,709,1633,1.26,0.5470078290937599,0.26,A0A8V0XIM8 A0A8V0Y492 A0A8V1A6U2 A0A8V0Z420 A0A8V0YB71 A0A8V0Z2X9
map00071 Fatty acid degradation,13,23,709,1633,1.3,0.2110411615214972,0.68,A0A8V0Y4M6 A0A8V1AKL9 A0A8V1ABW1 A0A8V0ZAL2 A0A8V0X3M7 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0XE68 A0A8V0Y8S2 A0A8V0YB71 A0A8V0YYX3 A0A8V0X9K8
map00140 Steroid hormone biosynthesis,2,4,709,1633,1.15,1.0,-0.0,A0A8V0Z420 A0A8V0ZJ84
map00190 Oxidative phosphorylation,44,76,709,1633,1.33,0.012349975619056323,1.91,A0A1D5PCU0 A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A8V0Z2Y8 A0A8V0YZL1 E1C658 A0A8V1A840 R4GGZ2 A0A8V0XW68 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 A0A1D5PP57 A0A8V0Y8W7 A0A1D5P179 A0A8V0YC52 A0A8V0Z863 A0A8V0ZVA2 A0A8V1AH40 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A8V1A3B4 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V1AAC8 A0A8V0Z382 A0A8V0ZU95 F1NBW2 A0A8V0ZC01 Q9YH14 A0A8V0ZBC9 A0A1D5P0U8 A0A8V0YCL9 Q5ZHL0 A0A1D5PN54 P18944 A0A8V0ZI98
map00220 Arginine biosynthesis,6,9,709,1633,1.54,0.18832886038498386,0.73,A0A1D5NT61 Q5ZJ23 A0A1L1RIY4 A0A8V0ZJT8 A0A8V0X354 A0A8V0Y513
map00230 Purine metabolism,15,40,709,1633,0.86,0.5195167755404864,0.28,A0A8V0ZJD3 A0A1D5PSI2 A0A8V0ZWX9 A0A8V0Z310 A0A8V0ZG46 A0A3Q2UHG8 A0A8V0YC57 A0A8V1A9L3 A0A8V0X675 A0A8V0XAH5 A0A8V0XTM2 A0A8V1A4P2 A0A1D5PL45 A0A8V1AC34 A0A1D5PZJ5
map00240 Pyrimidine metabolism,4,20,709,1633,0.46,0.04010095747295546,1.4,A0A8V0X675 A0A8V0X6H2 A0A8V0ZG46 A0A1D5PZJ5
"map00250 Alanine, aspartate and glutamate metabolism",7,14,709,1633,1.15,0.7877429997650598,0.1,A0A1D5NT61 Q5ZJ23 A0A1D5PXH4 A0A1L1RIY4 A0A8V0ZJT8 A0A1D5PL45 A0A8V0Y513
"map00260 Glycine, serine and threonine metabolism",3,4,709,1633,1.73,0.32271156176079185,0.49,Q5ZLN1 A0A8V0X9K8 E1BYF1
map00261 Monobactam biosynthesis,2,2,709,1633,2.3,0.1883532653723454,0.73,A0A8V0ZJD3 A0A8V0XTM2
map00270 Cysteine and methionine metabolism,14,24,709,1633,1.34,0.15045191780371628,0.82,F1NDP5 A0A8V0XM35 E1BVT3 E1BTT8 A0A8V0ZV32 A0A1D5NY06 A0A1D5PNB8 E1BYF1 A0A8V0Z4R1 P00337 A0A8V0ZJT8 A0A8V1A1S6 A0A8V0YKJ7 A0A8V0XYL0
"map00280 Valine, leucine and isoleucine degradation",14,28,709,1633,1.15,0.5650158904570426,0.25,A0A8V1AKL9 A0A8V1ABW1 A0A8V0X3M7 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0ZTF7 A0A8V0XE68 A0A8V0XVT5 A0A8V0X2T8 Q5F3M8 A0A8V0YB71 A0A8V0X9K8 A0A8V0YKJ7
map00310 Lysine degradation,7,16,709,1633,1.01,1.0,-0.0,A0A8V1AKL9 A0A8V1ABW1 A0A8V0XIM8 A0A8V0Y492 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8
map00330 Arginine and proline metabolism,8,16,709,1633,1.15,0.6201251926404376,0.21,A0A8V1AKL9 A0A8V1ABW1 A0A1D5NY06 A0A8V0ZHL4 A0A8V0ZJT8 A0A8V0X354 A0A8V0X9K8 P05122
map00340 Histidine metabolism,3,8,709,1633,0.86,1.0,-0.0,A0A8V1AKL9 A0A8V1ABW1 A0A8V0X9K8
map00380 Tryptophan metabolism,7,15,709,1633,1.07,0.7998482476675328,0.1,A0A8V1AKL9 A0A8V1ABW1 A0A8V0XIM8 A0A8V0Y492 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8
map00410 beta-Alanine metabolism,6,13,709,1633,1.06,1.0,-0.0,A0A8V1AKL9 A0A8V1ABW1 A0A8V0Y492 A0A8V0ZT56 A0A8V0XVT5 A0A8V0X9K8
map00430 Taurine and hypotaurine metabolism,2,3,709,1633,1.54,0.582668792466573,0.23,A0A8V1A0M8 A0A8V0ZIZ5
map00450 Selenocompound metabolism,4,7,709,1633,1.32,0.4760057172930794,0.32,A0A8V0ZJD3 A0A8V0XTM2 A0A8V0ZHY3 E1BYF1
map00480 Glutathione metabolism,11,29,709,1633,0.87,0.5772418061299999,0.24,A0A8V0XX21 A0A8V1AHJ8 A0A8V0YU69 A0A1D5P8I7 A0A8V0ZV32 A0A1D5NY06 A0A8V0YEN4 A0A8V1A0M8 A0A8V1A0C2 A0A8V0ZIZ5 O57579
map00500 Starch and sucrose metabolism,5,11,709,1633,1.05,1.0,-0.0,A0A8V0ZLV3 A0A8V0ZM20 A0A8V0ZAI6 E1BSN7 A0A8V1A4P2
map00510 N-Glycan biosynthesis,9,27,709,1633,0.77,0.33149780352441865,0.48,A0A8V0ZWC9 A0A8V1A8C9 O13113 A0A8V0XDL7 A0A8V0X2C5 A0A8V0Y7C8 A0A8V0ZHZ7 A0A8V0ZI24 A0A8V0Z0B9
map00511 Other glycan degradation,4,15,709,1633,0.61,0.2950726021571144,0.53,A0A8V0Z1E9 F1NB63 A0A8V0YZJ3 E1BS94
map00512 Mucin type O-glycan biosynthesis,8,21,709,1633,0.88,0.6646343540250391,0.18,A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 A0A1D5PJE0 A0A8V1A2F4 A0A8V1ACQ8 A0A8V0Y6W2 A0A8V0XT35
map00513 Various types of N-glycan biosynthesis,8,25,709,1633,0.74,0.3106749590217255,0.51,F1NB63 A0A8V0ZWC9 A0A8V1A8C9 O13113 A0A8V0Y7C8 A0A8V0ZHZ7 A0A8V0ZI24 A0A8V0Z0B9
map00514 Other types of O-glycan biosynthesis,10,29,709,1633,0.79,0.3517752424614706,0.45,A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 A0A1D5PJE0 O12971 A0A8V1A2F4 A0A8V0Y6W2 A0A8V0XMA2 A0A8V0XT35 Q8AWB4
map00515 Mannose type O-glycan biosynthesis,5,12,709,1633,0.96,1.0,-0.0,A0A8V0ZFH4 A0A8V0ZR84 A0A8V0Y218 A0A8V0ZYN6 A0A8V0YYQ9
map00520 Amino sugar and nucleotide sugar metabolism,9,23,709,1633,0.9,0.8328728916924434,0.08,A0A8V0Z0B1 A0A1D5PD70 Q5ZMH8 A0A8V0YA67 A0A8V1AMB6 A0A1D5PXH4 A0A8V0ZM20 A0A8V1A4P2 A0A8V0YHD4
map00531 Glycosaminoglycan degradation,4,15,709,1633,0.61,0.2950726021571144,0.53,A0A8V0YLN5 A0A8V0ZIF0 A0A8V0YZJ3 A0A1L1RSD2
map00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,6,16,709,1633,0.86,0.8012266545788067,0.1,A0A8V0WZJ4 A0A8V0Y664 A0A8V0YBC7 E1C3Z8 A0A1D5PA74 E1C2T4
map00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin,7,15,709,1633,1.07,0.7998482476675328,0.1,F1NGB8 A0A8V0YS46 A0A8V0WZJ4 A0A8V0ZBJ8 A0A8V0ZXC9 A0A8V0Y8L6 Q76KB2
map00561 Glycerolipid metabolism,9,15,709,1633,1.38,0.20309258633482843,0.69,A0A8V0YKA1 P11602 A0A8V1AKL9 A0A8V1ABW1 A0A8V0X9K8 A0A8V0YJV4 A0A1D5PK92 E1BVD1 A0A8V0ZZL0
map00562 Inositol phosphate metabolism,9,18,709,1633,1.15,0.636134260993817,0.2,A0A8V0ZUI9 A0A8V0XCX4 A0A1D5PHE2 A0A8V1A5Y9 Q5ZJ58 A0A8V0ZYM1 A0A8V1ACH5 A0A8V0XVT5 A0A8V0ZQS2
map00564 Glycerophospholipid metabolism,4,14,709,1633,0.66,0.29322241930826537,0.53,F1NCA2 A0A8V0X548 A0A8V0Z1C5 A0A8V0ZZL0
map00565 Ether lipid metabolism,4,13,709,1633,0.71,0.4123077157091385,0.38,A0A8V1AJB6 A0A8V0XWZ8 A0A8V0WZN3 A0A1D5PMU2
map00590 Arachidonic acid metabolism,3,17,709,1633,0.41,0.0460192969861694,1.34,A0A8V1A0M8 Q8QFM7 A0A3Q2U7H6
map00600 Sphingolipid metabolism,5,15,709,1633,0.77,0.6023497858747384,0.22,A0A8V0X637 A0A8V0XXM5 A0A8V0WZN3 A0A8V0YZJ3 A0A1D5P1F1
map00603 Glycosphingolipid biosynthesis - globo and isoglobo series,2,9,709,1633,0.51,0.3140786850253293,0.5,A0A8V0YC98 A0A8V1AFP1
map00620 Pyruvate metabolism,11,21,709,1633,1.21,0.5073145446738161,0.29,A0A8V1AKL9 A0A8V0ZWH3 A0A8V1ABW1 E1BVT3 E1BTT8 A0A1D5PEH3 P00337 P07032 A0A8V0XE68 A0A1L1RZK1 A0A8V0X9K8
map00630 Glyoxylate and dicarboxylate metabolism,5,11,709,1633,1.05,1.0,-0.0,A0A8V0ZVS5 E1BVT3 A0A1D5PQV0 A0A8V0YGM0 A0A8V0XE68
map00640 Propanoate metabolism,6,15,709,1633,0.92,1.0,-0.0,E1BTT8 A0A8V0Y492 A0A8V0ZT56 P00337 Q5F3B9 A0A8V0XVT5
map00650 Butanoate metabolism,5,10,709,1633,1.15,0.754404960455281,0.12,A0A8V0XIM8 A0A8V0ZT56 A0A8V0Y492 Q5F3M8 A0A8V0XE68
map00730 Thiamine metabolism,3,7,709,1633,0.99,1.0,-0.0,A0A1D5P9Z1 A0A8V1AC34 A0A8V0Z310
map00750 Vitamin B6 metabolism,2,4,709,1633,1.15,1.0,-0.0,F1NC58 A0A8V0YBU4
map00760 Nicotinate and nicotinamide metabolism,3,8,709,1633,0.86,1.0,-0.0,A0A8V0X675 A0A8V0YP51 A0A8V0ZG46
map00770 Pantothenate and CoA biosynthesis,5,8,709,1633,1.44,0.3049602989229433,0.52,A0A8V1AKL9 A0A8V1ABW1 A0A3Q2UEL1 A0A8V0XM46 A0A8V0YKJ7
map00790 Folate biosynthesis,5,9,709,1633,1.28,0.5136245094158397,0.29,A0A8V0YKA1 A0A8V0YJV4 E1BVD1 A0A8V0X868 A0A8V0Z5M1
map00860 Porphyrin metabolism,4,7,709,1633,1.32,0.4760057172930794,0.32,A0A3Q2TSP8 A0A8V1AB74 A0A8V0X453 A0A1L1RSD2
map00900 Terpenoid backbone biosynthesis,2,6,709,1633,0.77,0.7029633035395654,0.15,A0A8V1AK88 A0A8V0XE68
map00910 Nitrogen metabolism,3,4,709,1633,1.73,0.32271156176079185,0.49,A0A8V0YLT1 A0A1D5NT61 A0A8V0Y513
map00920 Sulfur metabolism,4,9,709,1633,1.02,1.0,-0.0,A0A8V0ZJD3 A0A8V1AEM5 A0A8V0XTM2 F1NDP5
map00970 Aminoacyl-tRNA biosynthesis,13,19,709,1633,1.58,0.03488288667235588,1.46,A0A8V0Y207 A0A8V1AAU9 F1NJU7 A0A8V0Y121 A0A8V0XY40 A0A8V0ZEK6 A0A8V0YQC4 A0A8V1A7D7 A0A8V1A7Y9 A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V0ZWY9
map00980 Metabolism of xenobiotics by cytochrome P450,4,16,709,1633,0.58,0.20404685528658906,0.69,A0A8V0ZF25 A0A8V1AHJ8 A0A8V1A0C2 A0A8V0XM79
map00981 Insect hormone biosynthesis,2,2,709,1633,2.3,0.1883532653723454,0.73,A0A8V1AKL9 A0A8V1ABW1
map00982 Drug metabolism - cytochrome P450,2,14,709,1633,0.33,0.030143334873719375,1.52,A0A8V1AHJ8 A0A8V1A0C2
