GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Cellular Component	myelin sheath	2	GO:0043209	70	125	745	2784	2.09	2.4909401033533506e-12	11.6	P00356 P05122 Q5ZL72 Q5ZLN1 E1BVD1 P00337 P0CB50 Q5ZMJ6 A0A1D5PFJ6 A0A1D5PP57 A0A8V0XMT9 A0A8V0YS93 E1BVT3 F1NBW2 P84172 Q5F3B9 Q5F411 Q5ZJ23 Q5ZMG9 A0A1D5NTY5 A0A1D5NWL4 A0A1D5P0U8 A0A1D5PBY3 A0A1D5PEH3 A0A1D5PN54 A0A1D5PQV3 A0A1D5PUL6 A0A8V0X6I8 A0A8V0XBW1 A0A8V0XTC5 A0A8V0XWE1 A0A8V0Y9K6 A0A8V0Y9X9 A0A8V0YCP2 A0A8V0YFF3 A0A8V0YWL6 A0A8V0Z6R7 A0A8V0Z794 A0A8V0Z7V7 A0A8V0ZC01 A0A8V0ZHE8 A0A8V0ZJT8 A0A8V0ZU95 A0A8V0ZWH3 A0A8V0ZX92 A0A8V0ZZ99 A0A8V0ZZU2 A0A8V1A4N7 A0A8V1A624 A0A8V1A9H2 A0A8V1AA37 A0A8V1ABS2 A0A8V1AEW4 A0A8V1AJS6 A0A8V1AKZ9 E1C658 F1NLV4 F1NZ86 O93277 A0A1D5NV75 A0A1D5NW68 A0A8V0XJ14 A0A8V0YC02 A0A8V0YGM0 A0A8V0YZL1 A0A8V0Z8E9 A0A8V0ZS72 A0A8V1A3B4 A0A8V1A3I2 E1BW98	1.063502942306158
Cellular Component	ribonucleoprotein complex	2	GO:1990904	91	189	745	2784	1.8	7.432942173176288e-11	10.13	A0A3S5ZPN3 F1NPA9 P00356 P42558 P09244 P50890 Q5ZHZ0 A0A1D5P8H7 A0A1D5PFJ6 A0A3Q2TSP8 A0A8V0X4M9 A0A8V0YS93 F1NN16 P41125 Q6ITC7 A0A1D5NTY5 A0A1D5P1W7 A0A1D5P3B1 A0A1D5P8I3 A0A1D5PMT8 A0A1D5PS29 A0A1L1S0X5 A0A3Q2U0S7 A0A3Q2U7H6 A0A3Q3A7P6 A0A8V0X7H3 A0A8V0X895 A0A8V0XJK4 A0A8V0XRD5 A0A8V0XXX0 A0A8V0XZ63 A0A8V0Y2X7 A0A8V0Y5A6 A0A8V0Y8F5 A0A8V0YD10 A0A8V0YR80 A0A8V0YRF1 A0A8V0YU84 A0A8V0YUW3 A0A8V0YZ41 A0A8V0Z1Z1 A0A8V0Z891 A0A8V0ZCS2 A0A8V0ZE87 A0A8V0ZEB2 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZL98 A0A8V0ZNA1 A0A8V0ZUX8 A0A8V1A0R9 A0A8V1AE58 A0A8V1AHP5 A0A8V1APZ6 E1BTG1 E1C2C3 F1NAC8 F1NC02 F1NH93 F1NIX0 R4GGJ0 A0A1D5NXB3 A0A1D5P7C6 A0A3Q2U3U3 A0A8V0X2T8 A0A8V0XRE7 A0A8V0XYP5 A0A8V0YFA7 A0A8V0YGA1 A0A8V0YJ12 A0A8V0YUR4 A0A8V0YV00 A0A8V0YV66 A0A8V0Z1X8 A0A8V0Z4U8 A0A8V0Z784 A0A8V0Z7S9 A0A8V0Z8E9 A0A8V0Z8S4 A0A8V0Z9Y2 A0A8V0ZCN4 A0A8V0ZH96 A0A8V0ZNG4 A0A8V0ZQT1 A0A8V1A0C9 A0A8V1A3Y5 A0A8V1A8R2 A0A8V1A9M2 A0A8V1ABY0 A0A8V1AFZ6 E1C4N0	0.84799690655495
Cellular Component	proteasome complex	3	GO:0000502	31	44	745	2784	2.63	1.354607260313899e-09	8.87	Q7ZT63 A0A1D5NTY5 A0A1D5PJW4 A0A8V0XB52 A0A8V0XHF1 A0A8V0XRD5 A0A8V0XWA8 A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 A0A8V0ZEY1 A0A8V0ZNX9 A0A8V1A582 A0A8V1ABH8 F1NC02 F1NU79 Q5ZLI2 R4GLB3 A0A1D5NTD3 A0A1D5NXL7 A0A1L1RP66 A0A8V0X4H8 A0A8V0XY82 A0A8V0Z0G8 A0A8V0ZH96 A0A8V0ZNG1 A0A8V0ZNG4 A0A8V1AGU4 F1NR71	1.3950627995175777
Cellular Component	endopeptidase complex	4	GO:1905369	31	45	745	2784	2.57	3.260486607153256e-09	8.49	Q7ZT63 A0A1D5NTY5 A0A1D5PJW4 A0A8V0XB52 A0A8V0XHF1 A0A8V0XRD5 A0A8V0XWA8 A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 A0A8V0ZEY1 A0A8V0ZNX9 A0A8V1A582 A0A8V1ABH8 F1NC02 F1NU79 Q5ZLI2 R4GLB3 A0A1D5NTD3 A0A1D5NXL7 A0A1L1RP66 A0A8V0X4H8 A0A8V0XY82 A0A8V0Z0G8 A0A8V0ZH96 A0A8V0ZNG1 A0A8V0ZNG4 A0A8V1AGU4 F1NR71	1.3617683594191532
Cellular Component	mitochondrial membrane	4	GO:0031966	81	171	745	2784	1.77	3.4003401617052045e-09	8.47	A0A3Q2UHM4 Q5ZL72 A0A3Q2TTG3 A0A8V0Y4M6 P18944 Q5ZMJ6 A0A1D5P8I7 A0A8V0X354 A0A8V0Y492 A0A8V0YB71 A0A8V0Z310 A0A8V0ZCP8 A0A8V0ZM20 A0A8V0ZTF7 F1NEF6 P84172 Q5ZJ23 Q9YH14 A0A1D5NT61 A0A1D5NW93 A0A1D5P0U8 A0A1D5P179 A0A1D5PN54 A0A1D5PNM0 A0A1D5PQI1 A0A1D5PY21 A0A1L1RIY4 A0A3Q2U0S7 A0A8V0X535 A0A8V0XA55 A0A8V0XCD2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9K6 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YEH8 A0A8V0YFF3 A0A8V0YHD4 A0A8V0YP51 A0A8V0YWL6 A0A8V0YYM2 A0A8V0Z0Y0 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZEB2 A0A8V0ZHE8 A0A8V0ZI98 A0A8V0ZJT8 A0A8V0ZT56 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A5Y9 A0A8V1A624 A0A8V1AA37 A0A8V1AH40 E1C658 F1NCA2 F1NIL3 F1NJF9 F1NXH1 A0A3Q2UJ64 A0A8V0X4A3 A0A8V0X6I3 A0A8V0XR23 A0A8V0YNP1 A0A8V0YXU7 A0A8V0YZL1 A0A8V0ZDK9 A0A8V0ZRZ8 A0A8V0ZS72 A0A8V0ZTA0 A0A8V0ZYP9 A0A8V1A3B4 R4GGZ2	0.8237493603082727
Cellular Component	envelope	2	GO:0031975	117	278	745	2784	1.57	5.241265331297618e-09	8.28	A0A1D5NYE8 A0A1L1RKB7 A0A3Q2UHM4 A0A8V0Z1D6 P00356 P42558 Q5ZL72 A0A3Q2TTG3 A0A8V0Y4M6 F1NYI3 P09244 P13648 P18944 Q5ZMJ6 Q98953 A0A1D5P8H7 A0A1D5P8I7 A0A8V0X354 A0A8V0Y492 A0A8V0YB71 A0A8V0Z310 A0A8V0ZCP8 A0A8V0ZM20 A0A8V0ZTF7 A0A8V1AJB6 F1NEF6 P84172 Q5ZJ23 Q8QFM7 Q9YH14 A0A1D5NT61 A0A1D5NW93 A0A1D5P0U8 A0A1D5P179 A0A1D5P1W7 A0A1D5PN54 A0A1D5PNM0 A0A1D5PQI1 A0A1D5PY21 A0A1L1RIY4 A0A3Q2U0S7 A0A3Q2U596 A0A8V0X1D0 A0A8V0X535 A0A8V0X6S4 A0A8V0X7H3 A0A8V0XA55 A0A8V0XCD2 A0A8V0XJW7 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y6Y7 A0A8V0Y9K6 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YEH8 A0A8V0YFF3 A0A8V0YHD4 A0A8V0YP51 A0A8V0YRF1 A0A8V0YSB5 A0A8V0YVI8 A0A8V0YWL6 A0A8V0YYM2 A0A8V0Z0Q5 A0A8V0Z0Y0 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZEB2 A0A8V0ZHE8 A0A8V0ZI98 A0A8V0ZJT8 A0A8V0ZNT2 A0A8V0ZT56 A0A8V0ZU95 A0A8V0ZVA2 A0A8V0ZVA8 A0A8V1A4H0 A0A8V1A4N7 A0A8V1A5Y9 A0A8V1A624 A0A8V1AA37 A0A8V1AH40 E1C658 F1NCA2 F1NIL3 F1NJF9 F1NRZ6 F1NXH1 A0A1D5PMX3 A0A3Q2UJ64 A0A8V0X4A3 A0A8V0X6I3 A0A8V0XP09 A0A8V0XR23 A0A8V0Y879 A0A8V0YG12 A0A8V0YKT5 A0A8V0YNP1 A0A8V0YXU7 A0A8V0YZL1 A0A8V0Z1X8 A0A8V0Z784 A0A8V0ZDK9 A0A8V0ZRZ8 A0A8V0ZS72 A0A8V0ZTA0 A0A8V0ZYP9 A0A8V1A1U8 A0A8V1A3B4 A0A8V1AED4 R4GGZ2	0.6507645591169023
Cellular Component	organelle envelope	3	GO:0031967	117	278	745	2784	1.57	5.241265331297618e-09	8.28	A0A1D5NYE8 A0A1L1RKB7 A0A3Q2UHM4 A0A8V0Z1D6 P00356 P42558 Q5ZL72 A0A3Q2TTG3 A0A8V0Y4M6 F1NYI3 P09244 P13648 P18944 Q5ZMJ6 Q98953 A0A1D5P8H7 A0A1D5P8I7 A0A8V0X354 A0A8V0Y492 A0A8V0YB71 A0A8V0Z310 A0A8V0ZCP8 A0A8V0ZM20 A0A8V0ZTF7 A0A8V1AJB6 F1NEF6 P84172 Q5ZJ23 Q8QFM7 Q9YH14 A0A1D5NT61 A0A1D5NW93 A0A1D5P0U8 A0A1D5P179 A0A1D5P1W7 A0A1D5PN54 A0A1D5PNM0 A0A1D5PQI1 A0A1D5PY21 A0A1L1RIY4 A0A3Q2U0S7 A0A3Q2U596 A0A8V0X1D0 A0A8V0X535 A0A8V0X6S4 A0A8V0X7H3 A0A8V0XA55 A0A8V0XCD2 A0A8V0XJW7 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y6Y7 A0A8V0Y9K6 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YEH8 A0A8V0YFF3 A0A8V0YHD4 A0A8V0YP51 A0A8V0YRF1 A0A8V0YSB5 A0A8V0YVI8 A0A8V0YWL6 A0A8V0YYM2 A0A8V0Z0Q5 A0A8V0Z0Y0 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZEB2 A0A8V0ZHE8 A0A8V0ZI98 A0A8V0ZJT8 A0A8V0ZNT2 A0A8V0ZT56 A0A8V0ZU95 A0A8V0ZVA2 A0A8V0ZVA8 A0A8V1A4H0 A0A8V1A4N7 A0A8V1A5Y9 A0A8V1A624 A0A8V1AA37 A0A8V1AH40 E1C658 F1NCA2 F1NIL3 F1NJF9 F1NRZ6 F1NXH1 A0A1D5PMX3 A0A3Q2UJ64 A0A8V0X4A3 A0A8V0X6I3 A0A8V0XP09 A0A8V0XR23 A0A8V0Y879 A0A8V0YG12 A0A8V0YKT5 A0A8V0YNP1 A0A8V0YXU7 A0A8V0YZL1 A0A8V0Z1X8 A0A8V0Z784 A0A8V0ZDK9 A0A8V0ZRZ8 A0A8V0ZS72 A0A8V0ZTA0 A0A8V0ZYP9 A0A8V1A1U8 A0A8V1A3B4 A0A8V1AED4 R4GGZ2	0.6507645591169023
Cellular Component	mitochondrial envelope	4	GO:0005740	83	182	745	2784	1.7	1.7811211956062437e-08	7.75	A0A3Q2UHM4 A0A8V0Z1D6 Q5ZL72 A0A3Q2TTG3 A0A8V0Y4M6 P18944 Q5ZMJ6 A0A1D5P8I7 A0A8V0X354 A0A8V0Y492 A0A8V0YB71 A0A8V0Z310 A0A8V0ZCP8 A0A8V0ZM20 A0A8V0ZTF7 F1NEF6 P84172 Q5ZJ23 Q9YH14 A0A1D5NT61 A0A1D5NW93 A0A1D5P0U8 A0A1D5P179 A0A1D5PN54 A0A1D5PNM0 A0A1D5PQI1 A0A1D5PY21 A0A1L1RIY4 A0A3Q2U0S7 A0A8V0X535 A0A8V0XA55 A0A8V0XCD2 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9K6 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YEH8 A0A8V0YFF3 A0A8V0YHD4 A0A8V0YP51 A0A8V0YWL6 A0A8V0YYM2 A0A8V0Z0Y0 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZEB2 A0A8V0ZHE8 A0A8V0ZI98 A0A8V0ZJT8 A0A8V0ZT56 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4H0 A0A8V1A4N7 A0A8V1A5Y9 A0A8V1A624 A0A8V1AA37 A0A8V1AH40 E1C658 F1NCA2 F1NIL3 F1NJF9 F1NXH1 A0A3Q2UJ64 A0A8V0X4A3 A0A8V0X6I3 A0A8V0XR23 A0A8V0YNP1 A0A8V0YXU7 A0A8V0YZL1 A0A8V0ZDK9 A0A8V0ZRZ8 A0A8V0ZS72 A0A8V0ZTA0 A0A8V0ZYP9 A0A8V1A3B4 R4GGZ2	0.765534746362977
Cellular Component	peptidase complex	3	GO:1905368	31	49	745	2784	2.36	7.100992361043864e-08	7.15	Q7ZT63 A0A1D5NTY5 A0A1D5PJW4 A0A8V0XB52 A0A8V0XHF1 A0A8V0XRD5 A0A8V0XWA8 A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YSB5 A0A8V0Z3K2 A0A8V0ZEY1 A0A8V0ZNX9 A0A8V1A582 A0A8V1ABH8 F1NC02 F1NU79 Q5ZLI2 R4GLB3 A0A1D5NTD3 A0A1D5NXL7 A0A1L1RP66 A0A8V0X4H8 A0A8V0XY82 A0A8V0Z0G8 A0A8V0ZH96 A0A8V0ZNG1 A0A8V0ZNG4 A0A8V1AGU4 F1NR71	1.2387868595871165
Cellular Component	ribosome	5	GO:0005840	38	66	745	2784	2.15	1.1289604435616839e-07	6.95	F1NPA9 P50890 A0A8V0YS93 F1NN16 P41125 Q6ITC7 A0A1D5P3B1 A0A1D5PMT8 A0A1D5PS29 A0A1L1S0X5 A0A3Q3A7P6 A0A8V0X7H3 A0A8V0XJK4 A0A8V0XXX0 A0A8V0YR80 A0A8V0YU84 A0A8V0Z1Z1 A0A8V0Z891 A0A8V0ZCS2 A0A8V0ZE87 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZL98 A0A8V0ZNA1 A0A8V0ZUX8 A0A8V1APZ6 E1BTG1 F1NH93 F1NIX0 R4GGJ0 A0A8V0XRE7 A0A8V0YV66 A0A8V0Z4U8 A0A8V0Z8S4 A0A8V0ZCN4 A0A8V1A8R2 A0A8V1A9M2 E1C4N0	1.1043366598147355
