KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00010 Glycolysis / Gluconeogenesis,14,33,491,1633,1.41,0.12679824163126335,0.9,A0A8V1AKL9 A0A8V0ZWH3 A0A8V1ABW1 P00356 A0A8V0X6I8 E1BTT8 Q5ZLN1 A0A1D5PEH3 A0A8V0ZM20 P00337 A0A8V0ZTG8 A0A8V1AIR0 A0A8V0X9K8 A0A8V0XHN0
map00020 Citrate cycle (TCA cycle),9,22,491,1633,1.36,0.348018654980797,0.46,A0A8V0ZVS5 A0A8V0ZWH3 E1BVT3 A0A1D5P8I7 A0A1D5PEH3 A0A1D5P9I3 A0A8V0YGM0 A0A1D5PQV3 Q5F3B9
map00030 Pentose phosphate pathway,7,15,491,1633,1.55,0.16563790763530054,0.78,A0A1D5PC23 A0A8V0X6I8 A0A8V0YBE2 A0A8V0ZTG8 A0A8V1AIR0 A0A1D5NWL4 A0A8V0XHN0
map00040 Pentose and glucuronate interconversions,2,12,491,1633,0.55,0.5278061763252814,0.28,E1BVD1 A0A8V0XM79
map00051 Fructose and mannose metabolism,8,15,491,1633,1.77,0.08410481886909865,1.08,A0A8V0Z0B1 A0A1D5PD70 A0A8V0X6I8 A0A8V0ZM20 E1BVD1 A0A8V0ZTG8 A0A8V1AIR0 A0A8V0XHN0
map00052 Galactose metabolism,5,20,491,1633,0.83,0.8071827854422781,0.09,A0A8V1AMB6 A0A8V0ZM20 E1BVD1 A0A8V0ZTG8 A0A8V0XHN0
map00053 Ascorbate and aldarate metabolism,3,7,491,1633,1.43,0.43567121032138634,0.36,A0A8V1AKL9 A0A8V1ABW1 A0A8V0X9K8
map00062 Fatty acid elongation,5,11,491,1633,1.51,0.32239662011457443,0.49,A0A8V0XIM8 A0A8V0Y492 A0A8V0Z420 A0A8V0YB71 A0A8V0Z2X9
map00071 Fatty acid degradation,13,23,491,1633,1.88,0.009794411362826277,2.01,A0A8V0Y4M6 A0A8V1AKL9 A0A8V1ABW1 A0A8V0ZAL2 A0A8V0X3M7 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0XE68 A0A8V0Y8S2 A0A8V0YB71 A0A8V0YYX3 A0A8V0X9K8
map00140 Steroid hormone biosynthesis,2,4,491,1633,1.66,0.5882342892186971,0.23,A0A8V0Z420 A0A8V0ZJ84
map00190 Oxidative phosphorylation,42,76,491,1633,1.84,4.195096036218015e-06,5.38,A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A8V0Z2Y8 A0A8V0YZL1 E1C658 A0A8V1A840 R4GGZ2 A0A8V0XW68 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 A0A1D5PP57 A0A8V0Y8W7 A0A1D5P179 A0A8V0YC52 A0A8V0Z863 A0A8V0ZVA2 A0A8V1AH40 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A8V1A3B4 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V1AAC8 A0A8V0Z382 A0A8V0ZU95 F1NBW2 A0A8V0ZC01 Q9YH14 A0A8V0ZBC9 A0A1D5P0U8 A0A8V0YCL9 A0A1D5PN54 P18944 A0A8V0ZI98
map00220 Arginine biosynthesis,5,9,491,1633,1.85,0.13865974742903786,0.86,A0A1D5NT61 Q5ZJ23 A0A1L1RIY4 A0A8V0ZJT8 A0A8V0X354
map00230 Purine metabolism,10,40,491,1633,0.83,0.6010073028363785,0.22,A0A8V0ZJD3 A0A1D5PSI2 A0A3Q2UHG8 A0A8V0X675 A0A8V0XAH5 A0A1D5PZJ5 A0A8V0XTM2 A0A1D5PL45 A0A8V1AC34 A0A8V0Z310
map00240 Pyrimidine metabolism,3,20,491,1633,0.5,0.21774967769171993,0.66,A0A8V0X675 A0A8V0X6H2 A0A1D5PZJ5
"map00250 Alanine, aspartate and glutamate metabolism",6,14,491,1633,1.43,0.3787341072720359,0.42,A0A1D5NT61 Q5ZJ23 A0A1D5PXH4 A0A1L1RIY4 A0A8V0ZJT8 A0A1D5PL45
"map00260 Glycine, serine and threonine metabolism",2,4,491,1633,1.66,0.5882342892186971,0.23,Q5ZLN1 A0A8V0X9K8
map00261 Monobactam biosynthesis,2,2,491,1633,3.33,0.09027577656905159,1.04,A0A8V0ZJD3 A0A8V0XTM2
map00270 Cysteine and methionine metabolism,11,24,491,1633,1.52,0.11449596890157948,0.94,F1NDP5 A0A8V0XYL0 A0A8V0XM35 E1BVT3 E1BTT8 A0A8V0ZV32 A0A1D5NY06 P00337 A0A8V0ZJT8 A0A8V1A1S6 A0A8V0YKJ7
"map00280 Valine, leucine and isoleucine degradation",14,28,491,1633,1.66,0.03497927056870765,1.46,A0A8V1AKL9 A0A8V1ABW1 A0A8V0X3M7 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0ZTF7 A0A8V0XE68 A0A8V0XVT5 A0A8V0X2T8 Q5F3M8 A0A8V0YB71 A0A8V0X9K8 A0A8V0YKJ7
map00310 Lysine degradation,7,16,491,1633,1.46,0.27307493699973495,0.56,A0A8V1AKL9 A0A8V1ABW1 A0A8V0XIM8 A0A8V0Y492 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8
map00330 Arginine and proline metabolism,7,16,491,1633,1.46,0.27307493699973495,0.56,A0A8V1AKL9 A0A8V1ABW1 A0A1D5NY06 A0A8V0ZJT8 A0A8V0X354 A0A8V0X9K8 P05122
map00340 Histidine metabolism,3,8,491,1633,1.25,0.7033207514491815,0.15,A0A8V1AKL9 A0A8V1ABW1 A0A8V0X9K8
map00380 Tryptophan metabolism,7,15,491,1633,1.55,0.16563790763530054,0.78,A0A8V1AKL9 A0A8V1ABW1 A0A8V0XIM8 A0A8V0Y492 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8
map00410 beta-Alanine metabolism,6,13,491,1633,1.54,0.2282180187918729,0.64,A0A8V1AKL9 A0A8V1ABW1 A0A8V0Y492 A0A8V0ZT56 A0A8V0XVT5 A0A8V0X9K8
map00450 Selenocompound metabolism,3,7,491,1633,1.43,0.43567121032138634,0.36,A0A8V0ZJD3 A0A8V0XTM2 A0A8V0ZHY3
map00480 Glutathione metabolism,8,29,491,1633,0.92,0.8411387155340326,0.08,A0A8V0XX21 A0A8V0YU69 A0A1D5P8I7 A0A8V0ZV32 A0A1D5NY06 A0A8V0YEN4 A0A8V1A0C2 O57579
map00500 Starch and sucrose metabolism,3,11,491,1633,0.91,1.0,-0.0,A0A8V0ZAI6 E1BSN7 A0A8V0ZM20
map00510 N-Glycan biosynthesis,4,27,491,1633,0.49,0.09212823134545953,1.04,A0A8V0ZI24 O13113 A0A8V1A8C9 A0A8V0ZHZ7
map00513 Various types of N-glycan biosynthesis,4,25,491,1633,0.53,0.18507146426074306,0.73,A0A8V0ZI24 O13113 A0A8V1A8C9 A0A8V0ZHZ7
map00520 Amino sugar and nucleotide sugar metabolism,8,23,491,1633,1.16,0.6488852536992774,0.19,A0A8V0Z0B1 A0A1D5PD70 Q5ZMH8 A0A8V0YA67 A0A8V1AMB6 A0A1D5PXH4 A0A8V0ZM20 A0A8V0YHD4
map00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,2,16,491,1633,0.42,0.17148611935280259,0.77,A0A8V0Y664 A0A8V0YBC7
map00561 Glycerolipid metabolism,6,15,491,1633,1.33,0.404185854887423,0.39,A0A8V1AKL9 A0A8V1ABW1 A0A8V0X9K8 A0A1D5PK92 E1BVD1 A0A8V0ZZL0
map00562 Inositol phosphate metabolism,5,18,491,1633,0.92,1.0,-0.0,A0A8V0ZUI9 A0A8V1A5Y9 A0A1D5PHE2 A0A8V1ACH5 A0A8V0XVT5
map00564 Glycerophospholipid metabolism,3,14,491,1633,0.71,0.5725976641526642,0.24,F1NCA2 A0A8V0X548 A0A8V0ZZL0
map00565 Ether lipid metabolism,2,13,491,1633,0.51,0.3658424544388503,0.44,A0A8V1AJB6 A0A1D5PMU2
map00590 Arachidonic acid metabolism,2,17,491,1633,0.39,0.11550677701409573,0.94,Q8QFM7 A0A3Q2U7H6
map00620 Pyruvate metabolism,10,21,491,1633,1.58,0.09326046943246262,1.03,A0A8V1AKL9 A0A8V0ZWH3 A0A8V1ABW1 E1BVT3 E1BTT8 A0A1D5PEH3 P00337 A0A8V0XE68 A0A1L1RZK1 A0A8V0X9K8
map00630 Glyoxylate and dicarboxylate metabolism,4,11,491,1633,1.21,0.7426416727135398,0.13,E1BVT3 A0A8V0ZVS5 A0A8V0YGM0 A0A8V0XE68
map00640 Propanoate metabolism,6,15,491,1633,1.33,0.404185854887423,0.39,E1BTT8 A0A8V0Y492 A0A8V0ZT56 P00337 Q5F3B9 A0A8V0XVT5
