KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00010 Glycolysis / Gluconeogenesis,13,33,342,1633,1.88,0.015236739242677683,1.82,A0A8V0ZCN9 A0A8V0ZWH3 A0A8V1ABW1 P00356 A0A8V0X6I8 E1BTT8 Q5ZLN1 A0A8V0ZM20 A0A8V1A4P2 A0A8V0Z0S2 A0A8V1AIR0 A0A1L1RQ91 A0A8V0X9K8
map00020 Citrate cycle (TCA cycle),4,22,342,1633,0.87,1.0,-0.0,A0A8V0ZWH3 A0A1D5PQV3 A0A8V0ZPJ9 A0A8V0YGM0
map00030 Pentose phosphate pathway,6,15,342,1633,1.91,0.10203415044676631,0.99,A0A8V0X6I8 A0A8V0YZ27 A0A8V1A4P2 A0A8V1AIR0 A0A1L1RQ91 A0A1D5NWL4
map00040 Pentose and glucuronate interconversions,4,12,342,1633,1.59,0.2894312046756582,0.54,A0A8V0XMD4 E1BVD1 A0A8V0YRQ5 A0A8V0XM79
map00051 Fructose and mannose metabolism,6,15,342,1633,1.91,0.10203415044676631,0.99,A0A8V0YRQ5 A0A8V0X6I8 A0A8V0ZM20 E1BVD1 A0A8V1AIR0 A0A8V0XUH8
map00052 Galactose metabolism,4,20,342,1633,0.95,1.0,-0.0,E1BVD1 A0A8V0YRQ5 A0A8V1A4P2 A0A8V0ZM20
map00053 Ascorbate and aldarate metabolism,2,7,342,1633,1.36,0.6416417128600493,0.19,A0A8V1ABW1 A0A8V0X9K8
map00062 Fatty acid elongation,5,11,342,1633,2.17,0.05945655911207534,1.23,A0A8V0XIM8 A0A8V0Y492 A0A8V0Z420 A0A8V0YB71 A0A8V0Z2X9
map00071 Fatty acid degradation,9,23,342,1633,1.87,0.03926929471608178,1.41,A0A8V0YB71 A0A8V0ZAL2 A0A8V1ABW1 A0A8V0XH76 A0A8V0Y492 A0A8V0XIM8 A0A8V0XE68 A0A8V0YYX3 A0A8V0X9K8
map00190 Oxidative phosphorylation,24,76,342,1633,1.51,0.029120920128962408,1.54,A0A3Q2UJ64 A0A8V0Z6U6 A0A8V0Z2Y8 E1C658 A0A8V1A840 A0A8V1A4N7 A0A1D5PP57 A0A8V0Y8W7 A0A8V0YC52 A0A8V0Z863 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A8V1A3B4 A0A8V1A624 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z382 A0A8V0Z5I7 A0A8V0ZC01 Q9YH14 A0A8V0Y6Z6 P18944 A0A8V0ZI98
map00220 Arginine biosynthesis,2,9,342,1633,1.06,1.0,-0.0,A0A8V0ZJT8 A0A8V0X354
