Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00004 ATPase family associated with various cellular activities (AAA),2,18,426,2004,0.52,0.39380809152767493,0.4,A0A8V0Y9B4 F1NU79
"PF00006 ATP synthase alpha/beta family, nucleotide-binding domain",3,7,426,2004,2.02,0.16999594917181046,0.77,A0A8V1A624 A0A1D5PP57 A0A8V0Z6U6
PF00008 EGF-like domain,3,30,426,2004,0.47,0.1758855106893658,0.75,A0A8V0YID0 A0A8V0YVP9 P25155
PF00009 Elongation factor Tu GTP binding domain,2,6,426,2004,1.57,0.6134475564681955,0.21,A0A1D5PYQ3 P84172
PF00017 SH2 domain,2,20,426,2004,0.47,0.2803555915330025,0.55,A0A3Q3ACS4 A0A8V0XHT1
PF00018 SH3 domain,5,27,426,2004,0.87,1.0,-0.0,Q8AXV0 A0A8V0XHT1 A0A3Q2TSS2 A0A8V0XPM1 A0A3Q2TZS5
PF00019 Transforming growth factor beta like domain,2,12,426,2004,0.78,1.0,-0.0,A0A8V0YSE9 A0A8V1AF44
PF00025 ADP-ribosylation factor family,5,11,426,2004,2.14,0.06303765986642469,1.2,Q5ZKR9 A0A8V0Z193 A0A1D5PWK2 A0A8V1A1Y4 F1NN08
PF00028 Cadherin domain,4,21,426,2004,0.9,1.0,-0.0,A0A3Q2UGT3 A0A8V0Y103 A0A8V0X381 A0A8V0Y4T8
PF00036 EF hand,2,4,426,2004,2.35,0.20026428064504764,0.7,P24479 A0A3Q3B0H3
PF00041 Fibronectin type III domain,8,49,426,2004,0.77,0.48119454435299713,0.32,A0A8V0Z7E5 A0A8V0XX41 A0A8V0Y828 A0A8V0ZH14 Q8AV58 Q03696 A0A8V0Z153 A0A8V1A3I2
PF00042 Globin,4,5,426,2004,3.76,0.008392482875025494,2.08,P01994 A0A8V0XF06 A0A8V0XM21 A0A8V0Z399
PF00047 Immunoglobulin domain,2,6,426,2004,1.57,0.6134475564681955,0.21,Q03696 A0A8V0YYZ7
PF00050 Kazal-type serine protease inhibitor domain,3,8,426,2004,1.76,0.37834019058250923,0.42,A0A8V0YPM0 P10184 A0A8V0YW85
PF00054 Laminin G domain,2,13,426,2004,0.72,1.0,-0.0,A0A8V0YVP9 A0A8V0XIV7
PF00061 Lipocalin / cytosolic fatty-acid binding protein family,3,7,426,2004,2.02,0.16999594917181046,0.77,A0A8V0ZWM8 Q8QFM7 A0A1D5NW85
PF00063 Myosin head (motor domain),3,13,426,2004,1.09,0.7452184141351796,0.13,A0A8V1AHP5 A0A8V0YDF1 A0A1D5PM19
PF00069 Protein kinase domain,10,51,426,2004,0.92,0.8637032587707891,0.06,A0A1L1RWI9 A0A8V1AFS4 A0A8V0YTC2 A0A8V0X8M0 A0A8V0Y9D6 E1BS97 A0A1L1RPJ2 A0A8V0XKR3 A0A8V0XBS7 A0A8V0Z153
PF00071 Ras family,14,47,426,2004,1.4,0.1507467449018943,0.82,A0A8V0ZEG2 A0A1D5P1T0 A0A1D5PME6 A0A8V0XNL0 Q1KME6 P42558 A0A8V1AE09 P08642 A0A1D5NWR3 A0A8V1A229 A0A1D5P3W0 Q5ZIP7 Q98932 Q5ZLG1
