GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Molecular Function	extracellular matrix structural constituent	2	GO:0005201	12	37	232	2477	3.46	7.612049281510629e-05	4.12	P33005 A0A8V0Y357 A0A8V0YDD6 A0A8V0YDT4 A0A8V0ZBR8 A0A8V0ZGF6 A0A8V1AFR2 A0A8V0XXK8 A0A8V0Y0F3 A0A8V0Y290 A0A8V0YG24 A0A8V0ZD24	1.790772037862
Molecular Function	cell adhesion molecule binding	3	GO:0050839	23	112	232	2477	2.19	0.000188735466306727	3.72	A0A1D5NTR5 A0A1I7Q3Z0 A0A8V0XCW4 A0A8V0XMI5 A0A8V0Y699 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YDU6 A0A8V0ZE58 A0A8V0ZUU4 A0A8V0ZZZ5 A0A8V1ABC9 E1C0K5 A0A1D5PBZ8 A0A3Q2UGW3 A0A8V0X7P4 A0A8V0XYK6 A0A8V0Y0F3 A0A8V0Y0X2 A0A8V0Y290 A0A8V0ZDW7 A0A8V1A0B4	1.1309308698264486
Molecular Function	signaling receptor binding	3	GO:0005102	58	402	232	2477	1.54	0.0003419079418141047	3.47	P02460 Q98938 A0A1D5PZ68 A0A8V1ABA3 A0A1D5P0D7 A0A8V0X4D8 A0A8V0YLZ8 A0A8V1A9R2 A0A1D5NTR5 A0A1D5P480 A0A1D5P6T3 A0A1I7Q3Z0 A0A8V0XCW4 A0A8V0XMI5 A0A8V0Y4Q2 A0A8V0Y699 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YFT7 A0A8V0YHF3 A0A8V0YRG2 A0A8V0Z8V4 A0A8V0ZE58 A0A8V0ZKI8 A0A8V0ZSN8 A0A8V0ZZZ5 A0A8V1A7R0 A0A8V1ABC9 A0A8V1ACD6 A0A8V1ADF6 A0A8V1AG56 E1C0K5 E1C733 P01875 A0A3Q2TU24 A0A3Q2UGW3 A0A8V0X7P4 A0A8V0XEJ0 A0A8V0XW00 A0A8V0XWF0 A0A8V0Y0F3 A0A8V0Y290 A0A8V0Y8I0 A0A8V0Y8Q2 A0A8V0YRN1 A0A8V0YUF6 A0A8V0YWI5 A0A8V0YY90 A0A8V0Z8N6 A0A8V0ZDW7 A0A8V0ZE30 A0A8V0ZEJ3 A0A8V1A3H7 A0A8V1A3H9 A0A8V1ACV0 A0A8V1AFP7	0.6229303509201767
Molecular Function	CCR chemokine receptor binding	6	GO:0048020	3	3	232	2477	10.68	0.0008120372477923448	3.09	A0A8V0YFT7 A0A8V1A7R0 E1C733	3.4168397419128294
Molecular Function	transmembrane signaling receptor activity	3	GO:0004888	20	102	232	2477	2.09	0.0013131347565820174	2.88	K9JA28 A0A8V1A3N1 A0A1D5P6T3 A0A1D5PXI1 A0A1L4FLS3 A0A8V0XPE8 A0A8V0YDT5 A0A8V0YRG2 A0A8V0ZKI8 A0A8V0ZUU4 A0A1D5PBZ8 A0A1D5PDV9 A0A8V0XUJ8 A0A8V0XW00 A0A8V0XXZ4 A0A8V0Y652 A0A8V0Y8Q2 A0A8V0YF36 A0A8V0ZRV9 A0A8V1ACV0	1.063502942306158
Molecular Function	collagen binding	3	GO:0005518	10	40	232	2477	2.67	0.0029004743511963815	2.54	A0A1L1RX77 A0A8V0Y070 A0A8V0Y357 A0A8V0YDD6 A0A8V0ZBR8 A0A1D5PT01 A0A3Q2TU24 A0A8V0XXK8 A0A8V0YG24 A0A8V0ZRV9	1.4168397419128294
Molecular Function	histone kinase activity	4	GO:0035173	3	4	232	2477	8.01	0.0030226560286711595	2.52	A0A8V1A9R2 A0A8V0ZSN8 A0A8V1ABC9	3.0018022426339854
Molecular Function	insulin-like growth factor binding	4	GO:0005520	4	9	232	2477	4.75	0.00647234760971826	2.19	A0A1D5P480 A0A1D5P6T3 A0A8V0XUJ8 A0A8V0Z6E4	2.2479275134435857
Molecular Function	proteoglycan binding	3	GO:0043394	7	26	232	2477	2.87	0.00803642996778284	2.09	P33005 A0A8V0Y357 A0A8V0YDT5 A0A8V0Z8V4 A0A1I7Q421 A0A8V0X7P4 A0A8V1AAN6	1.5210507369009632
Molecular Function	protein tyrosine kinase activity	4	GO:0004713	9	39	232	2477	2.46	0.008210761187288702	2.09	A0A8V1A3N1 A0A8V1A9R2 A0A1D5P6T3 A0A1I7Q3Z0 A0A8V0YRG2 A0A8V0ZSN8 A0A1D5PT01 A0A8V0XXZ4 A0A8V0Z189	1.298658315564515
