GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,intracellular anatomical structure,2,GO:0005622,200,2485,257,2784,0.87,1.779215307937504e-08,7.75,A0A8V0ZBM0 A0A8V1A9L3 F1NBR3 A0A8V0ZRZ8 A0A8V1ABA3 A0A8V1AEJ4 A0A8V0XEP8 A0A8V0Z4R1 A0A8V0ZAP5 A0A1D5NTR5 A0A8V0YGN2 A0A8V0YDT5 A0A3Q2UHS2 R4GGQ4 P15120 A0A1D5PBZ8 A0A8V0YQU2 A0A8V0ZEJ3 A0A8V1ACV0 A0A8V0ZSC5 A0A8V0YTK5 A0A1D5P480 A0A8V0XXW6 A0A1L1RX77 A0A8V0XPE8 A0A8V0YW57 Q5ZJ73 A0A8V0X7J6 A0A8V1A7R0 E1C0K5 A0A8V0Y3L3 A0A8V0Z0B9 A0A8V0Y4Q2 A0A8V1A3N1 A0A8V0Y579 A0A8V0X7P4 A0A8V0Z086 A0A8V0Y9F8 A0A8V0XE48 A0A8V0Y699 A0A1L1S0X5 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0XXK8 A0A8V0Y2G8 Q92182 A0A8V0ZJD3 F1NGB8 A0A8V0ZJ97 A0A3Q2TU24 A0A8V0XM98 A0A8V0ZSN8 A0A8V0ZUA4 A0A8V0ZTR7 A0A8V1A9R2 A0A1D5PSI3 Q9W6H0 A0A8V1A7Y9 A0A8V0XMV0 P28687 A0A1D5NYA8 A0A8V1AG56 E1C744 A0A8V0Z6E4 A0A8V0ZAP0 A0A8V0XXM5 A0A8V0XMI5 A0A8V0YC89 A0A8V0ZUU4 A0A8V0XH99 A0A8V1A0B4 A0A1I7Q3Z0 A0A8V0ZH96 A0A1D5PXI1 P02460 A0A8V0YUF6 A0A8V0X637 F1NTQ2 E1C3Z8 A0A3Q2TTB3 A0A8V0ZP32 Q5ZHQ2 A0A1D5PEW1 A0A8V0ZXC9 A0A8V0YRF2 E1C2T4 A0A8V1A6B5 A0A8V0X1T3 A0A8V0YLZ5 A0A8V0X7D0 A0A8V0ZZZ5 A0A8V0XA92 Q0PVE4 A0A8V0ZE58 A0A8V0YZJ3 A0A8V0XPN5 Q5ZJW4 Q00649 A0A8V0YSF6 A0A8V1ABC9 A0A8V0XKW4 A0A8V0ZRP2 A0A8V0ZE30 A0A8V0Y4M6 A0A1D5PBU5 Q05744 A0A8V1AFR2 A0A1D5P201 P26652 A0A8V1AJI2 A0A8V0YC20 A0A8V0YBE2 A0A8V0YRG2 A0A8V0X4D8 A0A8V0XBD4 A0A8V1A803 A0A8V0YBZ6 A0A8V0Y0X2 A0A8V0ZHL4 A0A8V0ZIF0 A0A8V0Y9B0 A0A1L1RP76 A0A8V0YG88 A0A8V0YC98 A0A8V0YVI8 A0A8V0XYK6 A0A1D5P6Q1 A0A8V0YFT7 A0A8V0XCD2 A0A8V0ZSG8 A0A8V0YK18 A0A8V0X535 A0A8V1A8R2 A0A8V1ADS4 A0A8V0ZSX6 A0A8V0ZI47 A0A8V0ZYC3 A0A1D5P8I8 A0A8V0YRN1 A0A8V0ZY91 A0A8V0ZY42 A0A8V1A6Z0 A0A8V0YPB9 A0A8V0Z865 A0A8V1ALI6 A0A1D5PLP1 A0A8V0ZY56 A0A8V0YHF3 A0A8V0ZKI8 A0A1D5PGC2 A0A8V0Z3U6 A0A8V0YQC4 A0A8V0YLZ8 A0A8V0YDL8 A0A8V1A8L5 Q98938 A0A8V0YDU6 A0A8V1ACH5 A0A8V0ZSD7 A0A8V0ZFG7 Q6ITC7 F1NNN0 A0A8V0ZTC0 A0A8V1AEM5 A0A8V0ZEC1 A0A8V0YMR1 A0A8V0ZYI9 A0A8V1A3H9 A0A1D5P6T3 F1NXR0 A0A1I7Q421 A0A8V0YLX0 A0A8V0YQ88 A0A8V1AAN6 A0A8V0XM02 A0A8V0XZH4 A0A8V0WZN3 A0A8V0XWD4 A0A8V0YGQ5 A0A8V0YLI1 A0A8V0ZCF7 A0A8V0YVB6 A0A8V0X9L0 A0A8V0YIC3 A0A1D5P692 A0A8V0Z189 A0A1L4FLS3 A0A8V0ZJJ7 A0A8V0YHL1 A0A8V0Z8N6 A0A8V1AEJ0 A0A8V0ZDW7 A0A1D5NT61 A0A8V1A3S8 A0A8V0Z9Z7 A0A1D5PMN7 A0A8V0Z938 A0A8V0YDD6 A0A1L1RKY9 A0A8V0YWM3
Cellular Component,extracellular region,2,GO:0005576,109,783,257,2784,1.51,2.739226739731767e-07,6.56,F1NBR3 A0A8V1ABA3 A0A8V0ZAP5 A0A1D5NTR5 A0A8V0XEJ0 P15120 A0A8V1ACV0 A0A8V0Z8V4 A0A8V0ZSC5 A0A1D5P480 A0A1L1RX77 A0A8V0XPE8 Q5ZJ73 A0A8V1ACD6 A0A8V1A3H7 E1C0K5 A0A8V0Y3L3 A0A8V0Y4Q2 A0A8V0ZZD4 A0A8V0X7P4 A0A8V0Z086 A0A8V0Y9F8 A0A8V0YY90 A0A8V0Y699 A0A8V0XXK8 Q92182 A0A3Q2TU24 A0A8V1AHP7 A0A8V0YIR4 A0A8V0Y070 A0A8V0Y357 Q9W6H0 A0A8V1AG56 A0A8V0Z6E4 A0A8V0XXM5 A0A8V0XMI5 A0A8V0XDR8 A0A8V0YC89 A0A8V0XH99 A0A8V0ZH96 P02460 A0A8V0Y0F3 A0A8V0YUF6 A0A8V0X637 F1NTQ2 A0A1D5NZ82 A0A8V0XCW4 A0A8V0ZP32 A0A8V0ZXC9 A0A8V0XS21 A0A1D5P0D7 A0A8V0ZZZ5 A0A8V0ZE58 A0A8V0YZJ3 A0A8V0YSF6 A0A8V1ADF6 A0A8V0YWI5 Q05744 A0A8V1AFR2 P26652 A0A8V0YBE2 P33005 A0A8V0YRG2 A0A8V0X4D8 A0A8V0XBD4 A0A8V0ZBR8 A0A8V1AFP7 A0A8V0Y0X2 A0A8V0ZIF0 A0A8V0ZHX5 E1C733 A0A1D5P8I8 A0A8V0YRN1 A0A8V0ZY42 A0A8V1A6Z0 A0A8V0YPB9 A0A8V0ZGF6 A0A8V0Y8I0 A0A8V0XXZ4 A0A8V0ZF83 A0A8V0ZKI8 A0A8V0YDT4 A0A8V0YG24 A0A8V0YDL8 A0A8V0YLZ8 P01875 A0A8V1A8L5 Q98938 A0A8V0Y290 A0A8V1AAN6 A0A8V1A3H9 A0A1D5P6T3 A0A1I7Q421 A0A8V0YLX0 A0A8V0YQ88 A0A8V1A8N2 A0A8V0XWD4 A0A8V0ZCF7 A0A8V0YVB6 A0A8V0X9L0 A0A8V0Z189 A0A8V0YE20 A0A3Q2TT95 A0A8V0ZJJ7 A0A8V0Z8N6 A0A8V1AEJ0 A0A8V0YDD6 A0A1D5PZ68 A0A8V0YHS1
Cellular Component,extracellular matrix,3,GO:0031012,37,174,257,2784,2.3,5.024235096380338e-07,6.3,A0A8V1AG56 A0A8V0YLZ8 Q98938 A0A8V0ZBR8 A0A8V0XDR8 A0A1D5NTR5 A0A8V0ZAP5 A0A8V0Y290 A0A8V1AAN6 P02460 A0A8V0Y0F3 A0A8V0ZHX5 A0A1D5NZ82 A0A1L1RX77 A0A8V0XCW4 A0A8V0XPE8 A0A8V0ZCF7 A0A8V0YVB6 A0A8V0XS21 A0A8V0Y3L3 A0A1D5P8I8 A0A8V0YE20 A0A8V0ZE58 A0A3Q2TT95 A0A8V0Y9F8 A0A8V0ZGF6 A0A8V0Y699 A0A8V1AEJ0 A0A8V0XXK8 A0A8V0YDT4 A0A8V1AFR2 A0A8V0YIR4 P26652 A0A8V0Y357 A0A8V0YDD6 A0A8V0YG24 P33005
Cellular Component,cytosol,2,GO:0005829,71,1135,257,2784,0.68,5.3048182904132865e-06,5.28,A0A8V1A9L3 A0A8V0XBD4 A0A8V1A803 A0A8V0YBZ6 A0A8V0ZAP0 A0A8V1AEJ4 A0A8V0XMI5 A0A8V0Z4R1 A0A8V1ACH5 A0A8V1A8L5 A0A3Q2UHS2 A0A8V0ZFG7 Q6ITC7 F1NNN0 A0A8V1A0B4 A0A1I7Q3Z0 A0A8V0ZEJ3 A0A8V0ZEC1 A0A8V0ZH96 A0A8V0XYK6 A0A8V0ZYI9 A0A1D5P6T3 A0A8V0YFT7 A0A8V0YTK5 A0A8V0ZSG8 A0A8V0XM02 E1C3Z8 A0A8V1A8R2 A0A1D5PEW1 A0A8V0YGQ5 A0A8V1ADS4 A0A8V0ZSX6 A0A8V0X7J6 A0A8V0YRF2 A0A8V1A6B5 A0A8V1A7R0 A0A8V0X9L0 A0A8V0YIC3 A0A8V0ZZZ5 Q0PVE4 A0A1D5P692 A0A8V0X7P4 A0A8V0XPN5 A0A8V0ZY42 A0A8V1A6Z0 A0A8V0Y9F8 Q00649 A0A8V0XE48 A0A8V0Y699 A0A8V1ABC9 A0A1L1S0X5 A0A8V0YXI7 A0A8V0ZRP2 A0A8V0XKW4 A0A8V0ZY56 A0A8V0ZJD3 A0A8V0ZTR7 A0A1D5PBU5 A0A8V0ZSN8 A0A8V1A9R2 A0A8V0Z9Z7 A0A1D5PSI3 A0A1D5PMN7 A0A8V0YC20 A0A8V0YBE2 A0A8V0YQC4 A0A1L1RKY9 A0A8V1A7Y9 A0A8V0YRG2 A0A1D5NYA8 A0A8V0YWM3
Cellular Component,microtubule cytoskeleton,6,GO:0015630,9,305,257,2784,0.32,1.2833580968916727e-05,4.89,A0A8V0XBD4 A0A1D5PBU5 A0A8V0XZH4 A0A8V0Z3U6 A0A8V0Z9Z7 A0A8V1AEJ4 A0A8V0XE48 A0A8V0ZYC3 A0A8V0Y2G8
Cellular Component,cytoplasm,2,GO:0005737,190,2339,257,2784,0.88,1.4746525194531972e-05,4.83,A0A8V0ZBM0 A0A8V1A9L3 F1NBR3 A0A8V0ZRZ8 A0A8V1ABA3 A0A8V1AEJ4 A0A8V0XEP8 A0A8V0Z4R1 A0A8V0ZAP5 A0A1D5NTR5 A0A8V0YGN2 A0A8V0YDT5 A0A3Q2UHS2 R4GGQ4 P15120 A0A1D5PBZ8 A0A8V0YQU2 A0A8V0ZEJ3 A0A8V1ACV0 A0A8V0ZSC5 A0A8V0YTK5 A0A1D5P480 A0A1L1RX77 A0A8V0XPE8 Q5ZJ73 A0A8V0X7J6 A0A8V1A7R0 E1C0K5 A0A8V0Y3L3 A0A8V0Z0B9 A0A8V0Y4Q2 A0A8V1A3N1 A0A8V0Y579 A0A8V0X7P4 A0A8V0Z086 A0A8V0Y9F8 A0A8V0XE48 A0A8V0Y699 A0A1L1S0X5 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0XXK8 A0A8V0Y2G8 Q92182 A0A8V0ZJD3 F1NGB8 A0A8V0ZJ97 A0A3Q2TU24 A0A8V0XM98 A0A8V0ZSN8 A0A8V0ZUA4 A0A8V0ZTR7 A0A8V1A9R2 A0A1D5PSI3 Q9W6H0 A0A8V1A7Y9 A0A8V0XMV0 P28687 A0A1D5NYA8 A0A8V1AG56 E1C744 A0A8V0ZAP0 A0A8V0XXM5 A0A8V0XMI5 A0A8V0YC89 A0A8V0ZUU4 A0A8V0XH99 A0A8V1A0B4 A0A1I7Q3Z0 A0A8V0ZH96 A0A1D5PXI1 P02460 A0A8V0YUF6 A0A8V0X637 F1NTQ2 E1C3Z8 A0A3Q2TTB3 A0A8V0ZP32 Q5ZHQ2 A0A1D5PEW1 A0A8V0ZXC9 A0A8V0YRF2 E1C2T4 A0A8V1A6B5 A0A8V0YLZ5 A0A8V0X7D0 A0A8V0ZZZ5 A0A8V0XA92 Q0PVE4 A0A8V0ZE58 A0A8V0YZJ3 A0A8V0XPN5 Q5ZJW4 Q00649 A0A8V0YSF6 A0A8V1ABC9 A0A8V0XKW4 A0A8V0ZRP2 A0A8V0ZE30 A0A8V0Y4M6 A0A1D5PBU5 Q05744 A0A8V1AFR2 A0A1D5P201 P26652 A0A8V1AJI2 A0A8V0YC20 A0A8V0YBE2 A0A8V0YRG2 A0A8V0X4D8 A0A8V0XBD4 A0A8V1A803 A0A8V0YBZ6 A0A8V0Y0X2 A0A8V0ZHL4 A0A8V0ZIF0 A0A8V0Y9B0 A0A8V0YG88 A0A8V0YC98 A0A8V0YVI8 A0A8V0XYK6 A0A1D5P6Q1 A0A8V0YFT7 A0A8V0XCD2 A0A8V0ZSG8 A0A8V0X535 A0A8V1A8R2 A0A8V1ADS4 A0A8V0ZSX6 A0A8V0ZI47 A0A1D5P8I8 A0A8V0ZY91 A0A8V0ZY42 A0A8V1A6Z0 A0A8V0YPB9 A0A8V0Z865 A0A8V1ALI6 A0A1D5PLP1 A0A8V0ZY56 A0A8V0YHF3 A0A8V0ZKI8 A0A1D5PGC2 A0A8V0Z3U6 A0A8V0YQC4 A0A8V0YLZ8 A0A8V0YDL8 A0A8V1A8L5 Q98938 A0A8V0YDU6 A0A8V1ACH5 A0A8V0ZSD7 A0A8V0ZFG7 Q6ITC7 F1NNN0 A0A8V0ZTC0 A0A8V0YMR1 A0A8V0ZEC1 A0A8V0ZYI9 A0A8V1A3H9 A0A8V1AAN6 A0A1D5P6T3 F1NXR0 A0A1I7Q421 A0A8V0YLX0 A0A8V0YQ88 A0A8V0XM02 A0A8V0XZH4 A0A8V0WZN3 A0A8V0XWD4 A0A8V0YGQ5 A0A8V0YLI1 A0A8V0ZCF7 A0A8V0YVB6 A0A8V0X9L0 A0A8V0YIC3 A0A1D5P692 A0A8V0Z189 A0A1L4FLS3 A0A8V0ZJJ7 A0A8V0YHL1 A0A8V0Z8N6 A0A8V0ZDW7 A0A1D5NT61 A0A8V1A3S8 A0A8V0Z9Z7 A0A1D5PMN7 A0A8V0Z938 A0A8V0YDD6 A0A1L1RKY9 A0A8V0YWM3
Cellular Component,lysosomal lumen,6,GO:0043202,16,64,257,2784,2.71,0.0001457961407464544,3.84,Q05744 A0A8V1ABA3 A0A8V0X637 A0A8V0XXM5 F1NTQ2 A0A8V0XEP8 A0A8V0YZJ3 A0A8V0YC89 A0A1L1RX77 A0A8V0ZSD7 A0A8V0Z086 A0A8V0XH99 A0A8V0YSF6 Q9W6H0 A0A8V1ALI6 A0A8V0ZIF0
Cellular Component,organelle,2,GO:0043226,186,2262,257,2784,0.89,0.0002844067721615305,3.55,A0A8V0ZBM0 A0A8V1A9L3 F1NBR3 A0A8V0ZRZ8 A0A8V1ABA3 A0A8V1AEJ4 A0A8V0XEP8 A0A1D5NTR5 A0A8V0YGN2 A0A8V0YDT5 A0A3Q2UHS2 R4GGQ4 P15120 A0A1D5PBZ8 A0A8V0YQU2 A0A8V0ZEJ3 A0A8V1ACV0 A0A8V0ZSC5 A0A8V0YTK5 A0A1D5P480 A0A8V0XXW6 A0A1L1RX77 A0A8V0XPE8 A0A8V0YW57 Q5ZJ73 A0A8V0X7J6 A0A8V1A7R0 E1C0K5 A0A8V0Y3L3 A0A8V0Z0B9 A0A8V0Y4Q2 A0A8V1A3N1 A0A8V0Y579 A0A8V0X7P4 A0A8V0Z086 A0A8V0Y9F8 A0A8V0XE48 A0A8V0Y699 A0A1L1S0X5 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0XXK8 A0A8V0Y2G8 Q92182 A0A8V0ZJD3 F1NGB8 A0A8V0ZJ97 A0A3Q2TU24 A0A8V0XM98 A0A8V0ZSN8 A0A8V0ZUA4 A0A8V0ZTR7 A0A8V1A9R2 A0A1D5PSI3 Q9W6H0 A0A8V0XMV0 P28687 A0A8V1AG56 E1C744 A0A8V0Z6E4 A0A8V0ZAP0 A0A8V0XXM5 A0A8V0XMI5 A0A8V0YC89 A0A8V0XH99 A0A8V1A0B4 A0A1I7Q3Z0 A0A8V0ZH96 A0A1D5PXI1 P02460 A0A8V0YUF6 A0A8V0X637 F1NTQ2 E1C3Z8 A0A3Q2TTB3 A0A8V0XCW4 A0A8V0ZP32 A0A8V0ZXC9 A0A8V0YRF2 E1C2T4 A0A8V0X1T3 A0A8V0YLZ5 A0A8V0X7D0 A0A8V0ZZZ5 A0A8V0XA92 Q0PVE4 A0A8V0ZE58 A0A8V0YZJ3 A0A8V0XPN5 Q5ZJW4 Q00649 A0A8V0YSF6 A0A8V1ABC9 A0A8V0XKW4 A0A8V0ZRP2 A0A8V0ZE30 A0A8V0Y4M6 A0A1D5PBU5 Q05744 A0A8V1AFR2 A0A1D5P201 P26652 A0A8V1AJI2 A0A8V0YBE2 A0A8V0YRG2 A0A8V0X4D8 A0A8V0XBD4 A0A8V1A803 A0A8V0Y0X2 A0A8V0ZHL4 A0A8V0ZIF0 A0A8V0Y9B0 A0A1L1RP76 A0A8V0YG88 A0A8V0YC98 A0A8V0YVI8 A0A8V0XYK6 A0A1D5P6Q1 A0A8V0YFT7 A0A8V0XCD2 A0A8V0ZSG8 A0A8V0YK18 A0A8V0X535 A0A8V1A8R2 A0A8V1ADS4 A0A8V0ZSX6 A0A8V0ZI47 A0A8V0ZYC3 A0A1D5P8I8 A0A8V0YRN1 A0A8V0ZY91 A0A8V0ZY42 A0A8V1A6Z0 A0A8V0YPB9 A0A8V0Z865 A0A8V1ALI6 A0A1D5PLP1 A0A8V0ZY56 A0A8V0YHF3 A0A8V0ZKI8 A0A1D5PGC2 A0A8V0Z3U6 A0A8V0YQC4 A0A8V0YLZ8 A0A8V0YDL8 A0A8V1A8L5 Q98938 A0A8V0YDU6 A0A8V1ACH5 A0A8V0ZSD7 Q6ITC7 A0A8V0ZTC0 A0A8V1AEM5 A0A8V0ZEC1 A0A8V0YMR1 A0A8V0ZYI9 A0A8V1A3H9 A0A1D5P6T3 F1NXR0 A0A1I7Q421 A0A8V1AAN6 A0A8V0YQ88 A0A3Q2UGW3 A0A8V0XM02 A0A8V0XZH4 A0A8V0WZN3 A0A8V0XWD4 A0A8V0YLI1 A0A8V0ZCF7 A0A8V0YVB6 A0A8V0X9L0 A0A8V0YIC3 A0A8V0Z189 A0A1L4FLS3 A0A8V0ZJJ7 A0A8V0YHL1 A0A8V0Z8N6 A0A8V1AEJ0 A0A8V0ZDW7 A0A1D5NT61 A0A8V1A3S8 A0A8V0Z9Z7 A0A8V0Z938 A0A8V0YDD6 A0A1L1RKY9 A0A8V0YWM3
Cellular Component,collagen-containing extracellular matrix,4,GO:0062023,21,102,257,2784,2.23,0.0003203813085865533,3.49,A0A8V0ZBR8 A0A8V0XDR8 A0A8V0ZAP5 A0A8V1AAN6 P02460 A0A8V0ZHX5 A0A8V0YVB6 A0A1D5P8I8 A0A8V0XS21 A0A8V0YE20 A0A3Q2TT95 A0A8V0Y9F8 A0A8V0ZGF6 A0A8V0Y699 A0A8V0XXK8 A0A8V0YDT4 A0A8V1AFR2 A0A8V0YIR4 P26652 A0A8V0Y357 A0A8V0YDD6
Cellular Component,basement membrane,5,GO:0005604,18,82,257,2784,2.38,0.00033471504355827924,3.48,A0A8V0ZBR8 A0A8V0YDT4 A0A8V1AFR2 A0A8V0YIR4 A0A8V0YE20 P26652 A0A8V0ZHX5 A0A8V1AAN6 A0A8V0XDR8 A0A8V0Y357 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0ZGF6 A0A3Q2TT95 A0A8V0Y699 A0A8V0ZAP5 A0A8V0XS21 P02460
