Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00008 EGF-like domain,6,30,210,2004,1.91,0.12120959297452327,0.92,A0A8V0Z8V4 A0A8V0YQ88 A0A8V0ZHX5 A0A8V0YDU6 A0A8V0ZUU4 E1C0K5
PF00014 Kunitz/Bovine pancreatic trypsin inhibitor domain,2,10,210,2004,1.91,0.28244593042743527,0.55,A0A8V0ZGF6 A0A8V1AFR2
PF00017 SH2 domain,5,20,210,2004,2.39,0.05035710385779635,1.3,A0A8V0YFT7 A0A8V1A9R2 A0A8V1A7R0 A0A1I7Q3Z0 A0A8V0ZEJ3
PF00018 SH3 domain,3,27,210,2004,1.06,0.7570918980258378,0.12,A0A1I7Q3Z0 A0A8V0YBZ6 A0A1L1RP76
PF00019 Transforming growth factor beta like domain,2,12,210,2004,1.59,0.36315231768072,0.44,A0A8V1ADF6 A0A1D5P0D7
PF00028 Cadherin domain,4,21,210,2004,1.82,0.26724721283818853,0.57,A0A8V0YHL6 A0A8V0YDU6 A0A8V0Y478 A0A8V0ZUU4
PF00040 Fibronectin type II domain,2,10,210,2004,1.91,0.28244593042743527,0.55,A0A8V0ZRV9 A0A8V0YDD6
PF00041 Fibronectin type III domain,13,49,210,2004,2.53,0.0010790353653478083,2.97,A0A1D5P6T3 A0A8V0XTF7 A0A8V0XXK8 A0A8V0YQ88 A0A8V1AFR2 A0A8V1AAN6 A0A8V0YDD6 A0A8V0YDT5 A0A1D5PBZ8 P33005 A0A8V0YRG2 A0A8V0XJE9 A0A1D5P8I8
PF00047 Immunoglobulin domain,3,6,210,2004,4.77,0.017855387504377693,1.75,P01875 A0A8V0ZZZ5 A0A8V0XEJ0
PF00051 Kringle domain,2,7,210,2004,2.73,0.16146215305927067,0.79,A0A8V1A3H9 P15120
PF00053 Laminin EGF domain,3,21,210,2004,1.36,0.4770149805477935,0.32,A0A8V0XDR8 A0A8V0Z3Q9 A0A8V0ZUU4
PF00063 Myosin head (motor domain),2,13,210,2004,1.47,0.6383496558881545,0.19,A0A8V0YG88 A0A8V0XBD4
PF00069 Protein kinase domain,5,51,210,2004,0.94,1.0,-0.0,A0A8V0YK18 A0A8V0ZSX6 A0A8V0XE48 A0A8V1ABC9 A0A8V0ZTC0
PF00082 Subtilase family,3,7,210,2004,4.09,0.02886135921966878,1.54,A0A8V0YDL8 A0A8V0X4D8 A0A8V0XEP8
PF00086 Thyroglobulin type-1 repeat,4,12,210,2004,3.18,0.0294952024742765,1.53,A0A8V0Y357 A0A1D5P480 A0A8V0Y4Q2 A0A8V0ZBR8
PF00089 Trypsin,4,26,210,2004,1.47,0.3422049403196804,0.47,E1C744 A0A8V0ZIX6 A0A8V1A3H9 P15120
PF00090 Thrombospondin type 1 domain,8,22,210,2004,3.47,0.0011096526020097006,2.95,A0A8V0YUF6 A0A8V0XVV0 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZAP5 A0A8V0ZGF6 A0A8V0ZCF7 A0A8V0YHS1
PF00092 von Willebrand factor type A domain,7,19,210,2004,3.52,0.002104593027902065,2.68,A0A8V0XXK8 A0A8V1AFR2 A0A8V0YIR4 A0A8V0ZHX5 A0A8V0YE20 A0A1D5P8I8 A0A8V0X9L0
PF00093 von Willebrand factor type C domain,4,14,210,2004,2.73,0.050500115831154144,1.3,A0A3Q2TT95 A0A8V0ZE58 A0A8V0XS21 A0A8V0XXZ4
PF00094 von Willebrand factor type D domain,4,11,210,2004,3.47,0.02138124164151683,1.67,A0A8V0ZF17 A0A8V0ZG90 A0A8V0Z932 A0A8V0ZDT7
PF00095 WAP-type (Whey Acidic Protein) 'four-disulfide core',2,4,210,2004,4.77,0.05686957896834947,1.25,P33005 A0A8V0YTG5
PF00102 Protein-tyrosine phosphatase,2,13,210,2004,1.47,0.6383496558881545,0.19,A0A8V0YDT5 A0A1D5P6Q1
PF00112 Papain family cysteine protease,2,8,210,2004,2.39,0.20105868455351192,0.7,A0A8V0XWD4 A0A8V0YVB6
"PF00129 Class I Histocompatibility antigen, domains alpha 1 and 2",2,5,210,2004,3.82,0.08833593714320477,1.05,A0A8V0X8Q3 A0A8V0X8D5
PF00130 Phorbol esters/diacylglycerol binding domain (C1 domain),2,7,210,2004,2.73,0.16146215305927067,0.79,A0A8V0YK18 A0A8V1ABC9
PF00135 Carboxylesterase family,3,4,210,2004,7.16,0.004191523988035787,2.38,A0A8V0Y9F8 A0A8V0Y4Q2 A0A3Q2UGW3
"PF00147 Fibrinogen beta and gamma chains, C-terminal globular domain",2,10,210,2004,1.91,0.28244593042743527,0.55,A0A8V1AHP7 A0A8V1AAN6
PF00206 Lyase,2,3,210,2004,6.36,0.03053055147817248,1.52,A0A8V0Y9B0 A0A8V0YC20
PF00219 Insulin-like growth factor binding protein,3,9,210,2004,3.18,0.05917772601458996,1.23,A0A8V0XXZ4 A0A1D5P480 A0A8V0ZE58
PF00373 FERM central domain,3,9,210,2004,3.18,0.05917772601458996,1.23,A0A8V0X097 A0A1D5P6Q1 A0A8V0Y699
PF00386 C1q domain,2,6,210,2004,3.18,0.12357621196260773,0.91,A0A8V0Y0F3 A0A8V0YY90
PF00431 CUB domain,3,17,210,2004,1.68,0.4114877152024782,0.39,A0A8V0ZF83 A0A8V0Y070 A0A8V0ZIX6
PF00536 SAM domain (Sterile alpha motif),2,4,210,2004,4.77,0.05686957896834947,1.25,A0A8V1A535 A0A8V0YRG2
PF00595 PDZ domain,3,25,210,2004,1.15,0.740739477050997,0.13,A0A8V0X7P4 Q0PVE4 A0A8V1A0B4
PF00625 Guanylate kinase,2,7,210,2004,2.73,0.16146215305927067,0.79,A0A8V0XZH4 A0A8V1A0B4
PF00754 F5/8 type C domain,2,9,210,2004,2.12,0.24159610127966388,0.62,A0A1D5PT01 E1C0K5
PF01301 Glycosyl hydrolases family 35,2,3,210,2004,6.36,0.03053055147817248,1.52,A0A8V0YZJ3 A0A8V0ZI47
PF01399 PCI domain,2,11,210,2004,1.74,0.32310000089249524,0.49,A0A8V0ZEC1 A0A8V0ZY42
PF01400 Astacin (Peptidase family M12A),2,2,210,2004,9.54,0.010934197506138325,1.96,A0A8V0ZF83 A0A8V0Y070
PF01421 Reprolysin (M12B) family zinc metalloprotease ,2,10,210,2004,1.91,0.28244593042743527,0.55,A0A8V0ZCF7 A0A1D5NZ82
PF01823 MAC/Perforin domain,2,3,210,2004,6.36,0.03053055147817248,1.52,A0A8V1A8N2 A0A8V0YHS1
PF01833 IPT/TIG domain,2,7,210,2004,2.73,0.16146215305927067,0.79,A0A8V0YIC3 A0A8V1A3N1
PF02210 Laminin G domain,4,13,210,2004,2.94,0.03919502446049691,1.41,A0A8V0YQU2 A0A8V0Z8V4 A0A8V0YDU6 A0A8V0ZUU4
PF02351 GDNF/GAS1 domain,2,2,210,2004,9.54,0.010934197506138325,1.96,A0A8V0Y999 A0A8V0YGL6
"PF02864 STAT protein, DNA binding domain",2,4,210,2004,4.77,0.05686957896834947,1.25,A0A8V1A7R0 A0A8V0YFT7
"PF02865 STAT protein, protein interaction domain",2,4,210,2004,4.77,0.05686957896834947,1.25,A0A8V1A7R0 A0A8V0YFT7
"PF02886 LBP / BPI / CETP family, C-terminal domain",2,9,210,2004,2.12,0.24159610127966388,0.62,A0A8V0YRQ0 A0A8V0YSC2
PF07474 G2F domain,3,3,210,2004,9.54,0.0011360205201173654,2.94,A0A8V0ZAP5 A0A8V0Y357 A0A8V0ZBR8
PF07546 EMI domain,2,3,210,2004,6.36,0.03053055147817248,1.52,A0A8V0Y290 A0A8V0Y0F3
PF07645 Calcium-binding EGF domain,8,25,210,2004,3.05,0.002840792345234318,2.55,A0A8V0ZBR8 A0A8V0YDT4 A0A8V0YIR4 A0A8V0YE20 A0A8V0XPE8 A0A8V0Y357 A0A8V0ZAP5 A0A8V0Y6D2
PF07648 Kazal-type serine protease inhibitor domain,2,15,210,2004,1.27,0.6657402591468164,0.18,A0A1I7Q421 A0A8V0YMR1
PF07653 Variant SH3 domain,2,10,210,2004,1.91,0.28244593042743527,0.55,A0A8V1A0B4 A0A1L1RP76
PF07654 Immunoglobulin C1-set domain,4,11,210,2004,3.47,0.02138124164151683,1.67,A0A8V0XEJ0 P01875 A0A8V0X8Q3 A0A8V0X8D5
PF07679 Immunoglobulin I-set domain,8,41,210,2004,1.86,0.06813938044563457,1.17,A0A8V0YUF6 A0A8V0YRN1 A0A8V0ZAP5 A0A8V0ZGF6 A0A8V0YDT5 A0A1D5PBZ8 A0A1D5PZ68 A0A8V0YMR1
PF07686 Immunoglobulin V-set domain,7,37,210,2004,1.81,0.100722871041178,1.0,A0A8V0ZZD4 A0A8V1ACV0 A0A8V0YLX0 F1NJI3 A0A8V0XL71 A0A8V0ZD24 A0A8V0XDT2
PF07714 Protein tyrosine and serine/threonine kinase,7,22,210,2004,3.04,0.005413207110365753,2.27,A0A1D5P6T3 A0A8V0ZSN8 A0A8V1A3N1 A0A8V1A9R2 A0A1D5PT01 A0A8V0YRG2 A0A1I7Q3Z0
PF07974 EGF-like domain,2,4,210,2004,4.77,0.05686957896834947,1.25,A0A1D5NTR5 A0A8V1AAN6
PF08205 CD80-like C2-set immunoglobulin domain ,2,5,210,2004,3.82,0.08833593714320477,1.05,P01875 A0A8V0XEJ0
PF08266 Cadherin-like,2,6,210,2004,3.18,0.12357621196260773,0.91,A0A8V0YHL6 A0A8V0Y478
PF08686 PLAC (protease and lacunin) domain,4,6,210,2004,6.36,0.001484695907599114,2.83,A0A8V0YUF6 A0A8V0YRN1 A0A8V0ZGF6 A0A1D5NZ82
"PF09172 Vitellinogen, open beta-sheet",4,6,210,2004,6.36,0.001484695907599114,2.83,A0A8V0ZF17 A0A8V0ZG90 A0A8V0Z932 A0A8V0ZDT7
"PF09175 Vitellinogen, beta-sheet shell",4,5,210,2004,7.63,0.0005391788427211429,3.27,A0A8V0ZF17 A0A8V0ZG90 A0A8V0Z932 A0A8V0ZDT7
PF09258 Glycosyl transferase family 64 domain,2,4,210,2004,4.77,0.05686957896834947,1.25,F1NGB8 A0A8V0ZXC9
"PF09294 Interferon-alpha/beta receptor, fibronectin type III",2,3,210,2004,6.36,0.03053055147817248,1.52,A0A8V0Y652 K9JA28
PF12661 Human growth factor-like EGF,3,8,210,2004,3.58,0.042672558578062854,1.37,A0A8V0Z8V4 A0A8V0Z3Q9 A0A8V0ZUU4
PF12662 Complement Clr-like EGF-like,4,11,210,2004,3.47,0.02138124164151683,1.67,A0A8V0ZAP5 A0A8V0Y357 A0A8V0YIR4 A0A8V0YDT4
PF12947 EGF domain,2,6,210,2004,3.18,0.12357621196260773,0.91,A0A8V0Y357 A0A8V0ZBR8
