KEGG pathway	Protein accession	KEGG KO No.	G2/G3 Ratio	Regulated Type
map00071 Fatty acid degradation	A0A8V0Y4M6	K00255	1.6139031726011452	Up
map00071 Fatty acid degradation	A0A8V1AKL9	K00128	1.7234087142067862	Up
map00071 Fatty acid degradation	A0A8V0X3M7	K09478	2.5871596204592673	Up
map00071 Fatty acid degradation	A0A8V0Y492	K07515	4.147372830162183	Up
map00071 Fatty acid degradation	A0A8V0YB71	K07509	4.3297601281257965	Up
map00071 Fatty acid degradation	A0A8V0ZAL2	K01897	3.5584857664256	Up
map00071 Fatty acid degradation	A0A8V0XE68	K00626	6.6963872996627885	Up
map00071 Fatty acid degradation	A0A8V0XIM8	K00022	3.794545582697304	Up
map00071 Fatty acid degradation	A0A8V0ZT56	K00248	2.342276473491057	Up
map00071 Fatty acid degradation	A0A8V1ABW1	K00128	4.633388017680477	Up
map00071 Fatty acid degradation	A0A8V0X9K8	K14085	2.743355102099421	Up
map00071 Fatty acid degradation	A0A8V0Y8S2	K13239	2.7297226022317083	Up
map00071 Fatty acid degradation	A0A8V0YYX3	K13238	3.2657449896296646	Up
map00190 Oxidative phosphorylation	P18944	K02261	9.335565190348133	Up
map00190 Oxidative phosphorylation	A0A1D5PCU0	K02154	0.4675628786022203	Down
map00190 Oxidative phosphorylation	A0A1D5PP57	K02147	2.041775076631777	Up
map00190 Oxidative phosphorylation	F1NBW2	K02145	1.8569794987565569	Up
map00190 Oxidative phosphorylation	Q9YH14	K02129	4.600221831962288	Up
map00190 Oxidative phosphorylation	A0A1D5NW93	K02134	11.782934651276387	Up
map00190 Oxidative phosphorylation	A0A1D5P0U8	K02136	4.250196164547911	Up
map00190 Oxidative phosphorylation	A0A1D5P179	K11353	4.294425627808439	Up
map00190 Oxidative phosphorylation	A0A1D5PN54	K02132	4.157435697583788	Up
map00190 Oxidative phosphorylation	A0A1D5PNM0	K03965	3.126691290270512	Up
map00190 Oxidative phosphorylation	A0A8V0X535	K11351	5.481192933018386	Up
map00190 Oxidative phosphorylation	A0A8V0XCD2	K03949	1.8064268078774328	Up
map00190 Oxidative phosphorylation	A0A8V0XW68	K02263	5.08094963066541	Up
map00190 Oxidative phosphorylation	A0A8V0Y6X8	K11352	2.1455646938564987	Up
map00190 Oxidative phosphorylation	A0A8V0Y9V7	K03937	10.445851278563953	Up
map00190 Oxidative phosphorylation	A0A8V0Y9X9	K02137	6.157806110175607	Up
map00190 Oxidative phosphorylation	A0A8V0YC52	K03946	4.221591309868096	Up
map00190 Oxidative phosphorylation	A0A8V0YCL9	K02268	3.3762247820112745	Up
map00190 Oxidative phosphorylation	A0A8V0YFF3	K03954	2.434019294963501	Up
map00190 Oxidative phosphorylation	A0A8V0Z2Y8	K02265	23.89189922579223	Up
map00190 Oxidative phosphorylation	A0A8V0Z382	K03938	4.634399308556612	Up
map00190 Oxidative phosphorylation	A0A8V0Z7C7	K03962	2.6333120549963174	Up
map00190 Oxidative phosphorylation	A0A8V0Z863	K03966	5.5100140968694316	Up
map00190 Oxidative phosphorylation	A0A8V0ZBC9	K02149	1.8534412202380957	Up
map00190 Oxidative phosphorylation	A0A8V0ZC01	K02266	4.8314993707268945	Up
map00190 Oxidative phosphorylation	A0A8V0ZI98	K02130	8.183695619749562	Up
map00190 Oxidative phosphorylation	A0A8V0ZU95	K02264	3.8875103759642053	Up
map00190 Oxidative phosphorylation	A0A8V0ZVA2	K03959	3.6042615015642054	Up
map00190 Oxidative phosphorylation	A0A8V1A4N7	K02127	8.542604742913504	Up
map00190 Oxidative phosphorylation	A0A8V1A624	K02133	6.163659552455785	Up
map00190 Oxidative phosphorylation	A0A8V1A840	K01544	2.5240011385984893	Up
map00190 Oxidative phosphorylation	A0A8V1AA37	K03934	4.0909427777381895	Up
map00190 Oxidative phosphorylation	A0A8V1AAC8	K02145	1.59042093825575	Up
map00190 Oxidative phosphorylation	A0A8V1AH40	K03940	3.6613996344806576	Up
map00190 Oxidative phosphorylation	E1C658	K02138	6.365238929658371	Up
map00190 Oxidative phosphorylation	F1NIL3	K02140	4.9355987040828415	Up
map00190 Oxidative phosphorylation	Q5ZHL0	K02146	0.560750171762281	Down
map00190 Oxidative phosphorylation	A0A3Q2UJ64	K00417	8.817256832551976	Up
map00190 Oxidative phosphorylation	A0A8V0X6I3	K02267	6.818815457719161	Up
map00190 Oxidative phosphorylation	A0A8V0Y8W7	K02150	1.8317002916667295	Up
map00190 Oxidative phosphorylation	A0A8V0YZL1	K00415	2.3798339243016446	Up
map00190 Oxidative phosphorylation	A0A8V0ZRZ8	K03953	2.3741830097751384	Up
map00190 Oxidative phosphorylation	A0A8V1A3B4	K00414	5.41580745890532	Up
map00190 Oxidative phosphorylation	R4GGZ2	K03948	3.3676013010078703	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V1AKL9	K00128	1.7234087142067862	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0X3M7	K09478	2.5871596204592673	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0Y492	K07515	4.147372830162183	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0YB71	K07509	4.3297601281257965	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0ZTF7	K00253	5.494759089739016	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0XE68	K00626	6.6963872996627885	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0XIM8	K00022	3.794545582697304	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0XVT5	K00140	10.108511333997427	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0YKJ7	K00826	1.7572721297182423	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0ZT56	K00248	2.342276473491057	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V1ABW1	K00128	4.633388017680477	Up
map00280 Valine, leucine and isoleucine degradation	Q5F3M8	K01027	3.771180567294364	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0X2T8	K08683	2.6915646651270206	Up
map00280 Valine, leucine and isoleucine degradation	A0A8V0X9K8	K14085	2.743355102099421	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A3Q2TSP8	K14163	2.3382701141589988	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V0ZEK6	K01872	1.9243526121086345	Up
map00970 Aminoacyl-tRNA biosynthesis	E1C2Z5	K01867	4.267437408827781	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V0XY40	K01887	3.232799738876819	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V0Y121	K04567	5.6201488430175	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V0Y207	K22503	1.5567228628030474	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V0YH08	K01892	1.9690479953637847	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V0YQC4	K01868	0.3978559425530355	Down
map00970 Aminoacyl-tRNA biosynthesis	A0A8V0ZWY9	K01890	2.6799683402437116	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V1A7D7	K01875	2.9394717096034015	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V1A7Y9	K01870	1.80429372851274	Up
map00970 Aminoacyl-tRNA biosynthesis	A0A8V1AAU9	K01880	3.185956262578601	Up
map00970 Aminoacyl-tRNA biosynthesis	F1NJU7	K01866	1.994885764915011	Up
map01040 Biosynthesis of unsaturated fatty acids	A0A8V0Z420	K10251	6.6730796927182245	Up
map01040 Biosynthesis of unsaturated fatty acids	A0A1D5NWL9	K12405	2.9714425333507632	Up
map01040 Biosynthesis of unsaturated fatty acids	A0A8V0Z2X9	K17360	2.2469898565214788	Up
map03010 Ribosome	F1NPA9	K02985	4.221933757032535	Up
map03010 Ribosome	P50890	K02998	3.310831743628313	Up
map03010 Ribosome	F1NN16	K02993	2.650222212968168	Up
map03010 Ribosome	P41125	K02873	2.80560615562258	Up
map03010 Ribosome	Q6ITC7	K02953	1.5829350517240657	Up
map03010 Ribosome	A0A1D5P3B1	K02868	3.6549863438399637	Up
map03010 Ribosome	A0A1D5PMT8	K02943	3.2062649861236365	Up
map03010 Ribosome	A0A1L1S0X5	K02915	1.9047001164092563	Up
map03010 Ribosome	A0A3Q3A7P6	K02957	1.6700832377468455	Up
map03010 Ribosome	A0A8V0XJK4	K02937	1.8092572899759332	Up
map03010 Ribosome	A0A8V0XXX0	K02984	2.9901580851380154	Up
map03010 Ribosome	A0A8V0Y4V6	K02898	3.2043598940918936	Up
map03010 Ribosome	A0A8V0YR80	K02875	2.4452053153120765	Up
map03010 Ribosome	A0A8V0Z1Z1	K02991	2.5426532883049955	Up
map03010 Ribosome	A0A8V0Z4J0	K02977	0.5371425042868611	Down
map03010 Ribosome	A0A8V0Z865	K02886	0.5840296261299697	Down
map03010 Ribosome	A0A8V0Z891	K02981	2.0318648366474226	Up
map03010 Ribosome	A0A8V0ZE87	K02934	1.5346213154617163	Up
map03010 Ribosome	A0A8V0ZGP2	K02894	2.6847737371905316	Up
map03010 Ribosome	A0A8V0ZJP1	K02941	5.4264279516644445	Up
map03010 Ribosome	A0A8V0ZL98	K02900	3.78180383458807	Up
map03010 Ribosome	A0A8V0ZNA1	K02901	2.06104637484692	Up
map03010 Ribosome	A0A8V0ZUX8	K02976	3.707755708688016	Up
map03010 Ribosome	A0A8V1ACS0	K02927	0.6189253246538896	Down
map03010 Ribosome	E1BTG1	K02870	3.06315592975598	Up
map03010 Ribosome	F1NH93	K02969	3.0527495221565566	Up
map03010 Ribosome	F1NIX0	K02938	2.9966092434913256	Up
map03010 Ribosome	R4GGJ0	K02960	4.741236607979697	Up
map03010 Ribosome	A0A8V0XPN5	K02973	0.2350655401900709	Down
map03010 Ribosome	A0A8V0XRE7	K02896	3.37361248042684	Up
