Source	Target
A0A8V1AK12	A0A8V0Z6U6
A0A8V1AK12	A0A8V0Y6Z6
A0A8V1AK12	A0A1D5PCU0
A0A8V1AK12	Q5ZHL0
A0A8V1AK12	A0A1D5P0U8
A0A8V1AK12	A0A8V1A624
A0A8V1A582	F1NU79
A0A8V1A582	F1NR71
A0A8V1A582	Q9I8D6
A0A8V1A582	A0A8V1AJS6
A0A8V1A582	Q5ZLI2
A0A8V1A582	A0A8V1ABH8
A0A8V1A582	A0A8V0Z3K2
A0A8V1A582	A0A8V0Y2X7
A0A8V1A582	R4GLB3
A0A8V1A582	F1NC02
A0A8V1A582	A0A8V0Y814
A0A8V1A582	A0A8V1AF05
A0A8V1A582	Q5ZMG9
A0A8V1A582	A0A8V0ZNG1
A0A8V1A582	A0A8V0Z4J0
A0A8V1A582	A0A1D5NXL7
A0A8V1A582	A0A8V0ZEY1
A0A8V1A582	A0A8V0ZY42
A0A8V1A582	Q7ZT63
A0A8V1A582	A0A8V0YCP2
A0A8V1A582	A0A8V0ZNX9
A0A8V1A582	A0A8V0YYI8
A0A8V1A582	A0A8V0ZNG4
A0A8V1A582	A0A8V0ZH96
A0A8V1A582	A0A1D5PJW4
A0A8V1A582	A0A8V0XRD5
A0A8V1A582	Q5F411
A0A8V1A582	A0A8V0YGG7
A0A8V1A582	A0A8V0X5J4
A0A8V1A582	A0A8V0XIX2
A0A8V1A582	A0A8V0YQY8
A0A8V1A582	A0A1L1RP66
A0A1D5PXH4	A0A8V0ZM20
A0A1D5PXH4	Q5ZLA0
A0A1D5PXH4	A0A1L1RQ91
A0A8V0X7H3	A0A8V0XBW1
A0A8V0X7H3	A0A1D5P7C6
A0A8V0X7H3	A0A8V0YV66
A0A8V0X7H3	F1NPA9
A0A8V0X7H3	A0A8V0Z1Z1
A0A8V0X7H3	A0A8V0XXX0
A0A8V0X7H3	A0A8V1A8R2
A0A8V0X7H3	A0A1D5P3B1
A0A8V0X7H3	A0A8V0XPN5
