Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A8V0ZIN3	37	Actin, beta OS=Gallus gallus OX=9031 GN=ACTB PE=3 SV=1	ACTB	Down	0.6287902791419789
A0A1D5NYE8	36	Catenin beta-1 OS=Gallus gallus OX=9031 GN=CTNNB1 PE=1 SV=1	CTNNB1	Down	0.4588205598185716
A0A1I7Q3Z0	29	Tyrosine-protein kinase OS=Gallus gallus OX=9031 GN=SRC PE=3 SV=2	SRC	Up	1.5789821304076614
P00356	28	Glyceraldehyde-3-phosphate dehydrogenase OS=Gallus gallus OX=9031 GN=GAPDH PE=2 SV=3	GAPDH	Down	0.512547940260795
E1BTG1	27	Large ribosomal subunit protein uL11 OS=Gallus gallus OX=9031 GN=RPL12 PE=1 SV=2	RPL12	Down	0.3072063486708946
A0A8V1A8R2	26	40S ribosomal protein S8 OS=Gallus gallus OX=9031 GN=RPS8 PE=1 SV=1	RPS8	Up	1.802418339558452
A0A8V0ZJP1	26	Large ribosomal subunit protein uL10 OS=Gallus gallus OX=9031 GN=RPLP0 PE=3 SV=1	RPLP0	Down	0.4738318530161619
A0A8V0XXX0	25	Small ribosomal subunit protein eS1 OS=Gallus gallus OX=9031 GN=RPS3A PE=1 SV=1	RPS3A	Down	0.5895086794701755
A0A8V1A624	25	ATP synthase subunit beta OS=Gallus gallus OX=9031 GN=ATP5B PE=1 SV=1	ATP5B	Down	0.5832570382238499
A0A1D5NVI1	24	Large ribosomal subunit protein uL6 OS=Gallus gallus OX=9031 GN=RPL9 PE=1 SV=1	RPL9	Down	0.474288074877275
A0A8V0ZNA1	24	Large ribosomal subunit protein eL27 OS=Gallus gallus OX=9031 GN=RPL27 PE=3 SV=1	RPL27	Down	0.636182193276971
P84172	24	Elongation factor Tu, mitochondrial (Fragment) OS=Gallus gallus OX=9031 GN=TUFM PE=1 SV=1	TUFM	Down	0.21955128205128205
F1NQG5	23	Ribosomal protein L15 OS=Gallus gallus OX=9031 GN=RPL15 PE=1 SV=2	RPL15	Down	0.5644272492523936
A0A1D5P3B1	23	Large ribosomal subunit protein uL5 OS=Gallus gallus OX=9031 GN=RPL11 PE=1 SV=1	RPL11	Down	0.4697898135336365
F1NIX0	23	Large ribosomal subunit protein uL2 OS=Gallus gallus OX=9031 GN=RPL8 PE=1 SV=2	RPL8	Down	0.4907423194309774
A0A8V1A9M2	23	Ribosomal protein OS=Gallus gallus OX=9031 GN=RPL10A PE=1 SV=1	RPL10A	Down	0.4463649500731219
Q6ITC7	22	Small ribosomal subunit protein uS15 OS=Gallus gallus OX=9031 GN=RPS13 PE=2 SV=3	RPS13	Up	1.5364400512798988
A0A8V0ZUX8	22	40S ribosomal protein S26 OS=Gallus gallus OX=9031 GN=RPS26 PE=1 SV=1	RPS26	Down	0.44436305560392186
F1NN16	22	40S ribosomal protein S7 OS=Gallus gallus OX=9031 GN=RPS7 PE=1 SV=3	RPS7	Down	0.6170756777592189
E1C658	21	ATP synthase subunit d, mitochondrial OS=Gallus gallus OX=9031 GN=ATP5H PE=1 SV=3	ATP5H	Down	0.5379753115821226
