Desc	Family ID	Anas	Gallus	Columba
(null)	cluster0	38	9	1
(null)	cluster1	44	0	0
(null)	cluster2	6	6	10
(null)	cluster3	0	0	19
(null)	cluster4	4	4	6
(null)	cluster5	6	4	4
(null)	cluster6	4	6	4
(null)	cluster7	5	4	4
(null)	cluster8	5	3	5
(null)	cluster9	5	4	4
(null)	cluster10	4	3	5
(null)	cluster11	6	0	6
(null)	cluster12	3	5	4
(null)	cluster13	2	1	9
(null)	cluster14	2	5	5
(null)	cluster15	6	3	3
(null)	cluster16	4	3	4
(null)	cluster17	5	2	4
(null)	cluster18	4	3	4
(null)	cluster19	7	2	2
(null)	cluster20	3	3	4
(null)	cluster21	3	3	4
(null)	cluster22	4	5	1
(null)	cluster23	5	5	0
(null)	cluster24	1	1	8
(null)	cluster25	2	0	7
(null)	cluster26	3	3	3
(null)	cluster27	3	3	3
(null)	cluster28	3	4	2
(null)	cluster29	2	3	4
(null)	cluster30	1	1	7
(null)	cluster31	4	2	3
(null)	cluster32	1	3	5
(null)	cluster33	3	3	3
(null)	cluster34	3	4	2
(null)	cluster35	2	4	3
(null)	cluster36	3	3	3
(null)	cluster37	3	3	3
(null)	cluster38	4	2	3
(null)	cluster39	3	3	3
(null)	cluster40	6	2	1
(null)	cluster41	2	3	4
(null)	cluster42	0	3	6
(null)	cluster43	2	4	2
(null)	cluster44	2	2	4
(null)	cluster45	8	0	0
(null)	cluster46	4	3	1
(null)	cluster47	4	2	2
(null)	cluster48	1	1	6
(null)	cluster49	2	3	3
(null)	cluster50	7	1	0
(null)	cluster51	2	2	4
(null)	cluster52	5	0	3
(null)	cluster53	1	1	6
(null)	cluster54	2	1	5
(null)	cluster55	2	2	4
(null)	cluster56	2	2	4
(null)	cluster57	3	2	3
(null)	cluster58	5	1	2
(null)	cluster59	1	1	6
(null)	cluster60	2	3	3
(null)	cluster61	3	2	3
(null)	cluster62	2	5	1
(null)	cluster63	2	2	4
(null)	cluster64	1	1	6
(null)	cluster65	0	8	0
(null)	cluster66	4	2	1
(null)	cluster67	2	3	2
(null)	cluster68	1	2	4
(null)	cluster69	2	0	5
(null)	cluster70	2	2	3
(null)	cluster71	2	2	3
(null)	cluster72	2	3	2
(null)	cluster73	4	2	1
(null)	cluster74	3	2	2
(null)	cluster75	2	2	3
(null)	cluster76	1	1	5
(null)	cluster77	2	1	4
(null)	cluster78	3	2	2
(null)	cluster79	4	2	1
(null)	cluster80	3	2	2
(null)	cluster81	4	2	1
(null)	cluster82	3	2	2
(null)	cluster83	3	2	2
(null)	cluster84	1	0	6
(null)	cluster85	3	2	2
(null)	cluster86	1	1	5
(null)	cluster87	3	2	2
(null)	cluster88	2	2	3
(null)	cluster89	1	0	6
(null)	cluster90	1	2	4
(null)	cluster91	3	2	2
(null)	cluster92	2	2	3
(null)	cluster93	1	1	5
(null)	cluster94	3	2	2
(null)	cluster95	2	2	3
(null)	cluster96	2	3	2
(null)	cluster97	2	3	2
(null)	cluster98	3	2	2
(null)	cluster99	1	1	5
(null)	cluster100	2	3	2
(null)	cluster101	3	1	3
(null)	cluster102	6	1	0
(null)	cluster103	2	3	2
(null)	cluster104	4	1	2
(null)	cluster105	1	4	2
(null)	cluster106	0	0	7
(null)	cluster107	0	1	6
(null)	cluster108	0	0	7
(null)	cluster109	0	1	6
(null)	cluster110	2	2	2
(null)	cluster111	2	1	3
(null)	cluster112	2	2	2
(null)	cluster113	2	2	2
(null)	cluster114	2	2	2
(null)	cluster115	2	2	2
(null)	cluster116	3	2	1
(null)	cluster117	2	2	2
(null)	cluster118	2	2	2
(null)	cluster119	1	0	5
(null)	cluster120	2	2	2
(null)	cluster121	3	2	1
(null)	cluster122	2	2	2
(null)	cluster123	2	1	3
(null)	cluster124	1	1	4
(null)	cluster125	2	2	2
(null)	cluster126	2	2	2
(null)	cluster127	2	2	2
(null)	cluster128	2	1	3
(null)	cluster129	2	2	2
(null)	cluster130	2	2	2
(null)	cluster131	2	2	2
(null)	cluster132	2	2	2
(null)	cluster133	1	1	4
(null)	cluster134	2	2	2
(null)	cluster135	2	2	2
(null)	cluster136	2	2	2
(null)	cluster137	1	1	4
(null)	cluster138	2	0	4
(null)	cluster139	2	1	3
(null)	cluster140	3	1	2
(null)	cluster141	2	2	2
(null)	cluster142	2	2	2
(null)	cluster143	2	2	2
(null)	cluster144	5	0	1
(null)	cluster145	2	2	2
(null)	cluster146	2	2	2
(null)	cluster147	2	2	2
(null)	cluster148	2	1	3
(null)	cluster149	2	2	2
(null)	cluster150	2	3	1
(null)	cluster151	1	1	4
(null)	cluster152	2	2	2
(null)	cluster153	2	2	2
(null)	cluster154	3	1	2
(null)	cluster155	3	1	2
(null)	cluster156	2	2	2
(null)	cluster157	3	2	1
(null)	cluster158	2	1	3
(null)	cluster159	1	0	5
(null)	cluster160	2	2	2
(null)	cluster161	2	2	2
(null)	cluster162	1	2	3
(null)	cluster163	2	2	2
(null)	cluster164	2	1	3
(null)	cluster165	1	3	2
(null)	cluster166	2	2	2
(null)	cluster167	2	2	2
(null)	cluster168	2	1	3
(null)	cluster169	2	2	2
(null)	cluster170	2	0	4
(null)	cluster171	2	2	2
(null)	cluster172	1	1	4
(null)	cluster173	2	2	2
(null)	cluster174	1	1	4
(null)	cluster175	1	1	4
(null)	cluster176	1	1	4
(null)	cluster177	2	2	2
(null)	cluster178	2	2	2
(null)	cluster179	4	1	1
(null)	cluster180	1	4	1
(null)	cluster181	1	2	3
(null)	cluster182	4	1	1
(null)	cluster183	2	2	2
(null)	cluster184	2	2	2
(null)	cluster185	0	2	4
(null)	cluster186	2	1	2
(null)	cluster187	2	1	2
(null)	cluster188	1	1	3
(null)	cluster189	1	1	3
(null)	cluster190	2	1	2
(null)	cluster191	2	2	1
(null)	cluster192	2	1	2
(null)	cluster193	1	2	2
(null)	cluster194	3	1	1
(null)	cluster195	4	0	1
(null)	cluster196	2	1	2
(null)	cluster197	2	2	1
(null)	cluster198	3	1	1
(null)	cluster199	1	1	3
(null)	cluster200	1	1	3
(null)	cluster201	3	1	1
(null)	cluster202	2	1	2
(null)	cluster203	2	2	1
(null)	cluster204	1	1	3
(null)	cluster205	2	1	2
(null)	cluster206	1	2	2
(null)	cluster207	1	0	4
(null)	cluster208	1	2	2
(null)	cluster209	2	1	2
(null)	cluster210	2	2	1
(null)	cluster211	3	1	1
(null)	cluster212	2	1	2
(null)	cluster213	3	1	1
(null)	cluster214	1	2	2
(null)	cluster215	1	1	3
(null)	cluster216	2	2	1
(null)	cluster217	1	1	3
(null)	cluster218	2	1	2
(null)	cluster219	2	2	1
(null)	cluster220	3	1	1
(null)	cluster221	2	1	2
(null)	cluster222	3	1	1
(null)	cluster223	3	1	1
(null)	cluster224	3	1	1
(null)	cluster225	1	1	3
(null)	cluster226	2	1	2
(null)	cluster227	2	2	1
(null)	cluster228	1	1	3
(null)	cluster229	2	1	2
(null)	cluster230	1	1	3
(null)	cluster231	1	2	2
(null)	cluster232	1	1	3
(null)	cluster233	3	1	1
(null)	cluster234	2	2	1
(null)	cluster235	2	0	3
(null)	cluster236	3	1	1
(null)	cluster237	3	1	1
(null)	cluster238	2	1	2
(null)	cluster239	2	2	1
(null)	cluster240	2	1	2
(null)	cluster241	2	1	2
(null)	cluster242	2	0	3
(null)	cluster243	1	2	2
(null)	cluster244	2	2	1
(null)	cluster245	3	1	1
(null)	cluster246	2	1	2
(null)	cluster247	2	1	2
(null)	cluster248	4	0	1
(null)	cluster249	3	1	1
(null)	cluster250	2	2	1
(null)	cluster251	1	3	1
(null)	cluster252	1	2	2
(null)	cluster253	3	1	1
(null)	cluster254	1	2	2
(null)	cluster255	2	2	1
(null)	cluster256	1	0	4
(null)	cluster257	2	2	1
(null)	cluster258	1	1	3
(null)	cluster259	2	1	2
(null)	cluster260	2	1	2
(null)	cluster261	3	1	1
(null)	cluster262	1	1	3
(null)	cluster263	2	2	1
(null)	cluster264	3	0	2
(null)	cluster265	1	1	3
(null)	cluster266	2	1	2
(null)	cluster267	2	1	2
(null)	cluster268	3	1	1
(null)	cluster269	2	2	1
(null)	cluster270	2	2	1
(null)	cluster271	2	2	1
(null)	cluster272	1	1	3
(null)	cluster273	1	2	2
(null)	cluster274	1	3	1
(null)	cluster275	4	1	0
(null)	cluster276	2	1	2
(null)	cluster277	2	1	2
(null)	cluster278	1	0	4
(null)	cluster279	2	2	1
(null)	cluster280	2	1	2
(null)	cluster281	2	1	2
(null)	cluster282	1	0	4
(null)	cluster283	2	1	2
(null)	cluster284	3	1	1
(null)	cluster285	1	1	3
(null)	cluster286	2	1	2
(null)	cluster287	1	0	4
(null)	cluster288	1	2	2
(null)	cluster289	3	1	1
(null)	cluster290	2	2	1
(null)	cluster291	2	1	2
(null)	cluster292	1	2	2
(null)	cluster293	3	0	2
(null)	cluster294	2	1	2
(null)	cluster295	1	2	2
(null)	cluster296	2	2	1
(null)	cluster297	2	1	2
(null)	cluster298	1	3	1
(null)	cluster299	1	3	1
(null)	cluster300	2	1	2
(null)	cluster301	2	0	3
(null)	cluster302	2	2	1
(null)	cluster303	1	2	2
(null)	cluster304	1	3	1
(null)	cluster305	2	0	3
(null)	cluster306	1	1	3
(null)	cluster307	1	1	3
(null)	cluster308	2	1	2
(null)	cluster309	3	1	1
(null)	cluster310	1	1	3
(null)	cluster311	2	1	2
(null)	cluster312	1	2	2
(null)	cluster313	1	1	3
(null)	cluster314	1	1	3
(null)	cluster315	3	1	1
(null)	cluster316	2	1	2
(null)	cluster317	3	1	1
(null)	cluster318	3	1	1
(null)	cluster319	3	1	1
(null)	cluster320	2	1	2
(null)	cluster321	3	1	1
(null)	cluster322	3	1	1
(null)	cluster323	2	0	3
(null)	cluster324	3	1	1
(null)	cluster325	2	2	1
(null)	cluster326	1	0	4
(null)	cluster327	3	1	1
