GO_ID,GO_Description,Anas_Contraction,Gallus_Contraction,Pigeon_Contraction
GO:0000226,P:microtubule cytoskeleton organization,5,0,0
GO:0000278,P:mitotic cell cycle,0,12,0
GO:0001501,P:skeletal system development,0,8,0
GO:0001649,P:osteoblast differentiation,0,4,0
GO:0001666,P:response to hypoxia,9,0,0
GO:0002377,P:immunoglobulin production,0,48,48
GO:0003774,F:motor activity,12,12,0
GO:0004222,F:metalloendopeptidase activity,0,0,0
GO:0004658,F:propionyl-CoA carboxylase activity,4,0,0
GO:0004867,F:serine-type endopeptidase inhibitor activity,0,5,0
GO:0005201,F:extracellular matrix structural constituent,0,6,0
GO:0005543,F:phospholipid binding,4,0,0
GO:0005615,C:extracellular space,4,0,0
GO:0005829,C:cytosol,0,6,6
GO:0006110,P:regulation of glycolytic process,0,4,0
GO:0006364,P:rRNA processing,9,0,0
GO:0006470,P:protein dephosphorylation,0,7,0
GO:0006487,P:protein N-linked glycosylation,0,4,0
GO:0006508,P:proteolysis,10,10,0
GO:0006511,P:ubiquitin-dependent protein catabolic process,7,6,0
GO:0006607,P:NLS-bearing protein import into nucleus,4,0,0
GO:0006635,P:fatty acid beta-oxidation,4,0,0
GO:0006665,P:sphingolipid metabolic process,6,0,0
GO:0006694,P:steroid biosynthetic process,0,0,0
GO:0006955,P:immune response,0,0,10
GO:0007026,P:negative regulation of microtubule depolymerization,0,5,0
GO:0007155,P:cell adhesion,0,0,8
GO:0007165,P:signal transduction,7,9,0
GO:0007169,P:transmembrane receptor protein tyrosine kinase signaling pathway,9,9,0
GO:0007179,P:transforming growth factor beta receptor signaling pathway,0,4,0
GO:0007264,P:small GTPase mediated signal transduction,4,5,0
GO:0007266,P:Rho protein signal transduction,0,4,0
GO:0007519,P:skeletal muscle tissue development,7,7,0
GO:0007605,P:sensory perception of sound,0,4,0
GO:0008360,P:regulation of cell shape,0,5,0
GO:0009253,P:peptidoglycan catabolic process,0,4,0
GO:0010629,P:negative regulation of gene expression,0,5,0
GO:0015711,P:organic anion transport,4,0,0
GO:0016021,C:integral component of membrane,0,5,0
GO:0016032,P:viral process,0,7,0
GO:0016055,P:Wnt signaling pathway,6,5,6
GO:0016192,P:vesicle-mediated transport,0,5,0
GO:0016567,P:protein ubiquitination,0,7,0
GO:0019216,P:regulation of lipid metabolic process,0,5,0
GO:0019417,P:sulfur oxidation,0,4,0
GO:0021591,P:ventricular system development,0,6,0
GO:0031098,P:stress-activated protein kinase signaling cascade,8,8,0
GO:0031295,P:T cell costimulation,0,8,0
GO:0032508,P:DNA duplex unwinding,0,5,0
GO:0034453,P:microtubule anchoring,0,6,6
GO:0035023,P:regulation of Rho protein signal transduction,4,5,0
GO:0035093,"P:spermatogenesis, exchange of chromosomal proteins",0,4,0
GO:0035879,P:plasma membrane lactate transport,0,0,0
GO:0036158,P:outer dynein arm assembly,0,11,11
GO:0042060,P:wound healing,5,0,0
GO:0043587,P:tongue morphogenesis,7,0,0
GO:0045332,P:phospholipid translocation,0,0,0
GO:0045893,"P:positive regulation of transcription, DNA-templated",8,8,0
GO:0045944,P:positive regulation of transcription by RNA polymerase II,5,0,0
GO:0045948,P:positive regulation of translational initiation,0,6,0
GO:0046580,P:negative regulation of Ras protein signal transduction,0,5,0
GO:0046596,P:regulation of viral entry into host cell,0,4,0
GO:0047496,P:vesicle transport along microtubule,0,0,0
GO:0048511,P:rhythmic process,8,8,0
GO:0050776,P:regulation of immune response,0,0,9
GO:0050852,P:T cell receptor signaling pathway,0,8,0
GO:0050870,P:positive regulation of T cell activation,0,6,0
GO:0051056,P:regulation of small GTPase mediated signal transduction,0,5,0
GO:0051225,P:spindle assembly,0,0,0
GO:0051963,P:regulation of synapse assembly,0,0,0
GO:0055010,P:ventricular cardiac muscle tissue morphogenesis,7,7,0
GO:0055085,P:transmembrane transport,7,7,0
GO:0060390,P:regulation of SMAD protein signal transduction,0,0,0
GO:0070374,P:positive regulation of ERK1 and ERK2 cascade,0,4,0
GO:0070914,P:UV-damage excision repair,4,0,0
GO:0071622,P:regulation of granulocyte chemotaxis,8,8,0
GO:0097199,F:cysteine-type endopeptidase activity involved in apoptotic signaling pathway,0,5,0
