	A&C_enrichment.txt	Gallus_enrichment.txt
ATP hydrolysis coupled proton transport	11.602333478218307	0.0
ATP synthesis coupled proton transport	18.215174958667138	0.0
ER-associated ubiquitin-dependent protein catabolic process	32.91594176037962	0.0
G-protein coupled receptor signaling pathway	11.801877466487804	0.0
GTP binding	8.847079982302281	0.0
NAD biosynthetic process	1.979586917143935	0.0
RNA binding	24.037577177587945	0.0
RNA splicing	40.11722649918448	0.0
Rab protein signal transduction	11.695519213746477	0.0
Rho protein signal transduction	11.485732595219638	0.0
SH3 domain binding	3.585644959212998	0.0
SMAD protein signal transduction	12.06191824525458	0.0
T cell receptor signaling pathway	11.801877466487804	0.0
UDP phosphorylation	1.7286047381765675	0.0
UDP-N-acetylglucosamine biosynthetic process	4.532863518349258	0.0
UDP-N-acetylglucosamine metabolic process	2.766678456319765	0.0
Wnt signaling pathway	52.194266997331766	0.0
Wnt signaling pathway, calcium modulating pathway	1.979586917143935	0.0
Wnt signaling pathway, planar cell polarity pathway	2.766678456319765	0.0
apoptotic process	3.8059427397055594	0.0
barbed-end actin filament capping	1.979586917143935	0.0
calcium ion binding	32.38845367855991	0.0
calmodulin binding	1.979586917143935	0.0
carbohydrate binding	17.25749447728464	0.0
cell adhesion	27.95654620565199	0.0
cell differentiation	9.107887433147662	0.0
cell redox homeostasis	15.354243672461948	0.0
cellular response to calcium ion	2.766678456319765	0.0
cellular response to increased oxygen levels	2.766678456319765	0.0
chaperone mediated protein folding requiring cofactor	7.942841011149746	0.0
cilium movement	7.047209093587065	0.0
cysteine-type peptidase activity	3.585644959212998	0.0
cytoplasm	15.686904856027908	0.0
cytoplasmic translation	19.176681564814967	0.0
defense response to bacterium	3.209258062388757	0.0
endocytosis	2.766678456319765	0.0
epithelial cell differentiation	5.287528231636576	0.0
exocytosis	2.906685588471297	0.0
extracellular exosome	6.16151151534958	0.0
extracellular matrix organization	19.249396523636708	0.0
fatty acid metabolic process	7.700431157339123	0.0
glutathione metabolic process	9.758527092701291	0.0
glycolytic process	19.176681564814967	0.0
glycosaminoglycan biosynthetic process	1.979586917143935	0.0
heparin binding	1.979586917143935	0.0
hydrolase activity	3.585644959212998	0.0
identical protein binding	2.766678456319765	0.0
immune response	15.354243672461948	0.0
innate immune response	21.110666440346314	0.0
integral component of membrane	33.476074787421815	0.0
intracellular protein transport	35.76927903726629	0.0
iron-sulfur cluster assembly	2.4485165595950287	0.0
lipid binding	8.226254085635393	0.0
lipid catabolic process	8.881158028465892	0.0
lipid metabolic process	7.047209093587065	0.0
membrane	5.6321359731677685	0.0
membrane organization	6.16151151534958	0.0
metal ion binding	14.180411811215908	0.0
microtubule binding	4.427723020080301	0.0
microtubule cytoskeleton organization	3.209258062388757	0.0
microtubule-based movement	31.420183182322848	0.0
microtubule-based process	1.9919288698778546	2.1818384347886757
misfolded or incompletely synthesized glycoprotein catabolic process	1.979586917143935	0.0
mitochondrial electron transport, ubiquinol to cytochrome c	3.585644959212998	0.0
mitochondrion	11.602333478218307	0.0
mitotic cell cycle	6.477599105735307	5.5050013914271165
motile cilium	18.215174958667138	0.0
motor activity	9.998252986819413	0.0
multicellular organismal development	10.069062466883626	0.0
negative regulation of cell proliferation	3.5541401215670505	0.0
negative regulation of endopeptidase activity	15.484796323428728	0.0
negative regulation of microtubule depolymerization	3.65138715456536	0.0
negative regulation of phosphatase activity	3.585644959212998	0.0
negative regulation of transforming growth factor beta receptor signaling pathway	1.979586917143935	0.0
neuron migration	3.585644959212998	0.0
neuron projection development	3.1067723380044363	0.0
neutrophil degranulation	19.249396523636708	0.0
non-canonical Wnt signaling pathway	6.493797472582909	0.0
nucleus	17.357920847667344	0.0
outer dynein arm assembly	18.215174958667138	0.0
oxidation-reduction process	15.937787833381993	0.0
oxidoreductase activity	4.092535517995409	0.0
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	1.979586917143935	0.0
pentose-phosphate shunt	6.16151151534958	0.0
pentose-phosphate shunt, non-oxidative branch	4.427723020080301	0.0
peptide cross-linking	1.7286047381765675	0.0
phagocytosis	1.979586917143935	0.0
phosphatidylinositol biosynthetic process	1.979586917143935	0.0
phosphatidylinositol dephosphorylation	5.287528231636576	0.0
phosphatidylinositol phosphorylation	2.4485165595950287	0.0
phospholipid translocation	7.942841011149746	0.0
plasma membrane	17.106973672445005	0.0
positive regulation of B cell activation	0.0	3.27880820772905
positive regulation of ERK1 and ERK2 cascade	4.423575457975172	0.0
positive regulation of I-kappaB kinase/NF-kappaB signaling	3.209258062388757	0.0
positive regulation of NF-kappaB transcription factor activity	5.287528231636576	0.0
positive regulation of cell proliferation	9.998252986819413	0.0
positive regulation of protein polymerization	1.979586917143935	0.0
positive regulation of transcription from RNA polymerase II promoter	10.499039334582385	0.0
positive regulation of transcription, DNA-templated	9.107887433147662	0.0
post-translational protein modification	17.25749447728464	0.0
proteasome-mediated ubiquitin-dependent protein catabolic process	35.011348417111186	0.0
protein N-linked glycosylation	12.06191824525458	1.5241734286426663
protein N-linked glycosylation via asparagine	18.215174958667138	0.0
protein O-linked glycosylation via threonine	8.226254085635393	0.0
protein O-linked mannosylation	4.427723020080301	0.0
protein dephosphorylation	5.851812565780388	0.0
protein glycosylation	71.80935413065659	0.0
protein homooligomerization	18.460207751558986	0.0
protein import into nucleus	9.75891048504893	0.0
protein localization	5.287528231636576	0.0
protein phosphorylation	8.847079982302281	0.0
protein polyubiquitination	3.209258062388757	0.0
protein processing	4.532863518349258	0.0
protein secretion	2.441719001316992	0.0
protein sumoylation	1.979586917143935	0.0
protein targeting to membrane	4.972664995449356	0.0
protein transport	62.421803550959275	0.0
protein ufmylation	6.16151151534958	0.0
protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	1.979586917143935	0.0
proteolysis	67.83401347515871	0.0
proteolysis involved in cellular protein catabolic process	10.896484521920081	0.0
protoporphyrinogen IX biosynthetic process	1.979586917143935	0.0
purine nucleotide biosynthetic process	3.585644959212998	0.0
purine ribonucleoside salvage	2.766678456319765	0.0
pyrimidine nucleotide biosynthetic process	1.979586917143935	0.0
rRNA processing	11.602333478218307	0.0
regulation of GTPase activity	2.8873882091552265	0.0
regulation of Rho protein signal transduction	3.8059427397055594	0.0
regulation of autophagy	2.766678456319765	0.0
regulation of cell growth	13.631923206803457	0.0
regulation of cell proliferation	13.631923206803457	0.0
regulation of cilium assembly	8.070324448045538	0.0
regulation of complement activation	15.354243672461948	0.0
regulation of embryonic development	3.585644959212998	0.0
regulation of endocytosis	18.215174958667138	0.0
regulation of endopeptidase activity	8.226254085635393	0.0
regulation of immune response	0.0	3.090385015311587
regulation of lipid metabolic process	4.427723020080301	0.0
regulation of mitochondrial membrane potential	5.287528231636576	0.0
regulation of nuclear cell cycle DNA replication	0.0	3.69711379578561
regulation of phosphatidylinositol dephosphorylation	1.979586917143935	0.0
regulation of protein catabolic process	4.427723020080301	0.0
regulation of protein localization	3.209258062388757	0.0
regulation of protein stability	2.766678456319765	0.0
regulation of synaptic plasticity	4.427723020080301	0.0
regulation of systemic arterial blood pressure by renin-angiotensin	1.979586917143935	0.0
regulation of transcription from RNA polymerase II promoter	15.686904856027908	0.0
regulation of transcription, DNA-templated	32.91594176037962	0.0
regulation of translation	6.16151151534958	0.0
