Name,Species,IsApo,N_surface,N_hotspot,N_strong_neg,N_strong_pos,Hotspot_score,N_aspglu_surface,Carboxyl_SASA_Ca2_bare,Carboxyl_SASA_Ca2_bare_std,Carboxyl_SASA_Ca2_hyd,Carboxyl_SASA_water,APBS_mean,APBS_median,APBS_std,APBS_P5,APBS_P95
A1,Anas,False,169,11,28,41,10305.46,35,1879.33,0.0,3097.91,2038.99,7.8242,0.0464,27.365,-17.7403,77.7753
A2,Anas,False,168,14,31,39,20268.87,35,1879.33,0.0,3097.91,2038.99,6.1964,-0.2593,30.2367,-15.7448,86.6948
A3,Anas,False,168,13,30,38,19874.89,35,1879.33,0.0,3097.91,2038.99,5.055,-0.0852,28.4881,-16.9335,67.5314
C1,Columba,False,173,12,37,34,12211.47,36,1920.02,0.0,3041.95,2079.7,3.2034,-1.3374,25.6237,-26.2708,66.4165
C2,Columba,False,175,10,37,34,11153.65,36,1920.02,0.0,3041.95,2079.7,2.7289,-1.3356,25.066,-26.4402,61.9227
C3,Columba,False,174,12,38,36,13102.43,36,1920.02,0.0,3041.95,2079.7,3.0999,-1.2885,26.7948,-27.6642,65.1113
C4,Columba,False,174,10,31,33,10789.94,36,1920.02,0.0,3041.95,2079.7,5.8921,-0.9251,29.6198,-24.3404,79.9153
C5,Columba,False,175,10,34,35,11966.06,36,1920.02,0.0,3041.95,2079.7,4.3133,-1.2081,26.9329,-26.9691,77.1087
C6,Columba,False,175,11,38,36,12130.88,36,1920.02,0.0,3041.95,2079.7,2.3628,-1.4204,25.3076,-23.9217,50.8084
C7,Columba,False,175,11,36,36,17202.07,36,1920.02,0.0,3041.95,2079.7,3.6987,-1.2988,29.6414,-29.0479,71.1361
C8,Columba,False,175,11,37,35,11513.19,36,1920.02,0.0,3041.95,2079.7,2.2104,-1.3134,22.414,-25.6472,46.4006
C9,Columba,False,173,10,35,39,12002.58,36,1920.02,0.0,3041.95,2079.7,4.3388,-1.3131,28.7002,-30.2116,68.582
C10,Columba,False,173,11,36,38,12968.73,36,1920.02,0.0,3041.95,2079.7,3.7615,-1.2589,26.3361,-30.9801,64.7974
C11,Columba,False,174,11,33,35,15437.57,36,1920.02,0.0,3041.95,2079.7,3.6559,-1.286,25.4996,-20.046,71.0372
C12,Columba,False,174,10,35,35,10217.39,36,1920.02,0.0,3041.95,2079.7,4.5863,-1.2498,26.8632,-20.0963,64.9017
C13,Columba,False,175,11,38,34,11760.86,36,1920.02,0.0,3041.95,2079.7,1.8697,-1.6358,24.0826,-25.4808,46.265
C14,Columba,False,174,11,33,35,15130.48,36,1920.02,0.0,3041.95,2079.7,3.6592,-1.2048,26.7322,-24.2045,75.5206
G1,Gallus,False,161,15,42,33,21370.23,37,2026.16,0.0,3197.85,2208.28,2.5588,-0.8059,28.8521,-27.936,65.5507
A1_apo,Anas,True,171,14,32,34,14750.99,35,1879.33,0.0,3097.91,2038.99,4.3241,-0.5775,25.0879,-14.7132,61.9985
C1_apo,Columba,True,177,13,40,36,14731.51,36,1920.02,0.0,3041.95,2079.7,1.8325,-1.0297,24.85,-25.2256,45.2567
G1_apo,Gallus,True,166,14,41,35,20285.04,37,2026.16,0.0,3197.85,2208.28,3.0176,-0.7856,27.895,-24.7228,60.0457
