Group	Category	Description	p_value
Anas & Columba	biological_process	signal transduction	1.02e-185
Anas & Columba	biological_process	translation	1.46e-91
Anas & Columba	biological_process	spermatogenesis	1.38e-87
Anas & Columba	biological_process	ubiquitin-dependent protein catabolic process	2.56e-85
Anas & Columba	biological_process	vesicle-mediated transport	6.72e-75
Anas & Columba	biological_process	protein glycosylation	1.55e-72
Anas & Columba	biological_process	proteolysis	1.47e-68
Anas & Columba	biological_process	viral process	2.34e-66
Anas & Columba	biological_process	protein transport	3.79e-63
Anas & Columba	cellular_component	integral component of membrane	3.34e-34
Anas & Columba	cellular_component	motile cilium	6.09e-19
Anas & Columba	cellular_component	nucleus	4.39e-18
Anas & Columba	cellular_component	plasma membrane	7.82e-18
Anas & Columba	cellular_component	cytoplasm	2.06e-16
Anas & Columba	molecular_function	calcium ion binding	4.09e-33
Anas & Columba	molecular_function	RNA binding	9.17e-25
Anas & Columba	molecular_function	serine-type endopeptidase inhibitor activity	7.75e-22
Anas & Columba	molecular_function	carbohydrate binding	5.53e-18
Anas & Columba	molecular_function	metal ion binding	6.60e-15
Anas & Columba	molecular_function	lipid binding	5.94e-09
Anas (duck only)	biological_process	regulation of immune response	5.65e-35
Anas (duck only)	biological_process	positive regulation of B cell activation	2.41e-08
Anas (duck only)	biological_process	signal transduction	8.57e-04
Anas (duck only)	biological_process	negative regulation of protein localization to cell surface	2.95e-03
Anas (duck only)	biological_process	transepithelial L-ascorbic acid transport	2.95e-03
Anas (duck only)	biological_process	response to iron ion	8.37e-03
Anas (duck only)	biological_process	mitotic cell cycle	1.20e-02
Anas (duck only)	biological_process	synapse organization	1.29e-02
Anas (duck only)	cellular_component	centriole	2.68e-03
Anas (duck only)	molecular_function	calmodulin binding	1.42e-03
Anas (duck only)	molecular_function	phosphatase binding	2.95e-03
Columba (pigeon only)	biological_process	signal transduction	2.74e-05
Columba (pigeon only)	biological_process	spermatogenesis	6.36e-05
Columba (pigeon only)	biological_process	ubiquitin-dependent protein catabolic process	3.94e-04
Columba (pigeon only)	biological_process	nervous system development	5.09e-04
Columba (pigeon only)	biological_process	proteolysis	2.09e-03
Gallus & Anas	biological_process	signal transduction	2.19e-16
Gallus & Anas	biological_process	protein transport	3.01e-08
Gallus & Anas	biological_process	viral process	5.75e-08
Gallus & Anas	biological_process	protein glycosylation	3.75e-07
Gallus & Anas	biological_process	proteolysis	1.73e-06
Gallus & Anas	biological_process	spermatogenesis	1.94e-04
Gallus & Anas	cellular_component	integral component of membrane	1.23e-03
Gallus & Columba	biological_process	signal transduction	1.04e-58
Gallus & Columba	biological_process	spermatogenesis	1.83e-36
Gallus & Columba	biological_process	vesicle-mediated transport	1.03e-33
Gallus & Columba	biological_process	translation	6.72e-30
Gallus & Columba	biological_process	viral process	7.36e-27
Gallus & Columba	biological_process	proteolysis	3.89e-23
Gallus & Columba	biological_process	ubiquitin-dependent protein catabolic process	8.47e-23
Gallus & Columba	biological_process	protein glycosylation	1.76e-17
Gallus & Columba	biological_process	protein transport	1.01e-08
Gallus & Columba	cellular_component	integral component of membrane	3.09e-18
Gallus & Columba	cellular_component	cytoplasm	8.76e-06
Gallus & Columba	cellular_component	nucleus	3.89e-04
Gallus & Columba	molecular_function	calcium ion binding	1.39e-07
Gallus & Columba	molecular_function	metal ion binding	7.06e-07
Gallus & Columba	molecular_function	structural molecule activity	1.12e-05
Gallus & Columba	molecular_function	lipid binding	4.17e-03
Gallus & Columba	molecular_function	catalytic activity	7.38e-03
Gallus (chicken only)	biological_process	mitotic cell cycle	3.13e-06
Gallus (chicken only)	biological_process	regulation of nuclear cell cycle DNA replication	2.01e-04
Gallus (chicken only)	biological_process	positive regulation of B cell activation	5.26e-04
Gallus (chicken only)	biological_process	regulation of immune response	8.12e-04
Gallus (chicken only)	biological_process	microtubule-based process	6.58e-03
Gallus (chicken only)	biological_process	protein N-linked glycosylation	2.99e-02
