pathway	count_files	files
signal transduction	5	"A&C_enrichment.txt,Anas_enrichment.txt,Columba_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
proteolysis	4	"A&C_enrichment.txt,Columba_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
spermatogenesis	4	"A&C_enrichment.txt,Columba_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
Wnt signaling pathway	3	"A&C_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
integral component of membrane	3	"A&C_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
mitotic cell cycle	3	"A&C_enrichment.txt,Anas_enrichment.txt,Gallus_enrichment.txt"
protein glycosylation	3	"A&C_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
protein transport	3	"A&C_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
"regulation of transcription, DNA-templated"	3	"A&C_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
ubiquitin-dependent protein catabolic process	3	"A&C_enrichment.txt,Columba_enrichment.txt,G&C_enrichment.txt"
viral process	3	"A&C_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
wound healing	3	"A&C_enrichment.txt,G&A_enrichment.txt,G&C_enrichment.txt"
ER-associated ubiquitin-dependent protein catabolic process	2	"A&C_enrichment.txt,G&C_enrichment.txt"
G-protein coupled receptor signaling pathway	2	"A&C_enrichment.txt,G&C_enrichment.txt"
SMAD protein signal transduction	2	"A&C_enrichment.txt,G&C_enrichment.txt"
T cell receptor signaling pathway	2	"A&C_enrichment.txt,G&C_enrichment.txt"
calcium ion binding	2	"A&C_enrichment.txt,G&C_enrichment.txt"
calmodulin binding	2	"A&C_enrichment.txt,Anas_enrichment.txt"
cell adhesion	2	"A&C_enrichment.txt,G&C_enrichment.txt"
cell differentiation	2	"A&C_enrichment.txt,G&C_enrichment.txt"
cytoplasm	2	"A&C_enrichment.txt,G&C_enrichment.txt"
cytoplasmic translation	2	"A&C_enrichment.txt,G&C_enrichment.txt"
intracellular protein transport	2	"A&C_enrichment.txt,G&C_enrichment.txt"
lipid binding	2	"A&C_enrichment.txt,G&C_enrichment.txt"
metal ion binding	2	"A&C_enrichment.txt,G&C_enrichment.txt"
microtubule-based process	2	"A&C_enrichment.txt,Gallus_enrichment.txt"
multicellular organismal development	2	"A&C_enrichment.txt,G&C_enrichment.txt"
neutrophil degranulation	2	"A&C_enrichment.txt,G&C_enrichment.txt"
nucleus	2	"A&C_enrichment.txt,G&C_enrichment.txt"
positive regulation of B cell activation	2	"Anas_enrichment.txt,Gallus_enrichment.txt"
positive regulation of transcription from RNA polymerase II promoter	2	"A&C_enrichment.txt,G&C_enrichment.txt"
post-translational protein modification	2	"A&C_enrichment.txt,G&C_enrichment.txt"
protein N-linked glycosylation	2	"A&C_enrichment.txt,Gallus_enrichment.txt"
protein N-linked glycosylation via asparagine	2	"A&C_enrichment.txt,G&C_enrichment.txt"
protein folding	2	"G&A_enrichment.txt,G&C_enrichment.txt"
protein homooligomerization	2	"A&C_enrichment.txt,G&C_enrichment.txt"
proteolysis involved in cellular protein catabolic process	2	"A&C_enrichment.txt,G&C_enrichment.txt"
regulation of Rho protein signal transduction	2	"A&C_enrichment.txt,G&C_enrichment.txt"
regulation of cell growth	2	"A&C_enrichment.txt,G&C_enrichment.txt"
regulation of cilium assembly	2	"A&C_enrichment.txt,G&C_enrichment.txt"
regulation of immune response	2	"Anas_enrichment.txt,Gallus_enrichment.txt"
regulation of transcription from RNA polymerase II promoter	2	"A&C_enrichment.txt,G&C_enrichment.txt"
response to endoplasmic reticulum stress	2	"A&C_enrichment.txt,G&C_enrichment.txt"
response to oxidative stress	2	"A&C_enrichment.txt,G&C_enrichment.txt"
"retrograde transport, endosome to Golgi"	2	"A&C_enrichment.txt,G&C_enrichment.txt"
"retrograde vesicle-mediated transport, Golgi to ER"	2	"A&C_enrichment.txt,G&C_enrichment.txt"
skeletal system development	2	"A&C_enrichment.txt,G&C_enrichment.txt"
small GTPase mediated signal transduction	2	"A&C_enrichment.txt,G&C_enrichment.txt"
sodium ion transport	2	"A&C_enrichment.txt,G&C_enrichment.txt"
stress-activated protein kinase signaling cascade	2	"A&C_enrichment.txt,G&C_enrichment.txt"
toxin transport	2	"A&C_enrichment.txt,G&C_enrichment.txt"
"transcription, DNA-templated"	2	"A&C_enrichment.txt,G&C_enrichment.txt"
transforming growth factor beta receptor signaling pathway	2	"A&C_enrichment.txt,G&A_enrichment.txt"
translation	2	"A&C_enrichment.txt,G&C_enrichment.txt"
translational initiation	2	"A&C_enrichment.txt,G&C_enrichment.txt"
transmembrane transport	2	"A&C_enrichment.txt,G&C_enrichment.txt"
tricarboxylic acid cycle	2	"A&C_enrichment.txt,G&A_enrichment.txt"
vascular endothelial growth factor receptor signaling pathway	2	"A&C_enrichment.txt,G&C_enrichment.txt"
vesicle-mediated transport	2	"A&C_enrichment.txt,G&C_enrichment.txt"
ATP hydrolysis coupled proton transport	1	A&C_enrichment.txt
ATP synthesis coupled proton transport	1	A&C_enrichment.txt
GTP binding	1	A&C_enrichment.txt
N-glycan processing	1	G&A_enrichment.txt
NAD biosynthetic process	1	A&C_enrichment.txt
RNA binding	1	A&C_enrichment.txt
RNA splicing	1	A&C_enrichment.txt
Rab protein signal transduction	1	A&C_enrichment.txt
Rho protein signal transduction	1	A&C_enrichment.txt
SH3 domain binding	1	A&C_enrichment.txt
UDP phosphorylation	1	A&C_enrichment.txt
UDP-N-acetylglucosamine biosynthetic process	1	A&C_enrichment.txt
UDP-N-acetylglucosamine metabolic process	1	A&C_enrichment.txt
"Wnt signaling pathway, calcium modulating pathway"	1	A&C_enrichment.txt
"Wnt signaling pathway, planar cell polarity pathway"	1	A&C_enrichment.txt
adaptive immune response	1	G&A_enrichment.txt
apoptotic process	1	A&C_enrichment.txt
barbed-end actin filament capping	1	A&C_enrichment.txt
